cell_id,Strepera versicolor,Strepera versicolor versicolor/plumbea,Strepera versicolor arguta,Strepera versicolor melanoptera,Strepera versicolor intermedia,Strepera versicolor halmaturina
82a707fffffffff,17.0,3.0,0.0,0.0,0.0,0.0
82a717fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82a727fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82a737fffffffff,50.0,20.0,0.0,0.0,0.0,0.0
82b827fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82b82ffffffffff,33.0,5.0,0.0,0.0,0.0,0.0
82b837fffffffff,16.0,0.0,0.0,0.0,4.0,0.0
82b847fffffffff,59.0,13.0,0.0,0.0,0.0,0.0
82b84ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b867fffffffff,41.0,11.0,0.0,0.0,0.0,0.0
82b86ffffffffff,87.0,18.0,0.0,0.0,0.0,0.0
82b877fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b917fffffffff,1125.0,0.0,0.0,43.0,36.0,75.0
82b91ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82b937fffffffff,27.0,0.0,0.0,2.0,0.0,0.0
82b9a7fffffffff,289.0,0.0,0.0,41.0,0.0,0.0
82b9affffffffff,122.0,0.0,0.0,0.0,24.0,0.0
82be0ffffffffff,292.0,6.0,0.0,0.0,0.0,0.0
82be2ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82be47fffffffff,912.0,179.0,0.0,0.0,0.0,0.0
82be4ffffffffff,1681.0,0.0,0.0,383.0,0.0,0.0
82be5ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0
82be67fffffffff,2743.0,597.0,0.0,0.0,0.0,0.0
82be6ffffffffff,842.0,77.0,0.0,30.0,0.0,0.0
82be77fffffffff,949.0,48.0,0.0,0.0,0.0,0.0
82bf4ffffffffff,1966.0,0.0,802.0,0.0,0.0,0.0
82bf6ffffffffff,140.0,0.0,48.0,0.0,0.0,0.0
82c987fffffffff,182.0,72.0,0.0,0.0,0.0,0.0
82c997fffffffff,591.0,134.0,0.0,0.0,0.0,0.0
82c99ffffffffff,28.0,7.0,0.0,0.0,0.0,0.0
82c9b7fffffffff,676.0,183.0,0.0,0.0,0.0,0.0
