cell_id,Monticola brevipes,Monticola brevipes brevipes,Monticola brevipes pretoriae
838320fffffffff,3.0,1.0,0.0
838326fffffffff,23.0,10.0,0.0
83ac80fffffffff,68.0,1.0,0.0
83ac81fffffffff,54.0,1.0,0.0
83ac84fffffffff,12.0,0.0,0.0
83ac85fffffffff,43.0,11.0,0.0
83ac86fffffffff,29.0,0.0,0.0
83ac8afffffffff,11.0,1.0,0.0
83ac8efffffffff,7.0,0.0,0.0
83aca0fffffffff,5.0,1.0,0.0
83aca1fffffffff,35.0,18.0,0.0
83aca2fffffffff,54.0,15.0,0.0
83aca3fffffffff,190.0,42.0,0.0
83aca4fffffffff,65.0,17.0,0.0
83aca5fffffffff,6.0,0.0,0.0
83aca6fffffffff,258.0,26.0,0.0
83acaafffffffff,22.0,7.0,0.0
83acaefffffffff,7.0,0.0,0.0
83acb1fffffffff,23.0,0.0,0.0
83acb3fffffffff,3.0,0.0,0.0
83ad12fffffffff,2.0,0.0,0.0
83ad82fffffffff,2.0,0.0,0.0
83ad83fffffffff,2.0,0.0,0.0
83ad86fffffffff,6.0,0.0,0.0
83ad88fffffffff,6.0,0.0,0.0
83ad89fffffffff,6.0,0.0,0.0
83ad8bfffffffff,26.0,0.0,0.0
83ad95fffffffff,1.0,0.0,0.0
83ad9bfffffffff,1.0,0.0,0.0
83ad9dfffffffff,1.0,0.0,0.0
83ada0fffffffff,2.0,0.0,0.0
83ada1fffffffff,5.0,0.0,0.0
83ada2fffffffff,10.0,0.0,0.0
83ada8fffffffff,2.0,0.0,0.0
83adb0fffffffff,10.0,0.0,0.0
83adb4fffffffff,4.0,0.0,0.0
83adb5fffffffff,4.0,0.0,0.0
83adb6fffffffff,2.0,0.0,0.0
83bc43fffffffff,79.0,21.0,0.0
83bc4bfffffffff,1.0,0.0,0.0
83bc50fffffffff,1.0,1.0,0.0
83bc52fffffffff,1.0,0.0,0.0
83bc55fffffffff,4.0,0.0,0.0
83bc5cfffffffff,4.0,0.0,0.0
83bcc3fffffffff,3.0,0.0,0.0
83bcd0fffffffff,2.0,0.0,0.0
83bcd1fffffffff,4.0,0.0,0.0
83bcd3fffffffff,1.0,0.0,0.0
83bcd8fffffffff,7.0,0.0,0.0
83bcd9fffffffff,14.0,0.0,1.0
83bcdcfffffffff,1.0,0.0,0.0
83bcddfffffffff,28.0,0.0,1.0
83bce8fffffffff,6.0,0.0,0.0
83bce9fffffffff,33.0,1.0,0.0
83bcedfffffffff,5.0,0.0,0.0
