cell_id,Embernagra platensis,Embernagra platensis olivascens,Embernagra platensis platensis
828b27fffffffff,7.0,7.0,0.0
82a837fffffffff,4.0,0.0,4.0
82a8affffffffff,2.0,0.0,2.0
82a92ffffffffff,1.0,0.0,0.0
82a957fffffffff,1.0,0.0,0.0
82a967fffffffff,57.0,0.0,0.0
82a96ffffffffff,62.0,0.0,0.0
82b247fffffffff,28.0,28.0,0.0
82b24ffffffffff,408.0,6.0,6.0
82b25ffffffffff,53.0,53.0,0.0
82b267fffffffff,7.0,0.0,0.0
82b26ffffffffff,242.0,11.0,0.0
82b277fffffffff,4.0,4.0,0.0
82b2effffffffff,2.0,2.0,0.0
82b34ffffffffff,5.0,3.0,0.0
82b35ffffffffff,6.0,0.0,0.0
82c21ffffffffff,5.0,0.0,3.0
82c2c7fffffffff,3.0,0.0,3.0
82c2cffffffffff,301.0,0.0,2.0
82c2d7fffffffff,2.0,0.0,0.0
82c2effffffffff,71.0,0.0,0.0
82c2f7fffffffff,3.0,0.0,0.0
82c34ffffffffff,129.0,2.0,70.0
82c36ffffffffff,1.0,1.0,0.0
82ce87fffffffff,2.0,0.0,0.0
82ce9ffffffffff,2.0,0.0,0.0
