cell_id,Ducula pinon,Ducula pinon pinon/jobiensis,Ducula pinon salvadorii
83728efffffffff,13.0,0.0,0.0
837291fffffffff,2.0,0.0,0.0
83729dfffffffff,3.0,0.0,0.0
8372a0fffffffff,12.0,4.0,0.0
8372a2fffffffff,5.0,0.0,0.0
8372aafffffffff,1.0,0.0,0.0
8372b0fffffffff,3.0,0.0,0.0
8372b4fffffffff,2.0,0.0,0.0
8372b5fffffffff,3.0,0.0,0.0
8372c2fffffffff,1.0,0.0,0.0
8372d2fffffffff,5.0,2.0,0.0
8372d4fffffffff,2.0,0.0,0.0
8372d5fffffffff,34.0,0.0,0.0
8372d9fffffffff,10.0,0.0,0.0
8372dbfffffffff,42.0,0.0,0.0
8372dcfffffffff,2.0,0.0,0.0
8372ddfffffffff,4.0,1.0,0.0
8372defffffffff,21.0,10.0,0.0
8372f2fffffffff,238.0,19.0,0.0
8372f3fffffffff,8.0,3.0,0.0
837398fffffffff,17.0,0.0,0.0
83739afffffffff,424.0,57.0,0.0
83739bfffffffff,274.0,20.0,0.0
83739efffffffff,1.0,0.0,0.0
839c84fffffffff,3.0,0.0,0.0
839c8afffffffff,8.0,0.0,0.0
839c8efffffffff,1.0,1.0,0.0
839c99fffffffff,34.0,0.0,0.0
839c9dfffffffff,63.0,1.0,0.0
839ca6fffffffff,9.0,0.0,0.0
839caafffffffff,24.0,2.0,0.0
839caefffffffff,4.0,0.0,0.0
839cb5fffffffff,36.0,0.0,0.0
839cc2fffffffff,16.0,0.0,0.0
839cd3fffffffff,231.0,23.0,0.0
839cd5fffffffff,1.0,0.0,0.0
839cdbfffffffff,1.0,0.0,0.0
839d91fffffffff,2.0,0.0,2.0
839d9bfffffffff,4.0,1.0,0.0
