cell_id,Psaltriparus minimus,Psaltriparus minimus [minimus Group],Psaltriparus minimus plumbeus,Psaltriparus minimus [melanotis Group]
832680fffffffff,8.0,0.0,0.0,0.0
832681fffffffff,3887.0,0.0,26.0,0.0
832682fffffffff,32.0,0.0,0.0,0.0
832683fffffffff,84.0,0.0,0.0,0.0
832685fffffffff,104.0,0.0,0.0,0.0
832686fffffffff,2.0,0.0,0.0,0.0
832688fffffffff,2132.0,0.0,0.0,0.0
832689fffffffff,160.0,0.0,0.0,0.0
83268afffffffff,193.0,0.0,0.0,0.0
83268bfffffffff,452.0,0.0,4.0,0.0
83268cfffffffff,6535.0,0.0,447.0,0.0
83268efffffffff,228.0,0.0,0.0,0.0
832690fffffffff,36.0,0.0,0.0,0.0
832691fffffffff,25.0,0.0,8.0,0.0
832692fffffffff,76.0,0.0,3.0,0.0
832693fffffffff,26.0,0.0,2.0,0.0
832695fffffffff,33.0,0.0,1.0,0.0
832696fffffffff,247.0,0.0,54.0,0.0
832698fffffffff,1206.0,0.0,0.0,0.0
832699fffffffff,467.0,0.0,7.0,0.0
83269afffffffff,83.0,0.0,6.0,0.0
83269bfffffffff,177.0,0.0,5.0,0.0
83269cfffffffff,1720.0,0.0,0.0,0.0
83269dfffffffff,183.0,0.0,0.0,0.0
83269efffffffff,488.0,0.0,17.0,0.0
8326aafffffffff,715.0,0.0,0.0,0.0
8326b2fffffffff,1.0,0.0,0.0,0.0
8326b3fffffffff,1.0,0.0,0.0,0.0
8326d0fffffffff,3.0,0.0,0.0,0.0
8326d1fffffffff,64.0,0.0,0.0,0.0
8326d2fffffffff,41.0,0.0,2.0,0.0
8326d4fffffffff,125.0,0.0,0.0,0.0
8326d6fffffffff,18.0,0.0,0.0,0.0
8326d8fffffffff,15.0,0.0,2.0,0.0
8326d9fffffffff,9.0,0.0,0.0,0.0
8326dafffffffff,9.0,0.0,0.0,0.0
8326dbfffffffff,41.0,0.0,2.0,0.0
8326defffffffff,21.0,0.0,0.0,0.0
8326f2fffffffff,1.0,0.0,0.0,0.0
832800fffffffff,93.0,20.0,0.0,0.0
832802fffffffff,1911.0,318.0,0.0,0.0
832803fffffffff,55.0,1.0,0.0,0.0
832806fffffffff,877.0,14.0,0.0,0.0
832810fffffffff,286.0,2.0,0.0,0.0
832811fffffffff,1261.0,0.0,0.0,0.0
832812fffffffff,87.0,0.0,2.0,0.0
832813fffffffff,493.0,28.0,0.0,0.0
832814fffffffff,1230.0,61.0,0.0,0.0
832815fffffffff,1570.0,22.0,0.0,0.0
832816fffffffff,93.0,0.0,2.0,0.0
832818fffffffff,311.0,81.0,0.0,0.0
832819fffffffff,238.0,71.0,0.0,0.0
83281afffffffff,213.0,50.0,0.0,0.0
83281bfffffffff,4945.0,686.0,0.0,0.0
83281cfffffffff,276.0,16.0,0.0,0.0
83281dfffffffff,97.0,9.0,0.0,0.0
83281efffffffff,2305.0,153.0,0.0,0.0
832830fffffffff,49636.0,3108.0,0.0,0.0
832831fffffffff,3082.0,142.0,0.0,0.0
832832fffffffff,21908.0,1534.0,0.0,0.0
832833fffffffff,5213.0,381.0,0.0,0.0
832834fffffffff,49468.0,9119.0,0.0,0.0
832835fffffffff,122.0,0.0,0.0,0.0
832836fffffffff,4530.0,265.0,0.0,0.0
832880fffffffff,1.0,0.0,0.0,0.0
832881fffffffff,56.0,0.0,0.0,0.0
832884fffffffff,203.0,0.0,0.0,0.0
832885fffffffff,20.0,0.0,0.0,0.0
832889fffffffff,245.0,0.0,0.0,0.0
83288dfffffffff,130.0,0.0,27.0,0.0
8328a0fffffffff,7.0,0.0,0.0,0.0
8328a1fffffffff,396.0,0.0,121.0,0.0
8328a2fffffffff,40.0,0.0,0.0,0.0
8328a3fffffffff,49.0,0.0,0.0,0.0
8328a4fffffffff,5.0,0.0,0.0,0.0
8328a5fffffffff,5.0,0.0,0.0,0.0
8328a6fffffffff,9.0,0.0,0.0,0.0
8328a8fffffffff,17.0,0.0,6.0,0.0
8328a9fffffffff,1186.0,0.0,49.0,0.0
8328aafffffffff,35.0,0.0,3.0,0.0
8328abfffffffff,93.0,0.0,9.0,0.0
8328acfffffffff,48.0,0.0,8.0,0.0
8328adfffffffff,95.0,0.0,3.0,0.0
8328aefffffffff,725.0,0.0,116.0,0.0
8328b0fffffffff,306.0,0.0,6.0,0.0
8328b1fffffffff,209.0,0.0,0.0,0.0
8328b2fffffffff,74.0,0.0,0.0,0.0
8328b3fffffffff,2.0,0.0,0.0,0.0
8328b4fffffffff,4.0,0.0,0.0,0.0
8328b5fffffffff,24.0,0.0,0.0,0.0
8328b6fffffffff,15.0,0.0,2.0,0.0
8328c2fffffffff,206.0,62.0,0.0,0.0
8328c6fffffffff,559.0,133.0,0.0,0.0
8328d0fffffffff,1111.0,182.0,0.0,0.0
8328d1fffffffff,13434.0,2097.0,0.0,0.0
8328d3fffffffff,760.0,9.0,0.0,0.0
8328d4fffffffff,546.0,78.0,0.0,0.0
8328d5fffffffff,23481.0,4455.0,0.0,0.0
8328d8fffffffff,915.0,41.0,0.0,0.0
8328d9fffffffff,19.0,2.0,0.0,0.0
8328dafffffffff,4.0,0.0,0.0,0.0
8328dcfffffffff,4338.0,223.0,0.0,0.0
8328ddfffffffff,114.0,3.0,0.0,0.0
8328defffffffff,9559.0,768.0,0.0,0.0
8328f0fffffffff,16973.0,1678.0,0.0,0.0
8328f1fffffffff,701.0,39.0,0.0,0.0
8328f2fffffffff,245.0,26.0,0.0,0.0
8328f3fffffffff,1131.0,200.0,0.0,0.0
8328f4fffffffff,8327.0,1023.0,0.0,0.0
8328f5fffffffff,1460.0,191.0,0.0,0.0
8328f6fffffffff,422.0,2.0,60.0,0.0
832912fffffffff,11306.0,1809.0,0.0,0.0
832913fffffffff,1040.0,108.0,0.0,0.0
83291afffffffff,5037.0,2894.0,0.0,0.0
832980fffffffff,84.0,0.0,6.0,0.0
832981fffffffff,171.0,0.0,0.0,0.0
832982fffffffff,36.0,0.0,6.0,0.0
832983fffffffff,5.0,0.0,0.0,0.0
832984fffffffff,167.0,0.0,34.0,0.0
832985fffffffff,159.0,0.0,0.0,0.0
832986fffffffff,409.0,0.0,23.0,0.0
832988fffffffff,61.0,0.0,9.0,0.0
832989fffffffff,1554.0,4.0,209.0,0.0
83298afffffffff,64.0,0.0,0.0,0.0
83298bfffffffff,43.0,0.0,3.0,0.0
83298cfffffffff,2280.0,0.0,0.0,0.0
83298dfffffffff,1088.0,17.0,45.0,0.0
83298efffffffff,15.0,0.0,3.0,0.0
832990fffffffff,545.0,0.0,41.0,0.0
832991fffffffff,80.0,0.0,6.0,0.0
832992fffffffff,363.0,0.0,19.0,0.0
832993fffffffff,20.0,0.0,1.0,0.0
832994fffffffff,614.0,0.0,41.0,0.0
832995fffffffff,592.0,0.0,55.0,0.0
832996fffffffff,43.0,0.0,12.0,0.0
832998fffffffff,41.0,0.0,13.0,0.0
832999fffffffff,40.0,0.0,8.0,0.0
83299afffffffff,11.0,0.0,0.0,0.0
83299bfffffffff,78.0,0.0,8.0,0.0
83299cfffffffff,5.0,0.0,0.0,0.0
83299dfffffffff,5.0,0.0,4.0,0.0
83299efffffffff,94.0,0.0,11.0,0.0
8329a0fffffffff,29048.0,1878.0,0.0,0.0
8329a1fffffffff,32843.0,3527.0,0.0,0.0
8329a2fffffffff,363.0,22.0,10.0,0.0
8329a3fffffffff,48.0,0.0,0.0,0.0
8329a4fffffffff,27662.0,333.0,0.0,0.0
8329a5fffffffff,27984.0,1278.0,0.0,0.0
8329a6fffffffff,590.0,5.0,0.0,0.0
8329a8fffffffff,404.0,0.0,0.0,0.0
8329a9fffffffff,3112.0,629.0,0.0,0.0
8329aafffffffff,1088.0,0.0,0.0,0.0
8329abfffffffff,2404.0,22.0,0.0,0.0
8329acfffffffff,4235.0,266.0,0.0,0.0
8329adfffffffff,10202.0,2066.0,0.0,0.0
8329aefffffffff,1700.0,0.0,0.0,0.0
8329b0fffffffff,252.0,0.0,10.0,0.0
8329b1fffffffff,239.0,0.0,62.0,0.0
8329b2fffffffff,2036.0,0.0,154.0,0.0
8329b3fffffffff,39.0,0.0,0.0,0.0
8329b6fffffffff,772.0,0.0,48.0,0.0
834525fffffffff,8.0,0.0,0.0,7.0
834802fffffffff,2.0,0.0,0.0,0.0
834805fffffffff,21.0,0.0,0.0,0.0
83480afffffffff,8.0,0.0,0.0,2.0
834810fffffffff,8.0,0.0,0.0,0.0
834811fffffffff,1.0,0.0,0.0,0.0
834812fffffffff,2.0,0.0,0.0,0.0
834813fffffffff,1.0,0.0,0.0,0.0
834814fffffffff,341.0,0.0,0.0,49.0
834815fffffffff,2.0,0.0,0.0,0.0
834816fffffffff,14.0,0.0,0.0,6.0
834818fffffffff,9.0,0.0,0.0,5.0
834819fffffffff,52.0,0.0,0.0,15.0
83481bfffffffff,8.0,0.0,0.0,0.0
83481cfffffffff,8.0,0.0,0.0,0.0
83481dfffffffff,35.0,0.0,0.0,5.0
83481efffffffff,1.0,0.0,0.0,1.0
83482efffffffff,77.0,0.0,0.0,0.0
834832fffffffff,10.0,0.0,0.0,0.0
834833fffffffff,66.0,0.0,0.0,13.0
834836fffffffff,35.0,0.0,0.0,2.0
83484afffffffff,1634.0,0.0,0.0,0.0
834859fffffffff,886.0,9.0,0.0,0.0
83485dfffffffff,155.0,0.0,0.0,0.0
834883fffffffff,52.0,0.0,0.0,0.0
834888fffffffff,24.0,0.0,2.0,0.0
834889fffffffff,1.0,0.0,0.0,0.0
83488afffffffff,13.0,0.0,0.0,0.0
83488dfffffffff,66.0,0.0,2.0,0.0
83488efffffffff,64.0,0.0,2.0,0.0
834898fffffffff,30.0,0.0,0.0,0.0
834899fffffffff,12.0,0.0,0.0,0.0
83489cfffffffff,157.0,0.0,0.0,0.0
83489dfffffffff,248.0,0.0,4.0,0.0
8348a0fffffffff,151.0,0.0,0.0,14.0
8348a2fffffffff,258.0,0.0,0.0,11.0
8348a3fffffffff,4.0,0.0,0.0,0.0
8348a6fffffffff,76.0,0.0,0.0,1.0
8348abfffffffff,1183.0,0.0,155.0,0.0
8348c0fffffffff,367.0,0.0,28.0,0.0
8348c1fffffffff,234.0,0.0,41.0,0.0
8348c2fffffffff,55.0,0.0,0.0,0.0
8348c3fffffffff,967.0,0.0,102.0,0.0
8348c4fffffffff,5.0,0.0,0.0,0.0
8348c5fffffffff,5432.0,0.0,1180.0,0.0
8348c6fffffffff,58.0,0.0,7.0,0.0
8348c8fffffffff,11.0,0.0,2.0,0.0
8348c9fffffffff,319.0,0.0,27.0,0.0
8348cafffffffff,93.0,0.0,11.0,0.0
8348cbfffffffff,32.0,0.0,7.0,0.0
