cell_id,Cnemotriccus fuscatus,Cnemotriccus fuscatus duidae,Cnemotriccus fuscatus [fuscatus Group]
835f58fffffffff,1.0,0.0,1.0
835f5bfffffffff,8.0,0.0,1.0
83665afffffffff,5.0,5.0,0.0
8366cdfffffffff,1.0,1.0,0.0
836743fffffffff,1.0,0.0,0.0
836751fffffffff,1.0,0.0,0.0
838a05fffffffff,2.0,2.0,0.0
838a31fffffffff,5.0,5.0,0.0
838a69fffffffff,5.0,0.0,5.0
838a6dfffffffff,2.0,2.0,0.0
838adafffffffff,11.0,0.0,0.0
838b61fffffffff,2.0,0.0,0.0
838b69fffffffff,8.0,8.0,0.0
838f40fffffffff,2.0,0.0,0.0
838f65fffffffff,2.0,2.0,0.0
83a944fffffffff,1.0,0.0,1.0
83a945fffffffff,2.0,0.0,0.0
83a94dfffffffff,3.0,0.0,0.0
83a95efffffffff,1.0,0.0,0.0
83a961fffffffff,12.0,0.0,0.0
83a963fffffffff,2.0,0.0,0.0
83a964fffffffff,18.0,0.0,0.0
83a965fffffffff,6.0,0.0,0.0
83a971fffffffff,4.0,0.0,0.0
83b343fffffffff,2.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0
83b34bfffffffff,2.0,0.0,0.0
83b34dfffffffff,6.0,0.0,0.0
83b34efffffffff,2.0,0.0,0.0
83b358fffffffff,7.0,0.0,3.0
83c2cbfffffffff,5.0,0.0,0.0
83c2cdfffffffff,1.0,0.0,0.0
83c2d9fffffffff,32.0,0.0,0.0
