cell_id,Leptocoma aspasia,Leptocoma aspasia talautensis/sangirensis,Leptocoma aspasia grayi,Leptocoma aspasia porphyrolaema,Leptocoma aspasia [aspasioides Group],Leptocoma aspasia chlorolaema,Leptocoma aspasia [aspasia Group],Leptocoma aspasia [corinna Group],Leptocoma aspasia [undescribed form]
8468c21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c23ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c27ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c3dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c81ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c89ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c8bffffffff,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468c8dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468ca9ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468cd1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468cd9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468ce3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468ce7ffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d05ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d13ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d23ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d29ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d2bffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d63ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d81ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d85ffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d87ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d8bffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468d8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468dcdffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468dd9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468ddbffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84728c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472901ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472905ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847290dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472917ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84729dbffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472a07ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472a2bffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472a31ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472a3bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472a6dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472aa3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472ae1ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472ae3ffffffff,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472ae7ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472aedffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472b57ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472c25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d19ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d23ffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d3dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d59ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d5dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d91ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d93ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d97ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472db3ffffffff,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472dbbffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472debffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472f23ffffffff,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472f35ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473901ffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473905ffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473907ffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473909ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847390bffffffff,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
