cell_id,Cisticola aberrans,Cisticola aberrans [emini Group],Cisticola aberrans [aberrans Group]
83585afffffffff,2.0,0.0,0.0
8358b5fffffffff,2.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358e2fffffffff,60.0,0.0,0.0
8358e6fffffffff,2.0,0.0,0.0
8358f4fffffffff,1.0,0.0,0.0
8358f5fffffffff,18.0,0.0,0.0
83599efffffffff,76.0,7.0,0.0
836ac9fffffffff,4.0,0.0,0.0
836addfffffffff,2.0,0.0,0.0
836aeefffffffff,2.0,0.0,0.0
837520fffffffff,16.0,8.0,0.0
837529fffffffff,2.0,0.0,0.0
837532fffffffff,1.0,0.0,0.0
837a68fffffffff,40.0,0.0,0.0
837a6dfffffffff,8.0,0.0,0.0
839600fffffffff,9.0,0.0,6.0
839604fffffffff,2.0,0.0,2.0
839615fffffffff,5.0,0.0,2.0
839620fffffffff,4.0,0.0,0.0
839623fffffffff,1.0,0.0,0.0
839624fffffffff,2.0,0.0,0.0
839630fffffffff,1.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0
8396a5fffffffff,1.0,0.0,0.0
839702fffffffff,16.0,0.0,0.0
839703fffffffff,42.0,0.0,9.0
83970afffffffff,2.0,0.0,0.0
839719fffffffff,10.0,0.0,0.0
83971cfffffffff,15.0,0.0,6.0
83971dfffffffff,5.0,0.0,0.0
839728fffffffff,7.0,0.0,0.0
83972cfffffffff,10.0,0.0,5.0
83972dfffffffff,39.0,0.0,16.0
839751fffffffff,8.0,0.0,0.0
839772fffffffff,2.0,0.0,0.0
83978efffffffff,13.0,0.0,0.0
8397a8fffffffff,9.0,0.0,0.0
8397abfffffffff,2.0,0.0,2.0
83bc09fffffffff,2.0,0.0,1.0
83bc0bfffffffff,2.0,0.0,0.0
83bc19fffffffff,3.0,0.0,1.0
83bc46fffffffff,1.0,0.0,0.0
83bc54fffffffff,9.0,0.0,0.0
83bc55fffffffff,1.0,0.0,0.0
83bc72fffffffff,3.0,0.0,0.0
83bc73fffffffff,15.0,0.0,5.0
83bcc2fffffffff,21.0,0.0,10.0
83bcc3fffffffff,42.0,0.0,24.0
83bcc4fffffffff,23.0,0.0,7.0
83bcc6fffffffff,18.0,0.0,7.0
83bcd0fffffffff,125.0,0.0,54.0
83bcd1fffffffff,52.0,0.0,7.0
83bcd2fffffffff,22.0,0.0,9.0
83bcd3fffffffff,34.0,0.0,11.0
83bcd4fffffffff,32.0,0.0,0.0
83bcd5fffffffff,5.0,0.0,0.0
83bcd6fffffffff,5.0,0.0,4.0
83bcd8fffffffff,15.0,0.0,5.0
83bcd9fffffffff,7.0,0.0,0.0
83bcdcfffffffff,45.0,0.0,12.0
83bcddfffffffff,6.0,0.0,0.0
83bcdefffffffff,15.0,0.0,6.0
83bce0fffffffff,4.0,0.0,0.0
83bce2fffffffff,27.0,0.0,4.0
83bce6fffffffff,31.0,0.0,17.0
83bce8fffffffff,2.0,0.0,0.0
83bcf0fffffffff,21.0,0.0,11.0
83bcf1fffffffff,8.0,0.0,5.0
83bcf2fffffffff,25.0,0.0,8.0
83bcf3fffffffff,49.0,0.0,31.0
83bcf5fffffffff,72.0,0.0,37.0
83bcf6fffffffff,11.0,0.0,2.0
