cell_id,Icterus graduacauda,Icterus graduacauda graduacauda/audubonii,Icterus graduacauda dickeyae/nayaritensis
83456dfffffffff,2.0,0.0,0.0
834836fffffffff,311.0,0.0,107.0
834880fffffffff,839.0,0.0,0.0
834882fffffffff,737.0,0.0,0.0
834883fffffffff,152.0,0.0,0.0
834884fffffffff,59.0,4.0,0.0
834885fffffffff,5.0,0.0,0.0
834886fffffffff,443.0,0.0,0.0
834891fffffffff,152.0,0.0,0.0
834895fffffffff,417.0,0.0,0.0
83489cfffffffff,322.0,0.0,0.0
83489dfffffffff,101.0,0.0,0.0
8348a0fffffffff,1.0,0.0,0.0
8348a2fffffffff,1601.0,39.0,0.0
8348a3fffffffff,2.0,0.0,0.0
8348a6fffffffff,19.0,0.0,0.0
8348abfffffffff,2.0,0.0,0.0
8348b1fffffffff,3421.0,154.0,0.0
8348b3fffffffff,737.0,5.0,0.0
8348b5fffffffff,122.0,4.0,0.0
834982fffffffff,1.0,0.0,0.0
834983fffffffff,12.0,0.0,0.0
83498dfffffffff,4.0,0.0,0.0
834990fffffffff,37.0,0.0,0.0
834991fffffffff,45.0,0.0,0.0
834992fffffffff,6.0,0.0,0.0
834993fffffffff,7.0,7.0,0.0
834994fffffffff,12.0,0.0,0.0
834995fffffffff,1.0,0.0,0.0
834996fffffffff,1438.0,604.0,0.0
834998fffffffff,403.0,40.0,0.0
83499afffffffff,2.0,2.0,0.0
83499bfffffffff,58.0,9.0,0.0
83499cfffffffff,143.0,15.0,0.0
83499dfffffffff,20.0,2.0,0.0
83499efffffffff,63.0,0.0,0.0
8349a8fffffffff,108.0,0.0,14.0
8349a9fffffffff,31.0,0.0,11.0
8349aafffffffff,25.0,0.0,12.0
8349abfffffffff,1.0,0.0,0.0
8349b0fffffffff,8.0,0.0,3.0
8349b1fffffffff,29.0,0.0,20.0
8349b2fffffffff,2.0,0.0,0.0
8349b3fffffffff,1.0,0.0,0.0
8349b5fffffffff,94.0,0.0,52.0
8349b6fffffffff,4.0,0.0,0.0
836d14fffffffff,5.0,0.0,0.0
836d15fffffffff,2.0,0.0,0.0
836d30fffffffff,145.0,0.0,18.0
836d32fffffffff,368.0,0.0,171.0
836d33fffffffff,599.0,0.0,371.0
836d36fffffffff,77.0,1.0,0.0
