cell_id,Colaptes campestris,Colaptes campestris campestris,Colaptes campestris campestroides,Colaptes campestris campestris x campestroides
848b22dffffffff,2.0,0.0,0.0,0.0
84a875bffffffff,2.0,0.0,2.0,0.0
84a940dffffffff,1.0,0.0,0.0,0.0
84a9429ffffffff,4.0,0.0,0.0,0.0
84a9447ffffffff,2.0,0.0,0.0,0.0
84a9457ffffffff,2.0,0.0,0.0,0.0
84a94e5ffffffff,1.0,0.0,0.0,0.0
84a953bffffffff,2.0,0.0,2.0,0.0
84a95bbffffffff,1.0,0.0,0.0,0.0
84a9611ffffffff,5.0,0.0,0.0,0.0
84a9613ffffffff,46.0,0.0,0.0,0.0
84a9617ffffffff,6.0,0.0,0.0,0.0
84a9619ffffffff,2.0,0.0,0.0,0.0
84a9627ffffffff,8.0,0.0,8.0,0.0
84a962bffffffff,3.0,0.0,0.0,0.0
84a96c1ffffffff,2.0,0.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0,0.0
84b248bffffffff,41.0,0.0,0.0,0.0
84b2493ffffffff,4.0,0.0,0.0,0.0
84b2495ffffffff,2.0,0.0,0.0,0.0
84b2497ffffffff,6.0,0.0,0.0,0.0
84b2499ffffffff,20.0,0.0,0.0,0.0
84b249bffffffff,3.0,0.0,0.0,0.0
84b249dffffffff,21.0,0.0,0.0,0.0
84b24b9ffffffff,4.0,0.0,0.0,0.0
84b24d1ffffffff,194.0,0.0,0.0,0.0
84b24d3ffffffff,116.0,0.0,0.0,0.0
84b24d5ffffffff,11.0,0.0,0.0,0.0
84b24d7ffffffff,30.0,0.0,0.0,0.0
84b24d9ffffffff,22.0,0.0,0.0,0.0
84b24dbffffffff,199.0,0.0,0.0,0.0
84b24ddffffffff,6.0,0.0,0.0,0.0
84b25cdffffffff,1.0,0.0,0.0,0.0
84b2613ffffffff,5.0,0.0,0.0,0.0
84b2681ffffffff,2.0,0.0,0.0,0.0
84b2683ffffffff,1.0,0.0,0.0,0.0
84b2687ffffffff,7.0,0.0,0.0,0.0
84b268bffffffff,15.0,0.0,0.0,0.0
84b268dffffffff,4.0,0.0,0.0,0.0
84b2691ffffffff,21.0,0.0,0.0,0.0
84b2693ffffffff,4.0,0.0,0.0,0.0
84b2695ffffffff,7.0,0.0,0.0,0.0
84b2697ffffffff,4.0,0.0,0.0,0.0
84b269bffffffff,4.0,0.0,0.0,0.0
84b269dffffffff,9.0,0.0,0.0,0.0
84b26a3ffffffff,2.0,0.0,0.0,0.0
84b26b1ffffffff,13.0,0.0,0.0,0.0
84b26b3ffffffff,10.0,0.0,0.0,0.0
84b26b5ffffffff,2.0,0.0,0.0,0.0
84b26b9ffffffff,10.0,0.0,0.0,0.0
84b26bbffffffff,4.0,0.0,0.0,0.0
84b26bdffffffff,52.0,0.0,0.0,0.0
84b26c5ffffffff,2.0,0.0,0.0,0.0
84b26c9ffffffff,2.0,0.0,0.0,0.0
84b26d1ffffffff,2.0,0.0,0.0,0.0
84b26d7ffffffff,36.0,0.0,0.0,0.0
84b26ddffffffff,14.0,0.0,0.0,0.0
84b342bffffffff,8.0,0.0,0.0,0.0
84b35d5ffffffff,1.0,0.0,0.0,0.0
84b3731ffffffff,1.0,0.0,0.0,0.0
84c21bbffffffff,3.0,0.0,3.0,0.0
84c22a1ffffffff,2.0,0.0,2.0,0.0
84c2c19ffffffff,1.0,0.0,0.0,0.0
84c2c53ffffffff,1.0,0.0,1.0,0.0
84c2c91ffffffff,18.0,0.0,0.0,0.0
84c2c93ffffffff,1.0,0.0,0.0,0.0
84c2c95ffffffff,3.0,0.0,0.0,0.0
84c2c97ffffffff,24.0,0.0,0.0,0.0
84c2c99ffffffff,57.0,0.0,0.0,0.0
84c2c9bffffffff,1.0,0.0,0.0,0.0
84c2cbbffffffff,2.0,0.0,0.0,0.0
84c2cd3ffffffff,101.0,0.0,0.0,0.0
84c2ce1ffffffff,1.0,0.0,1.0,0.0
84c2e03ffffffff,3.0,0.0,0.0,0.0
84c2e31ffffffff,4.0,0.0,4.0,0.0
84c2e33ffffffff,3.0,0.0,0.0,0.0
84c2e95ffffffff,2.0,0.0,0.0,0.0
84c2e97ffffffff,4.0,0.0,0.0,0.0
84c2e99ffffffff,34.0,0.0,0.0,0.0
84c2e9bffffffff,2.0,0.0,0.0,0.0
84c2ebbffffffff,11.0,0.0,0.0,0.0
84c2f31ffffffff,8.0,0.0,0.0,0.0
84c2f33ffffffff,4.0,0.0,0.0,0.0
84c2f35ffffffff,2.0,0.0,0.0,0.0
84c2f37ffffffff,6.0,0.0,0.0,0.0
84c3487ffffffff,4.0,0.0,0.0,0.0
84c34b7ffffffff,4.0,0.0,0.0,0.0
84c34bdffffffff,22.0,0.0,0.0,0.0
