cell_id,Phyllomyias griseiceps,Phyllomyias griseiceps griseiceps,Phyllomyias griseiceps cristatus,Phyllomyias griseiceps caucae,Phyllomyias griseiceps pallidiceps
825f47fffffffff,4.0,0.0,0.0,0.0,0.0
825f4ffffffffff,2.0,0.0,2.0,0.0,0.0
826617fffffffff,1.0,0.0,1.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0,0.0
8266d7fffffffff,3.0,2.0,0.0,0.0,0.0
8266e7fffffffff,12.0,0.0,0.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0,0.0,0.0
82674ffffffffff,12.0,0.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0
828adffffffffff,1.0,0.0,0.0,0.0,1.0
828b47fffffffff,2.0,0.0,0.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0,0.0,0.0
828f0ffffffffff,1.0,0.0,0.0,0.0,0.0
828f2ffffffffff,1.0,1.0,0.0,0.0,0.0
828f4ffffffffff,7.0,0.0,0.0,0.0,0.0
