cell_id,Pterodroma feae,Pterodroma feae feae,Pterodroma feae deserta
843424bffffffff,1.0,0.0,0.0
8434601ffffffff,2.0,0.0,0.0
843460dffffffff,95.0,0.0,70.0
8434647ffffffff,22.0,0.0,11.0
8434663ffffffff,2.0,0.0,2.0
843466bffffffff,83.0,0.0,41.0
8435ae3ffffffff,1.0,0.0,0.0
8454941ffffffff,2.0,1.0,0.0
8454945ffffffff,1.0,0.0,0.0
8454949ffffffff,1.0,0.0,0.0
845494bffffffff,19.0,9.0,0.0
8454969ffffffff,6.0,1.0,0.0
8457493ffffffff,1.0,0.0,0.0
84574c5ffffffff,3.0,3.0,0.0
84574cbffffffff,1.0,1.0,0.0
84574cdffffffff,2.0,2.0,0.0
84574d1ffffffff,45.0,35.0,0.0
84574d9ffffffff,9.0,4.0,0.0
84574ddffffffff,2.0,1.0,0.0
84576b7ffffffff,1.0,0.0,0.0
