cell_id,Cryptospiza reichenovii,Cryptospiza reichenovii reichenovii,Cryptospiza reichenovii australis/ocularis
8458d13ffffffff,5.0,0.0,0.0
8458d33ffffffff,14.0,14.0,0.0
8458dcdffffffff,1.0,0.0,0.0
846ac07ffffffff,1.0,0.0,0.0
846ac39ffffffff,1.0,0.0,0.0
846adc1ffffffff,12.0,0.0,0.0
846adc5ffffffff,10.0,0.0,0.0
846ade5ffffffff,1.0,0.0,0.0
846ade7ffffffff,29.0,0.0,0.0
846ade9ffffffff,1.0,0.0,1.0
847b487ffffffff,25.0,0.0,2.0
847b4b3ffffffff,1.0,0.0,0.0
847b4b9ffffffff,70.0,0.0,10.0
847b4bdffffffff,1.0,0.0,0.0
847b4dbffffffff,6.0,0.0,0.0
8482d03ffffffff,1.0,0.0,0.0
8482d1dffffffff,27.0,11.0,0.0
8482d3dffffffff,20.0,3.0,0.0
8496921ffffffff,1.0,0.0,0.0
8496925ffffffff,7.0,0.0,0.0
8496a03ffffffff,5.0,0.0,0.0
8496a4bffffffff,1.0,0.0,0.0
8496a57ffffffff,1.0,0.0,0.0
8496a59ffffffff,3.0,0.0,0.0
8496a5dffffffff,15.0,0.0,5.0
8496b09ffffffff,10.0,0.0,0.0
8496b0dffffffff,1.0,0.0,0.0
8496b21ffffffff,4.0,0.0,0.0
8496b55ffffffff,1.0,0.0,0.0
8496b5bffffffff,4.0,0.0,0.0
8496b67ffffffff,3.0,0.0,0.0
8497007ffffffff,3.0,0.0,0.0
8497035ffffffff,52.0,0.0,11.0
84971c1ffffffff,19.0,0.0,1.0
84971c3ffffffff,17.0,0.0,1.0
84971cbffffffff,15.0,0.0,0.0
8497895ffffffff,6.0,0.0,0.0
84978bdffffffff,1.0,0.0,0.0
84978d1ffffffff,1.0,0.0,0.0
84978ebffffffff,6.0,0.0,0.0
8497a85ffffffff,10.0,0.0,2.0
8497a89ffffffff,1.0,0.0,0.0
8497ac7ffffffff,1.0,0.0,0.0
