cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
820007fffffffff,4.0,0.0,0.0
820027fffffffff,1.0,0.0,0.0
82002ffffffffff,118.0,7.0,0.0
820077fffffffff,27.0,1.0,0.0
82010ffffffffff,3.0,0.0,0.0
820127fffffffff,49.0,0.0,0.0
820137fffffffff,746.0,7.0,35.0
820147fffffffff,1.0,1.0,0.0
820157fffffffff,405.0,53.0,0.0
82015ffffffffff,440.0,238.0,0.0
8201b7fffffffff,2.0,0.0,0.0
820247fffffffff,46.0,0.0,0.0
82024ffffffffff,47.0,0.0,0.0
820257fffffffff,37.0,0.0,0.0
82025ffffffffff,3.0,0.0,0.0
820267fffffffff,7.0,0.0,0.0
82026ffffffffff,1.0,0.0,0.0
820277fffffffff,4.0,0.0,0.0
820607fffffffff,2.0,0.0,0.0
820627fffffffff,4.0,0.0,0.0
82062ffffffffff,1.0,0.0,0.0
820637fffffffff,2.0,0.0,0.0
82068ffffffffff,15.0,0.0,0.0
820697fffffffff,7.0,0.0,0.0
82069ffffffffff,2.0,0.0,0.0
8206cffffffffff,4.0,0.0,0.0
8206d7fffffffff,14.0,0.0,0.0
8206dffffffffff,9.0,0.0,0.0
8206effffffffff,3.0,0.0,0.0
820707fffffffff,15.0,4.0,0.0
820747fffffffff,238.0,0.0,33.0
82074ffffffffff,123.0,0.0,17.0
820757fffffffff,358.0,0.0,50.0
82075ffffffffff,1309.0,2.0,128.0
820767fffffffff,159.0,0.0,24.0
820777fffffffff,679.0,2.0,196.0
8207affffffffff,1.0,0.0,0.0
820807fffffffff,53.0,0.0,0.0
820817fffffffff,37.0,0.0,1.0
82082ffffffffff,24.0,0.0,0.0
820837fffffffff,10.0,0.0,0.0
820887fffffffff,48.0,0.0,0.0
82088ffffffffff,36.0,0.0,14.0
820897fffffffff,44.0,0.0,9.0
82089ffffffffff,120.0,0.0,4.0
8208c7fffffffff,2.0,0.0,0.0
8208d7fffffffff,18.0,0.0,0.0
8208effffffffff,45.0,0.0,0.0
8208f7fffffffff,12.0,0.0,0.0
820937fffffffff,21.0,0.0,0.0
82094ffffffffff,47.0,0.0,0.0
82095ffffffffff,68.0,0.0,0.0
820987fffffffff,58.0,0.0,0.0
82098ffffffffff,21.0,0.0,0.0
820997fffffffff,80.0,0.0,4.0
82099ffffffffff,16.0,0.0,0.0
8209a7fffffffff,523.0,0.0,22.0
8209affffffffff,25.0,0.0,0.0
820c17fffffffff,304.0,0.0,0.0
820ca7fffffffff,626.0,0.0,0.0
820d07fffffffff,478.0,0.0,0.0
820d0ffffffffff,12.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0
820d9ffffffffff,1.0,0.0,0.0
820e07fffffffff,1.0,0.0,0.0
820e0ffffffffff,37.0,0.0,0.0
820e27fffffffff,2.0,0.0,0.0
820e37fffffffff,27.0,0.0,0.0
820e4ffffffffff,1281.0,0.0,0.0
820e87fffffffff,23.0,0.0,0.0
820ee7fffffffff,5.0,0.0,0.0
820eeffffffffff,30.0,0.0,0.0
820f0ffffffffff,1.0,0.0,0.0
820f27fffffffff,2.0,0.0,0.0
820f2ffffffffff,6.0,0.0,0.0
820f37fffffffff,8.0,0.0,0.0
820f4ffffffffff,2.0,0.0,0.0
820f57fffffffff,9.0,0.0,0.0
820f5ffffffffff,3.0,0.0,0.0
820fa7fffffffff,2.0,0.0,0.0
821127fffffffff,9.0,0.0,0.0
821167fffffffff,1.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0
82176ffffffffff,1.0,0.0,0.0
821807fffffffff,234.0,0.0,35.0
82180ffffffffff,36.0,0.0,2.0
821827fffffffff,91.0,0.0,19.0
82182ffffffffff,408.0,0.0,7.0
821907fffffffff,33.0,0.0,0.0
82190ffffffffff,891.0,0.0,60.0
82191ffffffffff,2.0,0.0,0.0
821927fffffffff,206.0,0.0,0.0
82192ffffffffff,421.0,0.0,50.0
821957fffffffff,642.0,0.0,160.0
82195ffffffffff,2.0,0.0,0.0
821977fffffffff,6.0,0.0,0.0
821aa7fffffffff,4365.0,0.0,71.0
821ab7fffffffff,51.0,0.0,0.0
821b27fffffffff,6.0,0.0,0.0
821b37fffffffff,1.0,0.0,0.0
821b87fffffffff,170.0,0.0,1.0
821b8ffffffffff,30.0,0.0,0.0
821b97fffffffff,101.0,0.0,0.0
821b9ffffffffff,208.0,0.0,8.0
821ba7fffffffff,1.0,0.0,0.0
821bb7fffffffff,8.0,0.0,0.0
821f07fffffffff,22.0,0.0,7.0
821f27fffffffff,91.0,0.0,15.0
821f2ffffffffff,72.0,0.0,27.0
821f37fffffffff,106.0,0.0,0.0
821f67fffffffff,1.0,0.0,0.0
822a07fffffffff,2.0,0.0,0.0
822a37fffffffff,9139.0,0.0,73.0
822b07fffffffff,374.0,0.0,0.0
822b0ffffffffff,5193.0,0.0,0.0
822b17fffffffff,11942.0,0.0,0.0
822b1ffffffffff,26337.0,0.0,0.0
822b27fffffffff,2084.0,0.0,0.0
822b2ffffffffff,1317.0,0.0,0.0
822b37fffffffff,5471.0,0.0,0.0
822ba7fffffffff,1.0,0.0,0.0
