cell_id,Geothlypis semiflava,Geothlypis semiflava bairdi,Geothlypis semiflava chiriquensis,Geothlypis semiflava semiflava
82661ffffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,2.0,0.0,0.0,0.0
8266b7fffffffff,50.0,1.0,45.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0
8266d7fffffffff,48.0,0.0,0.0,0.0
8266e7fffffffff,1.0,0.0,0.0,0.0
8266f7fffffffff,17.0,0.0,0.0,0.0
826d67fffffffff,4.0,0.0,0.0,0.0
826d6ffffffffff,13.0,1.0,0.0,0.0
828f0ffffffffff,4.0,0.0,0.0,4.0
828f2ffffffffff,3.0,0.0,0.0,0.0
828f77fffffffff,6.0,0.0,0.0,0.0
