cell_id,Horornis diphone,Horornis diphone [cantans Group],Horornis diphone diphone
842e08bffffffff,1.0,0.0,0.0
842e0a1ffffffff,1.0,0.0,0.0
842e0a5ffffffff,2.0,0.0,0.0
842e0a9ffffffff,1.0,0.0,0.0
842e0abffffffff,1.0,0.0,0.0
842e0adffffffff,2.0,0.0,0.0
842e0c1ffffffff,2.0,0.0,0.0
842e0c9ffffffff,20.0,0.0,0.0
842e0d5ffffffff,2.0,0.0,0.0
842e0d7ffffffff,89.0,0.0,0.0
842e0ebffffffff,2.0,0.0,0.0
842e0edffffffff,1.0,0.0,0.0
842e135ffffffff,7.0,0.0,0.0
842e137ffffffff,9.0,0.0,0.0
842e187ffffffff,2.0,0.0,0.0
842e191ffffffff,4.0,0.0,0.0
842e195ffffffff,1.0,0.0,0.0
842e1a1ffffffff,2.0,0.0,0.0
842e1a3ffffffff,4.0,0.0,0.0
842e1a5ffffffff,11.0,0.0,0.0
842e1abffffffff,1.0,0.0,0.0
842e1adffffffff,6.0,0.0,0.0
842e1b1ffffffff,4.0,0.0,0.0
842e1b5ffffffff,40.0,0.0,0.0
842e1b7ffffffff,10.0,0.0,0.0
842e1b9ffffffff,2.0,0.0,0.0
842e1bbffffffff,1.0,0.0,0.0
842e1bdffffffff,21.0,0.0,0.0
842e1dbffffffff,1.0,0.0,0.0
842e293ffffffff,2.0,0.0,0.0
842e299ffffffff,20.0,0.0,0.0
842e29bffffffff,10.0,0.0,0.0
842e2b5ffffffff,2.0,0.0,0.0
842e2b7ffffffff,2.0,0.0,0.0
842e2dbffffffff,7.0,0.0,0.0
842e449ffffffff,5.0,0.0,0.0
842e44dffffffff,4.0,0.0,0.0
842e46dffffffff,6.0,0.0,0.0
842e601ffffffff,1.0,0.0,0.0
842e603ffffffff,2.0,0.0,0.0
842e605ffffffff,9.0,0.0,0.0
842e607ffffffff,3.0,0.0,0.0
842e609ffffffff,11.0,0.0,0.0
842e60bffffffff,19.0,0.0,0.0
842e60dffffffff,2.0,0.0,0.0
842e611ffffffff,59.0,0.0,0.0
842e613ffffffff,7.0,0.0,0.0
842e615ffffffff,84.0,0.0,0.0
842e617ffffffff,4.0,0.0,0.0
842e619ffffffff,82.0,0.0,0.0
842e61bffffffff,4.0,0.0,0.0
842e61dffffffff,7.0,0.0,0.0
842e62dffffffff,4.0,0.0,0.0
842e631ffffffff,3.0,0.0,0.0
842e633ffffffff,2.0,0.0,0.0
842e635ffffffff,2.0,0.0,0.0
842e639ffffffff,7.0,0.0,0.0
842e645ffffffff,2.0,0.0,0.0
842e653ffffffff,6.0,0.0,0.0
842e657ffffffff,2.0,0.0,0.0
842e661ffffffff,4.0,0.0,0.0
842e663ffffffff,1.0,0.0,0.0
842e667ffffffff,2.0,0.0,0.0
842e669ffffffff,2.0,0.0,0.0
842e681ffffffff,3.0,0.0,0.0
842e683ffffffff,5.0,0.0,0.0
842e685ffffffff,3.0,0.0,0.0
842e687ffffffff,23.0,0.0,0.0
842e689ffffffff,345.0,0.0,0.0
842e68bffffffff,5.0,0.0,0.0
842e68dffffffff,3.0,0.0,0.0
842e693ffffffff,1.0,0.0,0.0
842e699ffffffff,20.0,0.0,0.0
842e69bffffffff,3.0,0.0,0.0
842e69dffffffff,1.0,0.0,0.0
842e6a3ffffffff,2.0,0.0,0.0
842e6b5ffffffff,53.0,0.0,0.0
842e6b9ffffffff,3.0,0.0,0.0
842e6c1ffffffff,2.0,0.0,0.0
842e6c3ffffffff,10.0,0.0,0.0
842e6c5ffffffff,2.0,0.0,0.0
842e6c7ffffffff,13.0,0.0,0.0
842e6c9ffffffff,2.0,0.0,0.0
842e6cdffffffff,2.0,0.0,0.0
842e6d5ffffffff,87.0,0.0,0.0
842e6d7ffffffff,5.0,0.0,0.0
842e6ddffffffff,10.0,0.0,0.0
842e6e1ffffffff,1.0,0.0,0.0
842e6e3ffffffff,1.0,0.0,0.0
842e6edffffffff,1.0,0.0,0.0
842e709ffffffff,18.0,0.0,0.0
842e70dffffffff,4.0,0.0,0.0
842e713ffffffff,2.0,0.0,0.0
842e717ffffffff,2.0,0.0,0.0
842e719ffffffff,2.0,0.0,0.0
842e729ffffffff,5.0,0.0,0.0
842e72bffffffff,2.0,0.0,0.0
842e72dffffffff,2.0,0.0,0.0
842e743ffffffff,3.0,0.0,0.0
842e745ffffffff,88.0,0.0,0.0
842e747ffffffff,1.0,0.0,0.0
842e749ffffffff,32.0,0.0,0.0
842e74dffffffff,12.0,0.0,0.0
842e751ffffffff,10.0,0.0,0.0
842e753ffffffff,25.0,0.0,0.0
842e755ffffffff,1.0,0.0,0.0
842e757ffffffff,14.0,0.0,0.0
842e759ffffffff,44.0,0.0,0.0
842e75bffffffff,1.0,0.0,0.0
