cell_id,Diopsittaca nobilis,Diopsittaca nobilis nobilis,Diopsittaca nobilis cumanensis/longipennis
83a88cfffffffff,4.0,0.0,0.0
83a88dfffffffff,29.0,0.0,2.0
83a88efffffffff,6.0,0.0,0.0
83a8a0fffffffff,299.0,0.0,0.0
83a8a1fffffffff,4.0,0.0,0.0
83a8a2fffffffff,2.0,0.0,0.0
83a8a3fffffffff,4.0,0.0,0.0
83a8a9fffffffff,2.0,0.0,0.0
83a8c0fffffffff,80.0,0.0,3.0
83a8c1fffffffff,6.0,0.0,0.0
83a8c2fffffffff,90.0,0.0,2.0
83a8c3fffffffff,3.0,0.0,0.0
83a8c4fffffffff,23.0,0.0,2.0
83a8c5fffffffff,3.0,0.0,0.0
83a8c6fffffffff,13.0,0.0,0.0
83a8c9fffffffff,6.0,0.0,5.0
83a8cafffffffff,8.0,0.0,0.0
83a8ccfffffffff,10.0,0.0,0.0
83a8cdfffffffff,2.0,0.0,0.0
83a8cefffffffff,1.0,0.0,0.0
83a8d0fffffffff,8.0,0.0,0.0
83a8d1fffffffff,44.0,0.0,0.0
83a8d3fffffffff,81.0,0.0,0.0
83a8d4fffffffff,30.0,0.0,0.0
83a8d5fffffffff,3.0,0.0,0.0
83a8d6fffffffff,4.0,0.0,0.0
83a8d8fffffffff,1.0,0.0,0.0
83a8d9fffffffff,2.0,0.0,0.0
83a8dafffffffff,6.0,0.0,0.0
83a8dbfffffffff,2.0,0.0,0.0
83a8dcfffffffff,2.0,0.0,0.0
83a8ddfffffffff,2.0,0.0,0.0
83a8defffffffff,194.0,0.0,0.0
83a8e1fffffffff,5.0,0.0,0.0
83a8e2fffffffff,4.0,0.0,0.0
83a8e6fffffffff,24.0,0.0,1.0
83a8ebfffffffff,2.0,0.0,0.0
83a8ecfffffffff,89.0,0.0,2.0
83a8eefffffffff,2.0,0.0,0.0
83a8f0fffffffff,2.0,0.0,0.0
83a8f1fffffffff,3.0,0.0,0.0
83a8f2fffffffff,1.0,0.0,0.0
83a8f4fffffffff,12.0,0.0,0.0
83a8f5fffffffff,26.0,0.0,0.0
83a8f6fffffffff,3.0,0.0,0.0
