cell_id,Hydrobates pelagicus,Hydrobates pelagicus pelagicus,Hydrobates pelagicus melitensis
84074edffffffff,3.0,0.0,0.0
8407559ffffffff,2.0,0.0,0.0
84075d1ffffffff,3.0,0.0,0.0
841846dffffffff,1.0,0.0,0.0
8418495ffffffff,4.0,1.0,0.0
84184bdffffffff,1.0,0.0,0.0
8418557ffffffff,1.0,0.0,0.0
84185b5ffffffff,1.0,0.0,0.0
84185bbffffffff,11.0,0.0,0.0
841864dffffffff,1.0,0.0,0.0
84186a5ffffffff,1.0,0.0,0.0
841870dffffffff,3.0,0.0,0.0
8418763ffffffff,3.0,0.0,0.0
841876bffffffff,1.0,0.0,0.0
84190c7ffffffff,1.0,0.0,0.0
84190cdffffffff,1.0,0.0,0.0
8419269ffffffff,2.0,0.0,0.0
84192c3ffffffff,2.0,0.0,0.0
8419401ffffffff,2.0,1.0,0.0
8419411ffffffff,3.0,0.0,0.0
8419431ffffffff,1.0,0.0,0.0
8419461ffffffff,1.0,1.0,0.0
841948bffffffff,2.0,2.0,0.0
841948dffffffff,4.0,0.0,0.0
84194c5ffffffff,1.0,0.0,0.0
84194d5ffffffff,3.0,0.0,0.0
8419511ffffffff,1.0,0.0,0.0
8419581ffffffff,1.0,0.0,0.0
84196b7ffffffff,1.0,0.0,0.0
8419721ffffffff,1.0,0.0,0.0
841973bffffffff,2.0,0.0,0.0
841e967ffffffff,1.0,0.0,0.0
841ecadffffffff,1.0,0.0,0.0
841ed9bffffffff,6.0,0.0,0.0
841eda7ffffffff,3.0,0.0,0.0
841f217ffffffff,4.0,0.0,0.0
841f9b1ffffffff,3.0,0.0,0.0
842ac69ffffffff,68.0,0.0,0.0
842af15ffffffff,2.0,0.0,0.0
842af19ffffffff,1.0,0.0,0.0
842af43ffffffff,5.0,0.0,0.0
843460dffffffff,2.0,0.0,0.0
843466bffffffff,3.0,0.0,0.0
8438255ffffffff,3.0,0.0,0.0
843865bffffffff,1.0,0.0,0.0
843901dffffffff,9.0,0.0,0.0
8439101ffffffff,13.0,0.0,0.0
8439103ffffffff,3.0,0.0,0.0
8439105ffffffff,20.0,0.0,0.0
8439107ffffffff,10.0,0.0,0.0
843910dffffffff,2.0,0.0,0.0
8439115ffffffff,5.0,0.0,0.0
8439117ffffffff,13.0,0.0,0.0
8439139ffffffff,8.0,0.0,0.0
843914bffffffff,12.0,0.0,0.0
8439159ffffffff,2.0,0.0,0.0
8439187ffffffff,1.0,0.0,0.0
8439195ffffffff,5.0,0.0,0.0
84391a1ffffffff,11.0,0.0,0.0
84391a9ffffffff,8.0,0.0,0.0
84391b9ffffffff,9.0,0.0,0.0
84391e1ffffffff,11.0,0.0,0.0
84391e9ffffffff,4.0,0.0,0.0
843920dffffffff,7.0,0.0,0.0
8439221ffffffff,4.0,0.0,0.0
8439225ffffffff,32.0,0.0,0.0
8439227ffffffff,3.0,0.0,0.0
8439229ffffffff,6.0,0.0,0.0
8439241ffffffff,36.0,0.0,0.0
843925bffffffff,8.0,0.0,0.0
8439263ffffffff,2.0,0.0,0.0
843926bffffffff,5.0,2.0,0.0
8439311ffffffff,10.0,0.0,0.0
843931bffffffff,53.0,0.0,0.0
8439323ffffffff,12.0,0.0,0.0
8439331ffffffff,2.0,0.0,0.0
8439335ffffffff,17.0,0.0,0.0
8439337ffffffff,36.0,0.0,0.0
8439339ffffffff,2.0,0.0,0.0
843933bffffffff,8.0,0.0,0.0
8439427ffffffff,2.0,0.0,0.0
8439469ffffffff,2.0,0.0,0.0
843946bffffffff,1.0,0.0,0.0
843946dffffffff,28.0,0.0,8.0
8439547ffffffff,4.0,0.0,0.0
843955dffffffff,4.0,0.0,0.0
8439563ffffffff,1.0,0.0,0.0
8439567ffffffff,1.0,0.0,0.0
84395c9ffffffff,2.0,0.0,0.0
84395cbffffffff,3.0,0.0,0.0
84395d9ffffffff,1.0,0.0,0.0
8439825ffffffff,1.0,1.0,0.0
843f305ffffffff,2.0,0.0,0.0
843f621ffffffff,19.0,0.0,0.0
843f74dffffffff,2.0,0.0,0.0
8444a1dffffffff,2.0,0.0,0.0
84ad111ffffffff,3.0,0.0,0.0
84ad34dffffffff,6.0,0.0,0.0
84ad369ffffffff,1.0,0.0,0.0
84bc1b7ffffffff,11.0,11.0,0.0
84bc693ffffffff,8.0,0.0,0.0
84bc6d7ffffffff,1.0,0.0,0.0
84d1657ffffffff,3.0,0.0,0.0
84d169bffffffff,2.0,0.0,0.0
