cell_id,Microcerculus marginatus,Microcerculus marginatus luscinia,Microcerculus marginatus taeniatus/occidentalis,Microcerculus marginatus [marginatus Group]
826607fffffffff,30.0,0.0,0.0,1.0
82660ffffffffff,1077.0,0.0,0.0,16.0
826617fffffffff,838.0,153.0,0.0,0.0
82661ffffffffff,5028.0,0.0,4.0,56.0
826627fffffffff,263.0,11.0,0.0,11.0
82662ffffffffff,176.0,0.0,0.0,0.0
826637fffffffff,2.0,0.0,0.0,0.0
826647fffffffff,6.0,0.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0,0.0
826657fffffffff,17.0,0.0,0.0,0.0
82665ffffffffff,369.0,0.0,0.0,0.0
8266a7fffffffff,2392.0,224.0,0.0,0.0
8266affffffffff,12.0,0.0,0.0,0.0
8266b7fffffffff,4220.0,31.0,0.0,0.0
8266c7fffffffff,447.0,0.0,0.0,1.0
8266cffffffffff,14.0,0.0,0.0,0.0
8266d7fffffffff,4411.0,0.0,271.0,121.0
8266dffffffffff,671.0,0.0,0.0,165.0
8266e7fffffffff,3259.0,0.0,0.0,44.0
8266effffffffff,35.0,0.0,0.0,0.0
8266f7fffffffff,1985.0,0.0,22.0,0.0
826747fffffffff,436.0,0.0,0.0,14.0
82674ffffffffff,52.0,0.0,0.0,0.0
826757fffffffff,72.0,0.0,0.0,0.0
82675ffffffffff,129.0,0.0,0.0,0.0
82679ffffffffff,237.0,0.0,0.0,0.0
826d6ffffffffff,768.0,0.0,0.0,0.0
828047fffffffff,5.0,0.0,0.0,0.0
828067fffffffff,57.0,0.0,0.0,0.0
828077fffffffff,4.0,0.0,0.0,0.0
82814ffffffffff,229.0,0.0,0.0,2.0
82815ffffffffff,5.0,0.0,0.0,0.0
828a07fffffffff,13.0,0.0,0.0,0.0
828a17fffffffff,8.0,0.0,0.0,2.0
828a1ffffffffff,11.0,0.0,0.0,0.0
828a27fffffffff,16.0,0.0,0.0,2.0
828a2ffffffffff,2.0,0.0,0.0,0.0
828a37fffffffff,4.0,0.0,0.0,0.0
828a47fffffffff,114.0,0.0,0.0,1.0
828a4ffffffffff,2.0,0.0,0.0,0.0
828a6ffffffffff,313.0,0.0,0.0,21.0
828a77fffffffff,15.0,0.0,0.0,0.0
828a87fffffffff,8.0,0.0,0.0,0.0
828a97fffffffff,4.0,0.0,0.0,0.0
828a9ffffffffff,15.0,0.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0,2.0
828ab7fffffffff,1.0,0.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0,0.0
828af7fffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,51.0,0.0,0.0,0.0
828b2ffffffffff,72.0,0.0,0.0,0.0
828b47fffffffff,758.0,0.0,0.0,4.0
828b4ffffffffff,21.0,0.0,0.0,0.0
828b57fffffffff,9.0,0.0,0.0,0.0
828b5ffffffffff,23.0,0.0,0.0,4.0
828b67fffffffff,712.0,0.0,0.0,8.0
828b6ffffffffff,203.0,0.0,0.0,0.0
828b77fffffffff,173.0,0.0,0.0,0.0
828b87fffffffff,3.0,0.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0,0.0
828b9ffffffffff,19.0,0.0,0.0,3.0
828e67fffffffff,40.0,0.0,0.0,0.0
828f2ffffffffff,478.0,0.0,36.0,0.0
828f47fffffffff,816.0,0.0,0.0,100.0
828f4ffffffffff,193.0,0.0,0.0,0.0
828f57fffffffff,9.0,0.0,0.0,0.0
828f5ffffffffff,67.0,0.0,0.0,0.0
828f67fffffffff,122.0,0.0,0.0,0.0
828f6ffffffffff,28.0,0.0,0.0,7.0
828f77fffffffff,364.0,0.0,0.0,50.0
82b327fffffffff,2.0,0.0,0.0,0.0
