cell_id,Prioniturus discurus,Prioniturus discurus whiteheadi,Prioniturus discurus discurus
836841fffffffff,1.0,0.0,0.0
836842fffffffff,1.0,0.0,0.0
836843fffffffff,7.0,0.0,7.0
836844fffffffff,32.0,0.0,0.0
836845fffffffff,2.0,0.0,0.0
836846fffffffff,51.0,2.0,0.0
83684efffffffff,126.0,0.0,24.0
836856fffffffff,31.0,0.0,6.0
836858fffffffff,1.0,0.0,0.0
83685cfffffffff,2.0,0.0,0.0
83685dfffffffff,27.0,0.0,2.0
83685efffffffff,45.0,0.0,15.0
836862fffffffff,11.0,0.0,0.0
836866fffffffff,12.0,0.0,0.0
83686efffffffff,3.0,0.0,0.0
836871fffffffff,5.0,0.0,0.0
836875fffffffff,18.0,2.0,0.0
836959fffffffff,1.0,0.0,0.0
