cell_id,Leiothrix argentauris,Leiothrix argentauris [argentauris Group],Leiothrix argentauris laurinae/rookmakeri
833c0afffffffff,5.0,0.0,0.0
833c19fffffffff,6.0,0.0,0.0
833c1dfffffffff,4.0,0.0,0.0
833c36fffffffff,3.0,0.0,0.0
833cc0fffffffff,16.0,0.0,0.0
833cc1fffffffff,22.0,0.0,0.0
833cc3fffffffff,11.0,0.0,0.0
833ce2fffffffff,23.0,0.0,0.0
833ce4fffffffff,2.0,1.0,0.0
833ce5fffffffff,6.0,0.0,0.0
833cecfffffffff,1.0,0.0,0.0
833cedfffffffff,2.0,0.0,0.0
833d13fffffffff,1.0,0.0,0.0
833dadfffffffff,7.0,0.0,0.0
834ba2fffffffff,3.0,0.0,0.0
834ba6fffffffff,2.0,0.0,0.0
836434fffffffff,2.0,0.0,0.0
836491fffffffff,4.0,4.0,0.0
836500fffffffff,221.0,3.0,0.0
836503fffffffff,19.0,0.0,0.0
836505fffffffff,33.0,0.0,0.0
83651cfffffffff,1.0,0.0,0.0
8365b2fffffffff,3.0,0.0,0.0
8365b3fffffffff,2.0,0.0,0.0
