cell_id,Xiphorhynchus susurrans,Xiphorhynchus susurrans [nana Group],Xiphorhynchus susurrans [susurrans Group]
844521dffffffff,3.0,0.0,0.0
845f583ffffffff,11.0,0.0,11.0
845f5b5ffffffff,2.0,0.0,0.0
845f5b9ffffffff,7.0,0.0,7.0
84660d1ffffffff,2.0,2.0,0.0
846610bffffffff,2.0,0.0,0.0
8466113ffffffff,5.0,0.0,0.0
84661cdffffffff,5.0,0.0,0.0
846623bffffffff,10.0,0.0,0.0
8466295ffffffff,2.0,0.0,0.0
8466a33ffffffff,1.0,0.0,0.0
8466a51ffffffff,2.0,0.0,0.0
8466b09ffffffff,2.0,2.0,0.0
8466b0bffffffff,4.0,1.0,0.0
8466b1dffffffff,1.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0
8466b55ffffffff,4.0,2.0,0.0
8466b57ffffffff,3.0,0.0,0.0
8467413ffffffff,14.0,0.0,0.0
84674c7ffffffff,2.0,0.0,0.0
84674e9ffffffff,2.0,0.0,0.0
8467599ffffffff,3.0,0.0,3.0
84675c1ffffffff,1.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675cbffffffff,5.0,0.0,0.0
846792dffffffff,7.0,0.0,0.0
84679a5ffffffff,14.0,1.0,0.0
846d689ffffffff,2.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0
846d691ffffffff,6.0,0.0,0.0
846d697ffffffff,6.0,0.0,0.0
846d69dffffffff,5.0,1.0,0.0
846d6bbffffffff,64.0,0.0,0.0
