cell_id,Sterna vittata,Sterna vittata [vittata Group],Sterna vittata georgiae
82ad37fffffffff,26.0,7.0,0.0
82bc6ffffffffff,9.0,0.0,0.0
82bc77fffffffff,2.0,0.0,0.0
82c01ffffffffff,17.0,0.0,0.0
82c0e7fffffffff,7.0,0.0,0.0
82ca87fffffffff,1.0,0.0,0.0
82ccf7fffffffff,1.0,0.0,0.0
82da07fffffffff,77.0,0.0,0.0
82da1ffffffffff,77.0,0.0,0.0
82da77fffffffff,62.0,0.0,0.0
82daaffffffffff,50.0,0.0,0.0
82db87fffffffff,77.0,0.0,0.0
82de1ffffffffff,2.0,0.0,0.0
82de87fffffffff,297.0,0.0,144.0
82de97fffffffff,989.0,0.0,431.0
82dea7fffffffff,2.0,0.0,0.0
82deaffffffffff,3.0,0.0,3.0
82df07fffffffff,549.0,103.0,0.0
82df17fffffffff,219.0,47.0,0.0
82df1ffffffffff,97.0,32.0,0.0
82df27fffffffff,7.0,0.0,0.0
82df2ffffffffff,8.0,0.0,0.0
82df37fffffffff,1354.0,369.0,0.0
82df87fffffffff,42.0,2.0,0.0
82df8ffffffffff,2.0,0.0,0.0
82dfaffffffffff,5.0,2.0,0.0
82e097fffffffff,11.0,0.0,0.0
82e887fffffffff,5.0,3.0,0.0
82e897fffffffff,12.0,2.0,0.0
82e89ffffffffff,219.0,18.0,0.0
82e8b7fffffffff,4.0,0.0,0.0
82e99ffffffffff,2.0,0.0,0.0
