cell_id,Certhilauda subcoronata,Certhilauda subcoronata benguelensis/kaokoensis,Certhilauda subcoronata [subcoronata Group]
8483045ffffffff,2.0,2.0,0.0
84831e5ffffffff,3.0,3.0,0.0
8483201ffffffff,1.0,1.0,0.0
8483203ffffffff,4.0,4.0,0.0
848320bffffffff,10.0,10.0,0.0
8483257ffffffff,1.0,1.0,0.0
84ac851ffffffff,2.0,2.0,0.0
84ac8b9ffffffff,1.0,1.0,0.0
84aca07ffffffff,2.0,2.0,0.0
84aca15ffffffff,67.0,15.0,52.0
84aca17ffffffff,6.0,6.0,0.0
84aca19ffffffff,4.0,0.0,4.0
84aca1dffffffff,15.0,0.0,15.0
84aca3bffffffff,4.0,2.0,2.0
84aca3dffffffff,3.0,3.0,0.0
84aca4bffffffff,4.0,0.0,4.0
84aca51ffffffff,2.0,0.0,1.0
84aca53ffffffff,1.0,0.0,1.0
84aca57ffffffff,1.0,0.0,1.0
84aca5dffffffff,6.0,0.0,6.0
84acaa1ffffffff,1.0,0.0,0.0
84acaa7ffffffff,4.0,4.0,0.0
84acae7ffffffff,25.0,25.0,0.0
84acaebffffffff,1.0,0.0,0.0
84acaedffffffff,104.0,97.0,2.0
84ad121ffffffff,1.0,0.0,1.0
84ad321ffffffff,2.0,0.0,0.0
84ad329ffffffff,1.0,0.0,1.0
84ad82dffffffff,1.0,0.0,1.0
84ad85bffffffff,2.0,0.0,2.0
84ad883ffffffff,2.0,0.0,2.0
84ad88dffffffff,1.0,0.0,1.0
84ad8b5ffffffff,3.0,0.0,3.0
84ad8b7ffffffff,5.0,0.0,5.0
84ad8b9ffffffff,6.0,0.0,2.0
84ad8c3ffffffff,1.0,0.0,1.0
84ad8e5ffffffff,2.0,0.0,2.0
84ada01ffffffff,4.0,0.0,4.0
84ada03ffffffff,29.0,0.0,28.0
84ada07ffffffff,8.0,0.0,8.0
84ada1bffffffff,4.0,0.0,4.0
84ada1dffffffff,18.0,0.0,17.0
84ada21ffffffff,40.0,0.0,36.0
84ada2bffffffff,2.0,0.0,2.0
84ada39ffffffff,12.0,0.0,12.0
84ada45ffffffff,5.0,0.0,5.0
84ada49ffffffff,11.0,0.0,11.0
84ada4bffffffff,1.0,0.0,1.0
84ada4dffffffff,125.0,0.0,118.0
84ada53ffffffff,2.0,0.0,2.0
84ada57ffffffff,2.0,0.0,2.0
84ada5dffffffff,2.0,0.0,2.0
84ada65ffffffff,2.0,0.0,2.0
84ada6bffffffff,2.0,0.0,2.0
84ada85ffffffff,2.0,0.0,2.0
84ada8dffffffff,4.0,0.0,4.0
84adaa9ffffffff,1.0,0.0,1.0
84adaadffffffff,8.0,0.0,5.0
84adab7ffffffff,1.0,0.0,1.0
84adac3ffffffff,2.0,0.0,2.0
84adacbffffffff,3.0,0.0,2.0
84adacdffffffff,1.0,0.0,0.0
84adb53ffffffff,3.0,0.0,3.0
84bc411ffffffff,5.0,0.0,5.0
84bc415ffffffff,7.0,0.0,7.0
84bc431ffffffff,121.0,0.0,111.0
84bc433ffffffff,7.0,0.0,5.0
84bc435ffffffff,4.0,0.0,4.0
84bc437ffffffff,4.0,0.0,3.0
84bc43dffffffff,8.0,0.0,6.0
84bc463ffffffff,2.0,0.0,2.0
84bc481ffffffff,32.0,0.0,29.0
84bc48bffffffff,10.0,0.0,10.0
84bc48dffffffff,1.0,0.0,0.0
84bc49bffffffff,1.0,0.0,1.0
84bc4a3ffffffff,9.0,0.0,9.0
84bc4b5ffffffff,2.0,0.0,2.0
84bc4b7ffffffff,2.0,0.0,2.0
84bc4bdffffffff,29.0,0.0,29.0
84bc4c3ffffffff,3.0,0.0,2.0
84bc4ddffffffff,7.0,0.0,7.0
84bc4e3ffffffff,2.0,0.0,2.0
84bc4e9ffffffff,8.0,0.0,8.0
84bc50bffffffff,3.0,0.0,2.0
84bc519ffffffff,1.0,0.0,1.0
84bc559ffffffff,2.0,0.0,2.0
84bc581ffffffff,2.0,0.0,2.0
84bc595ffffffff,1.0,0.0,1.0
84bc599ffffffff,1.0,0.0,1.0
84bc59dffffffff,1.0,0.0,1.0
84bc5c1ffffffff,2.0,0.0,2.0
84bc5c9ffffffff,4.0,0.0,4.0
84bc5d7ffffffff,4.0,0.0,4.0
84bc5d9ffffffff,2.0,0.0,2.0
84bc5ddffffffff,3.0,0.0,3.0
84bc687ffffffff,1.0,0.0,1.0
84bc6a7ffffffff,1.0,0.0,1.0
84bc6b1ffffffff,7.0,0.0,6.0
84bc6b5ffffffff,1.0,0.0,1.0
84bc6b7ffffffff,1.0,0.0,0.0
84bce99ffffffff,1.0,0.0,1.0
