cell_id,Anisognathus somptuosus,Anisognathus somptuosus [somptuosus Group],Anisognathus somptuosus flavinucha
8466083ffffffff,1.0,0.0,0.0
8466089ffffffff,2.0,0.0,0.0
846608dffffffff,221.0,3.0,0.0
8466091ffffffff,2.0,0.0,0.0
846609dffffffff,2.0,0.0,0.0
84660a7ffffffff,4.0,0.0,0.0
84660b1ffffffff,3.0,0.0,0.0
84660b3ffffffff,6.0,0.0,0.0
84660b9ffffffff,19.0,0.0,0.0
84660bbffffffff,2.0,0.0,0.0
84660bdffffffff,11.0,0.0,0.0
84660cbffffffff,4.0,0.0,0.0
84660ddffffffff,5.0,0.0,0.0
8466181ffffffff,100.0,0.0,0.0
8466183ffffffff,246.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466187ffffffff,14.0,0.0,0.0
846618bffffffff,62.0,0.0,0.0
846618dffffffff,17.0,0.0,0.0
8466191ffffffff,15.0,0.0,0.0
8466193ffffffff,61.0,0.0,0.0
8466195ffffffff,21.0,0.0,0.0
8466197ffffffff,385.0,0.0,0.0
8466199ffffffff,11.0,0.0,0.0
846619dffffffff,294.0,4.0,0.0
84661b1ffffffff,370.0,19.0,0.0
84661b3ffffffff,395.0,8.0,0.0
84661b7ffffffff,16.0,0.0,0.0
84661b9ffffffff,924.0,5.0,0.0
84661bbffffffff,1271.0,12.0,0.0
84661bdffffffff,18.0,0.0,0.0
84661c3ffffffff,9.0,0.0,0.0
84661d1ffffffff,145.0,0.0,0.0
84661d5ffffffff,65.0,1.0,0.0
84661d7ffffffff,17.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0
8466c0dffffffff,32.0,0.0,0.0
8466c21ffffffff,185.0,0.0,0.0
8466c25ffffffff,43.0,0.0,0.0
8466c29ffffffff,12.0,0.0,0.0
8466c2dffffffff,11.0,0.0,0.0
8466c45ffffffff,13.0,0.0,0.0
8466c47ffffffff,27.0,0.0,0.0
8466c49ffffffff,7.0,0.0,0.0
8466c4bffffffff,9.0,0.0,0.0
8466c4dffffffff,27.0,0.0,0.0
8466c61ffffffff,37.0,0.0,0.0
8466c63ffffffff,136.0,5.0,0.0
8466c65ffffffff,29.0,0.0,0.0
8466c67ffffffff,92.0,4.0,0.0
8466c69ffffffff,106.0,0.0,0.0
8466c6bffffffff,85.0,0.0,0.0
8466c6dffffffff,495.0,0.0,0.0
8466d03ffffffff,117.0,4.0,0.0
8466d0bffffffff,194.0,5.0,0.0
8466d11ffffffff,13.0,1.0,0.0
8466d15ffffffff,2.0,0.0,0.0
8466d19ffffffff,8.0,0.0,0.0
8466d1dffffffff,20.0,0.0,0.0
8466d27ffffffff,2.0,0.0,0.0
8466d31ffffffff,6715.0,462.0,0.0
8466d35ffffffff,18.0,1.0,0.0
8466d37ffffffff,191.0,4.0,0.0
8466d39ffffffff,80.0,2.0,0.0
8466d3bffffffff,3.0,0.0,0.0
8466d3dffffffff,17.0,0.0,0.0
8466d51ffffffff,1.0,0.0,0.0
8466d53ffffffff,87.0,4.0,0.0
8466d57ffffffff,1.0,0.0,0.0
8466d59ffffffff,9.0,0.0,0.0
8466d5bffffffff,7.0,0.0,0.0
8466da7ffffffff,5.0,0.0,0.0
8466de1ffffffff,1881.0,173.0,0.0
8466dedffffffff,83.0,0.0,0.0
8466e03ffffffff,9.0,0.0,0.0
8466e07ffffffff,13.0,0.0,0.0
8466e09ffffffff,11.0,2.0,0.0
8466e0bffffffff,89.0,0.0,0.0
8466e27ffffffff,3.0,0.0,0.0
8466e2dffffffff,57.0,0.0,0.0
8466e3dffffffff,2.0,0.0,0.0
8466e43ffffffff,15.0,0.0,0.0
8466e47ffffffff,36.0,0.0,0.0
8466e55ffffffff,19.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0
8466e61ffffffff,156.0,2.0,0.0
8466e63ffffffff,13.0,0.0,0.0
8466e65ffffffff,849.0,18.0,0.0
8466e67ffffffff,108.0,1.0,0.0
8466e69ffffffff,158.0,0.0,0.0
8466e6dffffffff,3036.0,79.0,0.0
8466f03ffffffff,52.0,0.0,0.0
8466f0bffffffff,15.0,0.0,0.0
8466f11ffffffff,1.0,0.0,0.0
8466f13ffffffff,4.0,0.0,0.0
8466f15ffffffff,59.0,0.0,0.0
8466f17ffffffff,13.0,0.0,0.0
8466f19ffffffff,193.0,0.0,0.0
8466f1dffffffff,3842.0,28.0,0.0
8466f33ffffffff,2.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,13.0,0.0,0.0
8466f51ffffffff,30.0,0.0,0.0
8466f53ffffffff,196.0,0.0,0.0
8466f57ffffffff,183.0,0.0,0.0
8466f59ffffffff,92.0,2.0,0.0
8466f5bffffffff,279.0,0.0,0.0
8466f5dffffffff,51.0,0.0,0.0
8467413ffffffff,9.0,0.0,0.0
8467417ffffffff,45.0,0.0,0.0
8467433ffffffff,2.0,0.0,0.0
8467437ffffffff,43.0,0.0,0.0
846743bffffffff,6.0,0.0,0.0
84674e9ffffffff,83.0,0.0,0.0
84674edffffffff,197.0,3.0,0.0
84675c9ffffffff,8.0,0.0,0.0
84675cbffffffff,16.0,0.0,0.0
848b201ffffffff,1.0,0.0,0.0
848b203ffffffff,108.0,0.0,21.0
848b205ffffffff,16.0,0.0,3.0
848b207ffffffff,2.0,0.0,0.0
848b20dffffffff,13.0,0.0,7.0
848b211ffffffff,13.0,0.0,4.0
848b21dffffffff,11.0,0.0,1.0
848b229ffffffff,6.0,0.0,0.0
848b26bffffffff,3.0,0.0,0.0
848b2c1ffffffff,8.0,0.0,0.0
848b2c5ffffffff,53.0,0.0,7.0
848b2cdffffffff,64.0,0.0,9.0
848b2d9ffffffff,2.0,0.0,0.0
848b2dbffffffff,24.0,0.0,0.0
848b2e9ffffffff,1.0,0.0,0.0
848b611ffffffff,1.0,0.0,0.0
848b617ffffffff,63.0,0.0,0.0
848b6c5ffffffff,9.0,0.0,0.0
848b6c9ffffffff,2.0,0.0,0.0
848b6cbffffffff,2.0,0.0,0.0
848b6cdffffffff,17.0,0.0,0.0
848b759ffffffff,13.0,0.0,0.0
848b75bffffffff,49.0,0.0,0.0
848e641ffffffff,93.0,0.0,0.0
848e643ffffffff,35.0,0.0,0.0
848e649ffffffff,11.0,0.0,0.0
848e64bffffffff,34.0,0.0,0.0
848e651ffffffff,18.0,0.0,0.0
848e655ffffffff,3.0,0.0,0.0
848e6c9ffffffff,4.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,0.0
848f0d3ffffffff,12.0,0.0,0.0
848f0d9ffffffff,4.0,0.0,0.0
848f0dbffffffff,49.0,0.0,0.0
848f291ffffffff,43.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0
848f295ffffffff,10.0,0.0,0.0
848f297ffffffff,11.0,0.0,0.0
848f29bffffffff,10.0,0.0,0.0
848f29dffffffff,2.0,0.0,0.0
848f2bbffffffff,89.0,9.0,0.0
848f2d3ffffffff,27.0,0.0,0.0
848f2d5ffffffff,8.0,0.0,0.0
848f2ddffffffff,7.0,0.0,0.0
848f401ffffffff,1.0,0.0,0.0
848f421ffffffff,26.0,0.0,0.0
848f425ffffffff,5.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,6.0,0.0,0.0
848f431ffffffff,5.0,0.0,0.0
848f439ffffffff,104.0,4.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f463ffffffff,10.0,0.0,0.0
848f465ffffffff,13.0,0.0,0.0
848f467ffffffff,33.0,0.0,0.0
848f487ffffffff,4.0,0.0,0.0
848f4a5ffffffff,33.0,0.0,0.0
848f4a7ffffffff,11.0,0.0,0.0
848f4adffffffff,35.0,0.0,0.0
848f4e5ffffffff,4.0,0.0,0.0
848f541ffffffff,5.0,0.0,0.0
848f549ffffffff,53.0,0.0,0.0
848f54bffffffff,13.0,0.0,0.0
848f54dffffffff,3.0,0.0,0.0
848f559ffffffff,14.0,0.0,0.0
848f55bffffffff,3.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0
848f5d3ffffffff,2.0,0.0,0.0
848f5d7ffffffff,2.0,0.0,0.0
848f5d9ffffffff,6.0,0.0,0.0
