cell_id,Phylloscopus sindianus,Phylloscopus sindianus lorenzii,Phylloscopus sindianus sindianus
83201afffffffff,5.0,0.0,0.0
832080fffffffff,2.0,0.0,0.0
832082fffffffff,1.0,0.0,0.0
832083fffffffff,8.0,0.0,0.0
832084fffffffff,2.0,0.0,0.0
832088fffffffff,1.0,0.0,0.0
83208afffffffff,4.0,0.0,0.0
832098fffffffff,6.0,0.0,0.0
832099fffffffff,17.0,0.0,0.0
83209bfffffffff,2.0,0.0,0.0
83209cfffffffff,1.0,0.0,0.0
8320a2fffffffff,6.0,0.0,0.0
8320b1fffffffff,2.0,0.0,0.0
8320e2fffffffff,2.0,0.0,0.0
832c00fffffffff,18.0,0.0,0.0
832c01fffffffff,34.0,0.0,0.0
832c03fffffffff,5.0,0.0,0.0
832c04fffffffff,787.0,0.0,0.0
832c05fffffffff,29.0,2.0,0.0
832c06fffffffff,3.0,0.0,0.0
832c09fffffffff,11.0,0.0,0.0
832c0cfffffffff,3.0,2.0,0.0
832c19fffffffff,4.0,0.0,0.0
832c1dfffffffff,3.0,0.0,0.0
832c20fffffffff,4.0,0.0,0.0
832c21fffffffff,45.0,15.0,0.0
832c22fffffffff,22.0,0.0,0.0
832c23fffffffff,34.0,0.0,0.0
832c26fffffffff,54.0,1.0,0.0
832c28fffffffff,327.0,114.0,0.0
832c2afffffffff,63.0,17.0,0.0
832c2bfffffffff,23.0,9.0,0.0
832c2cfffffffff,75.0,50.0,0.0
832c2efffffffff,92.0,35.0,0.0
832c90fffffffff,4.0,0.0,0.0
832c93fffffffff,19.0,5.0,0.0
832ce4fffffffff,7.0,0.0,0.0
832d19fffffffff,1.0,0.0,0.0
832d50fffffffff,1.0,1.0,0.0
832d56fffffffff,6.0,0.0,0.0
833d00fffffffff,68.0,0.0,0.0
833d02fffffffff,2.0,0.0,0.0
833d04fffffffff,988.0,0.0,0.0
833d06fffffffff,50.0,0.0,0.0
833d15fffffffff,27.0,0.0,0.0
833d22fffffffff,221.0,0.0,0.0
833d26fffffffff,7.0,0.0,0.0
833d30fffffffff,3.0,0.0,0.0
833d31fffffffff,22.0,0.0,0.0
833d33fffffffff,14.0,0.0,0.0
833d34fffffffff,8.0,0.0,0.0
833d35fffffffff,91.0,0.0,0.0
834254fffffffff,1.0,0.0,0.0
