cell_id,Myrmotherula ignota,Myrmotherula ignota ignota,Myrmotherula ignota obscura
836619fffffffff,1.0,1.0,0.0
83661bfffffffff,1.0,0.0,0.0
83661cfffffffff,22.0,0.0,0.0
83661efffffffff,3.0,0.0,0.0
8366a5fffffffff,3.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c5fffffffff,4.0,0.0,0.0
8366dafffffffff,8.0,0.0,3.0
8366defffffffff,60.0,0.0,2.0
8366e0fffffffff,2.0,0.0,0.0
8366e3fffffffff,3.0,0.0,0.0
8366ecfffffffff,13.0,0.0,0.0
8366eefffffffff,1.0,0.0,0.0
838a63fffffffff,11.0,0.0,2.0
838af0fffffffff,7.0,0.0,5.0
838f40fffffffff,10.0,0.0,5.0
838f4afffffffff,3.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0
