cell_id,Parabuteo unicinctus,Parabuteo unicinctus harrisi,Parabuteo unicinctus unicinctus
8426da3ffffffff,2.0,0.0,0.0
8426de7ffffffff,23.0,0.0,0.0
8429b01ffffffff,17.0,0.0,0.0
8429b61ffffffff,24.0,0.0,0.0
8429b65ffffffff,87.0,0.0,0.0
8429b69ffffffff,79.0,0.0,0.0
8429b6bffffffff,66.0,0.0,0.0
8429b6dffffffff,572.0,0.0,0.0
8445249ffffffff,2.0,0.0,0.0
844549bffffffff,2.0,0.0,0.0
84456dbffffffff,2.0,0.0,0.0
8448005ffffffff,20.0,0.0,0.0
8448017ffffffff,24.0,0.0,0.0
8448029ffffffff,5.0,0.0,0.0
8448059ffffffff,11.0,0.0,0.0
844805bffffffff,7.0,0.0,0.0
8448061ffffffff,7.0,0.0,0.0
8448065ffffffff,4.0,0.0,0.0
8448067ffffffff,1.0,0.0,0.0
844806dffffffff,4.0,0.0,0.0
8448085ffffffff,8.0,0.0,0.0
84480a1ffffffff,2.0,0.0,0.0
84480a3ffffffff,1.0,0.0,0.0
84480a5ffffffff,1.0,0.0,0.0
84480a9ffffffff,19.0,0.0,0.0
84480abffffffff,18.0,0.0,0.0
84480adffffffff,8.0,0.0,0.0
84480b9ffffffff,29.0,0.0,0.0
84480bbffffffff,19.0,0.0,0.0
84480bdffffffff,6.0,0.0,0.0
84480d1ffffffff,2.0,0.0,0.0
84480d3ffffffff,4.0,0.0,0.0
84480dbffffffff,4.0,0.0,0.0
84480e1ffffffff,41.0,0.0,0.0
84480e3ffffffff,4.0,0.0,0.0
84480e5ffffffff,16.0,0.0,0.0
84480e7ffffffff,3.0,0.0,0.0
84480edffffffff,3.0,0.0,0.0
8448101ffffffff,28.0,0.0,0.0
8448107ffffffff,4.0,0.0,0.0
844810dffffffff,3.0,0.0,0.0
8448121ffffffff,2.0,0.0,0.0
8448123ffffffff,1.0,0.0,0.0
8448127ffffffff,10.0,0.0,0.0
8448131ffffffff,1.0,0.0,0.0
8448133ffffffff,6.0,0.0,0.0
8448139ffffffff,3.0,0.0,0.0
8448145ffffffff,3.0,0.0,0.0
8448147ffffffff,130.0,0.0,0.0
844815bffffffff,3.0,0.0,0.0
8448163ffffffff,4.0,0.0,0.0
8448165ffffffff,10.0,0.0,0.0
8448169ffffffff,2.0,0.0,0.0
8448185ffffffff,2.0,0.0,0.0
84481a1ffffffff,2.0,0.0,0.0
84481a7ffffffff,26.0,0.0,0.0
84481abffffffff,4.0,0.0,0.0
84481e1ffffffff,1.0,0.0,0.0
84481e7ffffffff,3.0,0.0,0.0
84481edffffffff,2.0,0.0,0.0
8448233ffffffff,21.0,0.0,0.0
844823bffffffff,7.0,0.0,0.0
8448283ffffffff,5.0,0.0,0.0
8448285ffffffff,4.0,0.0,0.0
8448287ffffffff,3.0,0.0,0.0
8448295ffffffff,8.0,0.0,0.0
84482a9ffffffff,15.0,0.0,0.0
84482abffffffff,6.0,0.0,0.0
84482adffffffff,27.0,0.0,0.0
84482b1ffffffff,7.0,0.0,0.0
84482b5ffffffff,2.0,0.0,0.0
84482b7ffffffff,7.0,0.0,0.0
