cell_id,Anthus spinoletta,Anthus spinoletta spinoletta,Anthus spinoletta coutellii,Anthus spinoletta blakistoni
821597fffffffff,4.0,0.0,0.0,0.0
8215b7fffffffff,7.0,0.0,0.0,0.0
821847fffffffff,18.0,0.0,0.0,0.0
82184ffffffffff,537.0,0.0,0.0,0.0
82185ffffffffff,232.0,0.0,0.0,0.0
821867fffffffff,30.0,0.0,0.0,0.0
82186ffffffffff,74.0,0.0,0.0,0.0
821877fffffffff,20.0,0.0,0.0,0.0
821947fffffffff,248.0,20.0,0.0,0.0
82194ffffffffff,369.0,7.0,0.0,0.0
821957fffffffff,15.0,0.0,0.0,0.0
82195ffffffffff,79.0,0.0,0.0,0.0
82196ffffffffff,193.0,0.0,0.0,0.0
821977fffffffff,21.0,0.0,0.0,0.0
821e07fffffffff,162.0,2.0,0.0,0.0
821e0ffffffffff,116.0,0.0,0.0,0.0
821e17fffffffff,348.0,8.0,0.0,0.0
821e1ffffffffff,154.0,0.0,0.0,0.0
821e27fffffffff,97.0,0.0,0.0,0.0
821e2ffffffffff,5.0,0.0,0.0,0.0
821e37fffffffff,224.0,0.0,0.0,0.0
821e57fffffffff,9.0,0.0,0.0,0.0
821e77fffffffff,1.0,0.0,0.0,0.0
821e87fffffffff,90.0,0.0,0.0,0.0
821e8ffffffffff,2.0,0.0,0.0,0.0
821e97fffffffff,12.0,0.0,0.0,0.0
821ea7fffffffff,157.0,0.0,0.0,0.0
821eaffffffffff,6.0,0.0,0.0,0.0
821eb7fffffffff,68.0,0.0,0.0,0.0
821ec7fffffffff,660.0,0.0,0.0,0.0
821ecffffffffff,467.0,0.0,0.0,0.0
821ed7fffffffff,225.0,0.0,0.0,0.0
821edffffffffff,257.0,0.0,0.0,0.0
821ee7fffffffff,24.0,0.0,0.0,0.0
821eeffffffffff,46.0,0.0,0.0,0.0
821ef7fffffffff,49.0,0.0,0.0,0.0
821f07fffffffff,12.0,0.0,0.0,0.0
821f17fffffffff,91.0,0.0,0.0,0.0
821f1ffffffffff,36.0,0.0,0.0,0.0
821f37fffffffff,3.0,0.0,0.0,0.0
821f87fffffffff,453.0,10.0,0.0,0.0
821f8ffffffffff,1211.0,161.0,0.0,0.0
821f97fffffffff,92.0,0.0,0.0,0.0
821f9ffffffffff,784.0,16.0,0.0,0.0
821fa7fffffffff,78.0,8.0,0.0,0.0
821faffffffffff,229.0,0.0,0.0,0.0
821fb7fffffffff,206.0,2.0,0.0,0.0
82200ffffffffff,3.0,0.0,0.0,1.0
822017fffffffff,5.0,0.0,0.0,0.0
82201ffffffffff,13.0,0.0,0.0,0.0
82204ffffffffff,37.0,0.0,0.0,17.0
82205ffffffffff,1.0,0.0,0.0,1.0
82206ffffffffff,8.0,0.0,0.0,8.0
82208ffffffffff,1.0,0.0,0.0,0.0
82209ffffffffff,4.0,0.0,0.0,0.0
8220a7fffffffff,3.0,0.0,0.0,1.0
8220affffffffff,2.0,0.0,0.0,0.0
8220b7fffffffff,5.0,0.0,0.0,0.0
8220c7fffffffff,1.0,0.0,0.0,0.0
8220e7fffffffff,123.0,0.0,0.0,63.0
8220f7fffffffff,13.0,0.0,0.0,0.0
82219ffffffffff,1.0,0.0,0.0,0.0
822407fffffffff,13.0,0.0,0.0,5.0
82240ffffffffff,16.0,0.0,0.0,0.0
822427fffffffff,55.0,0.0,0.0,2.0
