cell_id,Tricholaema hirsuta,Tricholaema hirsuta hirsuta,Tricholaema hirsuta [flavipunctata Group]
835883fffffffff,1.0,0.0,0.0
835894fffffffff,3.0,0.0,0.0
8358d2fffffffff,10.0,0.0,0.0
8358d3fffffffff,19.0,0.0,17.0
8358dafffffffff,1.0,0.0,0.0
836a9afffffffff,12.0,0.0,0.0
836a9efffffffff,10.0,0.0,0.0
836ac0fffffffff,47.0,0.0,5.0
836ac1fffffffff,350.0,0.0,81.0
836ac3fffffffff,15.0,0.0,4.0
836acafffffffff,1.0,0.0,0.0
836accfffffffff,41.0,0.0,2.0
836acdfffffffff,100.0,0.0,16.0
836adcfffffffff,208.0,0.0,23.0
836aeafffffffff,58.0,0.0,2.0
837508fffffffff,88.0,10.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,329.0,47.0,0.0
837519fffffffff,2.0,0.0,0.0
83751dfffffffff,2.0,0.0,0.0
837529fffffffff,120.0,10.0,0.0
83752afffffffff,59.0,1.0,0.0
83752bfffffffff,37.0,9.0,0.0
83752dfffffffff,4.0,0.0,0.0
83752efffffffff,5.0,0.0,0.0
8375a8fffffffff,3.0,0.0,0.0
8375b0fffffffff,4.0,0.0,0.0
837a4cfffffffff,103.0,0.0,0.0
837a4dfffffffff,19.0,0.0,0.0
837a6bfffffffff,1.0,0.0,0.0
838284fffffffff,5.0,0.0,0.0
838285fffffffff,2.0,0.0,2.0
838289fffffffff,1.0,0.0,1.0
83828dfffffffff,63.0,0.0,25.0
838290fffffffff,1.0,0.0,0.0
8382a0fffffffff,3.0,0.0,0.0
8382a3fffffffff,12.0,0.0,0.0
8382a8fffffffff,5.0,0.0,5.0
8382aafffffffff,6.0,0.0,6.0
8382abfffffffff,9.0,0.0,3.0
8382d0fffffffff,1.0,0.0,0.0
8382d2fffffffff,9.0,0.0,5.0
8382d3fffffffff,18.0,0.0,14.0
8382d4fffffffff,5.0,0.0,0.0
838313fffffffff,3.0,0.0,0.0
838315fffffffff,10.0,0.0,1.0
838392fffffffff,3.0,0.0,0.0
838398fffffffff,26.0,0.0,0.0
8383a8fffffffff,4.0,0.0,0.0
8383acfffffffff,4.0,0.0,2.0
8383adfffffffff,3.0,0.0,3.0
