cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
834520fffffffff,44.0,0.0,0.0,0.0,0.0
834524fffffffff,178.0,0.0,0.0,0.0,0.0
834525fffffffff,15.0,2.0,0.0,0.0,0.0
834526fffffffff,96.0,0.0,0.0,0.0,0.0
834528fffffffff,12.0,0.0,0.0,0.0,0.0
83452afffffffff,45.0,0.0,0.0,0.0,0.0
83452cfffffffff,29.0,3.0,0.0,0.0,0.0
83452dfffffffff,5.0,3.0,0.0,0.0,0.0
83452efffffffff,276.0,33.0,0.0,0.0,0.0
834530fffffffff,10.0,0.0,0.0,0.0,0.0
834532fffffffff,3.0,0.0,0.0,0.0,0.0
834534fffffffff,16.0,0.0,0.0,0.0,0.0
834535fffffffff,53.0,0.0,0.0,0.0,0.0
834536fffffffff,1.0,0.0,0.0,0.0,0.0
834991fffffffff,13.0,0.0,0.0,0.0,0.0
83499cfffffffff,4.0,0.0,0.0,0.0,0.0
835f08fffffffff,1.0,0.0,0.0,0.0,0.0
835f29fffffffff,5.0,0.0,0.0,0.0,0.0
835f2bfffffffff,10.0,0.0,0.0,0.0,0.0
835f40fffffffff,9.0,0.0,1.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0,0.0,0.0
835f48fffffffff,2.0,0.0,0.0,0.0,0.0
835f4afffffffff,11.0,0.0,0.0,0.0,0.0
835f4bfffffffff,17.0,0.0,0.0,0.0,0.0
835f68fffffffff,11.0,0.0,0.0,0.0,0.0
836608fffffffff,185.0,0.0,0.0,0.0,0.0
836609fffffffff,6.0,0.0,0.0,0.0,0.0
83660bfffffffff,54.0,0.0,0.0,0.0,0.0
83660cfffffffff,29.0,0.0,1.0,0.0,0.0
83660dfffffffff,12.0,0.0,0.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0,0.0,0.0
836618fffffffff,7.0,0.0,0.0,0.0,0.0
836619fffffffff,43.0,0.0,0.0,0.0,0.0
83661bfffffffff,84.0,0.0,2.0,0.0,0.0
83661dfffffffff,23.0,0.0,0.0,0.0,0.0
83661efffffffff,12.0,0.0,0.0,0.0,0.0
836620fffffffff,1627.0,0.0,196.0,0.0,0.0
836621fffffffff,100.0,0.0,0.0,0.0,0.0
836622fffffffff,2.0,0.0,0.0,0.0,0.0
836623fffffffff,39.0,0.0,11.0,0.0,0.0
836629fffffffff,69.0,0.0,9.0,0.0,0.0
83662bfffffffff,9.0,0.0,4.0,0.0,0.0
83662dfffffffff,15.0,0.0,0.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0,0.0,0.0
836641fffffffff,101.0,0.0,0.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0,0.0,0.0
83665afffffffff,19.0,0.0,0.0,2.0,0.0
83665bfffffffff,13.0,0.0,0.0,7.0,0.0
836663fffffffff,7.0,0.0,0.0,0.0,0.0
836664fffffffff,2.0,0.0,0.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0,0.0,0.0
8366a0fffffffff,9.0,4.0,0.0,0.0,0.0
8366b5fffffffff,8.0,2.0,0.0,0.0,0.0
8366c0fffffffff,9.0,0.0,0.0,0.0,0.0
8366c2fffffffff,72.0,0.0,0.0,0.0,0.0
8366c4fffffffff,23.0,0.0,0.0,0.0,0.0
8366c5fffffffff,5.0,0.0,0.0,0.0,0.0
8366c6fffffffff,93.0,0.0,0.0,0.0,0.0
8366c9fffffffff,3.0,0.0,0.0,0.0,0.0
8366d0fffffffff,18.0,0.0,3.0,0.0,0.0
8366d1fffffffff,103.0,0.0,0.0,0.0,0.0
8366d3fffffffff,2786.0,0.0,314.0,0.0,0.0
8366d5fffffffff,2.0,0.0,0.0,0.0,0.0
8366d8fffffffff,2.0,0.0,0.0,0.0,0.0
8366dafffffffff,21.0,0.0,0.0,0.0,0.0
8366dbfffffffff,8.0,0.0,0.0,0.0,0.0
8366dcfffffffff,35.0,0.0,0.0,19.0,0.0
8366ddfffffffff,27.0,0.0,0.0,2.0,0.0
8366defffffffff,725.0,0.0,115.0,4.0,0.0
8366e0fffffffff,306.0,0.0,0.0,0.0,0.0
8366e2fffffffff,9.0,0.0,0.0,0.0,0.0
8366e4fffffffff,127.0,0.0,0.0,0.0,0.0
8366e5fffffffff,81.0,0.0,0.0,0.0,0.0
8366e6fffffffff,1881.0,0.0,67.0,0.0,0.0
8366e8fffffffff,2.0,0.0,0.0,0.0,0.0
8366ecfffffffff,27.0,0.0,0.0,5.0,0.0
8366f0fffffffff,23.0,0.0,0.0,0.0,0.0
8366f1fffffffff,27.0,0.0,0.0,0.0,0.0
8366f5fffffffff,68.0,0.0,0.0,0.0,0.0
836741fffffffff,90.0,0.0,2.0,0.0,0.0
836743fffffffff,110.0,0.0,4.0,0.0,0.0
83674cfffffffff,16.0,0.0,0.0,0.0,0.0
83674efffffffff,49.0,0.0,1.0,0.0,0.0
83675cfffffffff,28.0,0.0,0.0,0.0,0.0
83675dfffffffff,4.0,0.0,0.0,0.0,0.0
83675efffffffff,6.0,0.0,0.0,0.0,0.0
836d20fffffffff,9.0,4.0,0.0,0.0,0.0
836d21fffffffff,8.0,0.0,0.0,0.0,0.0
