cell_id,Embernagra platensis,Embernagra platensis olivascens,Embernagra platensis platensis
838124fffffffff,2.0,0.0,0.0
838134fffffffff,4.0,0.0,0.0
838b01fffffffff,2.0,0.0,0.0
838b08fffffffff,1.0,0.0,0.0
838b0cfffffffff,36.0,0.0,0.0
838b0dfffffffff,3.0,0.0,0.0
838b20fffffffff,82.0,0.0,0.0
838b21fffffffff,45.0,0.0,0.0
838b22fffffffff,3.0,0.0,0.0
838b24fffffffff,7.0,0.0,0.0
838b25fffffffff,25.0,0.0,0.0
838b2afffffffff,55.0,0.0,0.0
838b2bfffffffff,3.0,0.0,0.0
838b2cfffffffff,64.0,0.0,0.0
838b2dfffffffff,1.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b76fffffffff,2.0,0.0,0.0
83a800fffffffff,17.0,0.0,2.0
83a801fffffffff,16.0,0.0,0.0
83a804fffffffff,94.0,0.0,3.0
83a805fffffffff,9.0,0.0,0.0
83a806fffffffff,8.0,0.0,0.0
83a810fffffffff,9.0,0.0,0.0
83a811fffffffff,5.0,0.0,3.0
83a812fffffffff,90.0,0.0,6.0
83a813fffffffff,33.0,0.0,2.0
83a81efffffffff,14.0,0.0,0.0
83a821fffffffff,10.0,0.0,0.0
83a822fffffffff,5.0,0.0,0.0
83a823fffffffff,5.0,0.0,0.0
83a824fffffffff,51.0,0.0,0.0
83a825fffffffff,45.0,0.0,4.0
83a826fffffffff,2.0,0.0,0.0
83a82afffffffff,2.0,0.0,0.0
83a82cfffffffff,5.0,0.0,0.0
83a82efffffffff,7.0,0.0,0.0
83a831fffffffff,85.0,0.0,1.0
83a835fffffffff,2.0,0.0,0.0
83a860fffffffff,1.0,0.0,1.0
83a862fffffffff,1.0,0.0,0.0
83a864fffffffff,2.0,0.0,0.0
83a865fffffffff,1.0,0.0,0.0
83a866fffffffff,3.0,0.0,0.0
83a880fffffffff,40.0,0.0,2.0
83a881fffffffff,8.0,0.0,2.0
83a882fffffffff,6.0,0.0,0.0
83a885fffffffff,2.0,0.0,0.0
83a886fffffffff,2.0,0.0,0.0
83a88efffffffff,8.0,0.0,0.0
83a8a1fffffffff,157.0,0.0,4.0
83a8a3fffffffff,11.0,0.0,0.0
83a8a8fffffffff,9.0,0.0,0.0
83a8a9fffffffff,100.0,0.0,7.0
83a8aafffffffff,45.0,0.0,0.0
83a8abfffffffff,4.0,0.0,0.0
83a8acfffffffff,107.0,0.0,0.0
83a8adfffffffff,4.0,0.0,0.0
83a8aefffffffff,13.0,0.0,0.0
83a901fffffffff,63.0,0.0,0.0
83a903fffffffff,27.0,0.0,0.0
83a905fffffffff,84.0,0.0,7.0
83a908fffffffff,3.0,0.0,0.0
83a909fffffffff,56.0,0.0,0.0
83a90afffffffff,36.0,0.0,1.0
83a90bfffffffff,10.0,0.0,0.0
83a90cfffffffff,15.0,0.0,0.0
83a90dfffffffff,9.0,0.0,0.0
83a90efffffffff,73.0,0.0,9.0
83a918fffffffff,39.0,0.0,0.0
83a919fffffffff,186.0,0.0,8.0
83a91bfffffffff,11.0,0.0,0.0
83a91dfffffffff,205.0,0.0,11.0
83a921fffffffff,123.0,0.0,0.0
83a928fffffffff,3.0,0.0,0.0
83a929fffffffff,37.0,0.0,0.0
83a92bfffffffff,6.0,0.0,0.0
83a92cfffffffff,252.0,0.0,0.0
83a92dfffffffff,116.0,0.0,7.0
83a92efffffffff,280.0,0.0,9.0
83a940fffffffff,80.0,0.0,0.0
83a941fffffffff,280.0,0.0,0.0
83a942fffffffff,199.0,0.0,0.0
83a943fffffffff,44.0,0.0,0.0
83a944fffffffff,708.0,0.0,0.0
83a945fffffffff,163.0,0.0,0.0
83a946fffffffff,778.0,0.0,0.0
83a94afffffffff,37.0,0.0,0.0
83a94cfffffffff,49.0,0.0,0.0
83a94efffffffff,374.0,0.0,0.0
83a950fffffffff,45.0,0.0,0.0
83a952fffffffff,51.0,0.0,15.0
83a953fffffffff,12.0,0.0,0.0
83a954fffffffff,10.0,0.0,0.0
83a955fffffffff,46.0,0.0,0.0
83a956fffffffff,2.0,0.0,0.0
83a958fffffffff,2.0,0.0,0.0
83a959fffffffff,32.0,0.0,1.0
83a95afffffffff,12.0,0.0,0.0
83a95bfffffffff,9.0,0.0,0.0
83a95cfffffffff,20.0,0.0,0.0
83a95dfffffffff,273.0,0.0,4.0
83a95efffffffff,6.0,0.0,0.0
83a960fffffffff,39.0,0.0,0.0
83a961fffffffff,94.0,0.0,0.0
83a962fffffffff,864.0,0.0,0.0
83a963fffffffff,96.0,0.0,0.0
83a964fffffffff,47.0,0.0,0.0
83a965fffffffff,14.0,0.0,0.0
83a966fffffffff,21.0,0.0,0.0
83a968fffffffff,46.0,0.0,0.0
83a969fffffffff,1.0,0.0,0.0
83a96afffffffff,631.0,0.0,0.0
83a96bfffffffff,2.0,0.0,0.0
83a96cfffffffff,37.0,0.0,0.0
83a96dfffffffff,6.0,0.0,0.0
83a96efffffffff,236.0,0.0,0.0
83a971fffffffff,122.0,0.0,0.0
83a972fffffffff,4.0,0.0,0.0
83a973fffffffff,2.0,0.0,0.0
83a974fffffffff,40.0,0.0,0.0
83a975fffffffff,26.0,0.0,0.0
83a976fffffffff,27.0,0.0,0.0
83b209fffffffff,10.0,0.0,0.0
83b20bfffffffff,12.0,0.0,0.0
83b20dfffffffff,3.0,0.0,0.0
83b229fffffffff,6.0,0.0,0.0
83b22bfffffffff,4.0,0.0,0.0
83b22dfffffffff,7.0,0.0,0.0
83b240fffffffff,38.0,0.0,0.0
83b241fffffffff,515.0,0.0,0.0
83b242fffffffff,58.0,0.0,0.0
83b243fffffffff,248.0,0.0,0.0
83b244fffffffff,22.0,0.0,0.0
83b245fffffffff,46.0,0.0,0.0
83b246fffffffff,66.0,0.0,0.0
83b248fffffffff,16.0,0.0,0.0
83b24afffffffff,136.0,0.0,0.0
83b24bfffffffff,9.0,0.0,0.0
83b24cfffffffff,156.0,0.0,0.0
83b24dfffffffff,19.0,0.0,0.0
83b24efffffffff,109.0,0.0,0.0
83b250fffffffff,4.0,0.0,0.0
83b251fffffffff,13.0,0.0,0.0
83b252fffffffff,39.0,0.0,0.0
83b253fffffffff,2.0,0.0,0.0
83b254fffffffff,5.0,0.0,0.0
83b255fffffffff,9.0,0.0,0.0
83b256fffffffff,2.0,0.0,0.0
83b258fffffffff,367.0,25.0,0.0
83b259fffffffff,318.0,21.0,1.0
83b25afffffffff,54.0,0.0,0.0
83b25bfffffffff,154.0,1.0,1.0
83b25cfffffffff,359.0,6.0,0.0
83b25dfffffffff,325.0,2.0,0.0
83b25efffffffff,113.0,0.0,0.0
83b260fffffffff,7.0,0.0,0.0
83b261fffffffff,17.0,0.0,0.0
83b262fffffffff,103.0,0.0,0.0
83b263fffffffff,28.0,0.0,0.0
83b265fffffffff,4.0,0.0,0.0
83b266fffffffff,34.0,0.0,0.0
83b268fffffffff,105.0,0.0,0.0
83b269fffffffff,125.0,0.0,0.0
83b26afffffffff,16.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0
83b26dfffffffff,64.0,0.0,0.0
83b26efffffffff,29.0,0.0,0.0
83b270fffffffff,86.0,0.0,0.0
83b271fffffffff,14.0,0.0,0.0
83b272fffffffff,12.0,0.0,0.0
83b273fffffffff,2.0,0.0,0.0
83b274fffffffff,47.0,2.0,0.0
83b275fffffffff,145.0,2.0,0.0
83b276fffffffff,3.0,0.0,0.0
83b2cdfffffffff,2.0,0.0,0.0
83b2e1fffffffff,31.0,0.0,0.0
83b2e5fffffffff,2.0,0.0,0.0
83b2e8fffffffff,139.0,0.0,0.0
83b2e9fffffffff,15.0,0.0,0.0
83b2eafffffffff,12.0,0.0,0.0
83b2ebfffffffff,16.0,0.0,0.0
83b2ecfffffffff,261.0,0.0,0.0
83b2edfffffffff,23.0,0.0,0.0
83b2eefffffffff,111.0,0.0,0.0
83b32cfffffffff,3.0,0.0,0.0
83b32dfffffffff,4.0,0.0,0.0
83b340fffffffff,4.0,0.0,0.0
83b342fffffffff,108.0,12.0,0.0
83b343fffffffff,12.0,0.0,0.0
83b344fffffffff,8.0,0.0,0.0
83b346fffffffff,30.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0
83b34bfffffffff,42.0,0.0,0.0
83b34dfffffffff,4.0,0.0,0.0
83b351fffffffff,256.0,33.0,0.0
83b353fffffffff,3.0,2.0,0.0
83b354fffffffff,1.0,0.0,0.0
83b355fffffffff,103.0,7.0,0.0
83b358fffffffff,126.0,2.0,0.0
83b359fffffffff,2.0,0.0,0.0
83b35afffffffff,144.0,25.0,0.0
83b35bfffffffff,14.0,0.0,0.0
83b35cfffffffff,155.0,6.0,0.0
83b35dfffffffff,88.0,4.0,0.0
83b35efffffffff,535.0,52.0,0.0
83b362fffffffff,2.0,0.0,0.0
83b363fffffffff,6.0,0.0,0.0
83b369fffffffff,13.0,2.0,0.0
83b36afffffffff,4.0,0.0,0.0
83b36bfffffffff,4.0,0.0,0.0
83b36dfffffffff,21.0,0.0,0.0
83b371fffffffff,2.0,0.0,0.0
83b373fffffffff,177.0,23.0,0.0
83c203fffffffff,130.0,0.0,0.0
83c205fffffffff,129.0,0.0,0.0
83c218fffffffff,98.0,0.0,0.0
83c219fffffffff,54.0,0.0,0.0
83c21bfffffffff,803.0,0.0,16.0
83c21dfffffffff,369.0,0.0,1.0
83c221fffffffff,110.0,0.0,2.0
83c228fffffffff,65.0,0.0,2.0
83c229fffffffff,5.0,0.0,0.0
83c22afffffffff,245.0,0.0,0.0
83c22bfffffffff,6.0,0.0,0.0
83c22cfffffffff,66.0,0.0,3.0
83c22dfffffffff,8.0,0.0,0.0
83c22efffffffff,255.0,0.0,4.0
83c289fffffffff,9.0,0.0,0.0
83c2c0fffffffff,37.0,0.0,0.0
83c2c1fffffffff,198.0,0.0,0.0
83c2c2fffffffff,74.0,0.0,0.0
