cell_id,Euplectes capensis,Euplectes capensis phoenicomerus,Euplectes capensis xanthomelas,Euplectes capensis [capensis Group]
845280dffffffff,3.0,0.0,2.0,0.0
8452915ffffffff,2.0,0.0,0.0,0.0
8452991ffffffff,1.0,0.0,0.0,0.0
8452997ffffffff,22.0,0.0,2.0,0.0
84529b1ffffffff,5.0,0.0,2.0,0.0
84529b3ffffffff,14.0,0.0,2.0,0.0
84529b5ffffffff,26.0,0.0,11.0,0.0
84529b7ffffffff,4.0,0.0,0.0,0.0
84529b9ffffffff,13.0,0.0,4.0,0.0
84529bbffffffff,18.0,0.0,9.0,0.0
84529bdffffffff,4.0,0.0,2.0,0.0
8458d13ffffffff,2.0,0.0,0.0,0.0
846a4d3ffffffff,1.0,0.0,0.0,0.0
846a5a9ffffffff,3.0,0.0,0.0,0.0
846ac15ffffffff,2.0,0.0,0.0,0.0
846ac2bffffffff,2.0,0.0,0.0,0.0
846ac31ffffffff,13.0,0.0,0.0,2.0
846ac37ffffffff,3.0,0.0,0.0,3.0
846ac3dffffffff,8.0,0.0,0.0,0.0
846ac93ffffffff,10.0,0.0,0.0,0.0
846ace5ffffffff,6.0,0.0,0.0,0.0
846ad81ffffffff,5.0,0.0,0.0,0.0
846ad83ffffffff,1.0,0.0,0.0,0.0
846ad8dffffffff,2.0,0.0,0.0,0.0
846ada9ffffffff,5.0,0.0,0.0,0.0
846adc1ffffffff,124.0,0.0,0.0,9.0
846adc3ffffffff,21.0,0.0,0.0,2.0
846adc5ffffffff,13.0,0.0,0.0,0.0
846adc7ffffffff,99.0,0.0,0.0,4.0
846adc9ffffffff,21.0,0.0,0.0,0.0
846adcbffffffff,11.0,0.0,0.0,0.0
846ade3ffffffff,3.0,0.0,0.0,0.0
846adebffffffff,11.0,0.0,0.0,0.0
846aea5ffffffff,2.0,0.0,0.0,0.0
846aea9ffffffff,2.0,0.0,0.0,0.0
847a405ffffffff,2.0,0.0,0.0,0.0
847a40bffffffff,7.0,0.0,0.0,0.0
847a40dffffffff,6.0,0.0,0.0,0.0
847a41dffffffff,9.0,0.0,0.0,0.0
847a44bffffffff,3.0,0.0,0.0,0.0
847a451ffffffff,34.0,0.0,0.0,0.0
847a453ffffffff,14.0,0.0,0.0,0.0
