cell_id,Eupsittula pertinax,Eupsittula pertinax ocularis,Eupsittula pertinax [pertinax Group]
824ceffffffffff,15.0,2.0,0.0
825f5ffffffffff,20.0,0.0,0.0
826607fffffffff,17.0,0.0,0.0
82660ffffffffff,18.0,0.0,0.0
826617fffffffff,14.0,0.0,0.0
82661ffffffffff,67.0,0.0,4.0
826627fffffffff,5.0,0.0,4.0
82662ffffffffff,4.0,0.0,0.0
826637fffffffff,4.0,0.0,0.0
8266a7fffffffff,96.0,1.0,0.0
8266b7fffffffff,69.0,19.0,0.0
8266f7fffffffff,6.0,0.0,0.0
826747fffffffff,57.0,0.0,2.0
82674ffffffffff,100.0,0.0,2.0
82675ffffffffff,15.0,0.0,1.0
82679ffffffffff,6.0,2.0,0.0
828a07fffffffff,2.0,0.0,0.0
828aaffffffffff,1.0,0.0,0.0
828af7fffffffff,5.0,0.0,0.0
