cell_id,Cyanomitra oritis,Cyanomitra oritis bansoensis,Cyanomitra oritis poensis,Cyanomitra oritis oritis
8358c2fffffffff,2.0,0.0,0.0,0.0
8358d1fffffffff,5.0,0.0,0.0,0.0
8358d3fffffffff,47.0,42.0,0.0,2.0
8358dcfffffffff,4.0,0.0,0.0,0.0
8382d0fffffffff,29.0,0.0,20.0,0.0
8382d1fffffffff,9.0,0.0,2.0,0.0
8382d2fffffffff,21.0,10.0,0.0,1.0
8382d3fffffffff,61.0,0.0,0.0,23.0
8382d4fffffffff,1.0,0.0,0.0,0.0
