cell_id,Zoothera dauma,Zoothera dauma dauma,Zoothera dauma horsfieldi,Zoothera dauma iriomotensis
84212a5ffffffff,1.0,0.0,0.0,0.0
843c029ffffffff,2.0,0.0,0.0,0.0
843c0a5ffffffff,1.0,0.0,0.0,0.0
843c159ffffffff,1.0,1.0,0.0,0.0
843c199ffffffff,2.0,0.0,0.0,0.0
843c1b9ffffffff,2.0,0.0,0.0,0.0
843c1d3ffffffff,1.0,0.0,0.0,0.0
843c333ffffffff,2.0,0.0,0.0,0.0
843c335ffffffff,1.0,0.0,0.0,0.0
843c521ffffffff,1.0,1.0,0.0,0.0
843c8c1ffffffff,6.0,0.0,0.0,0.0
843c8d7ffffffff,1.0,0.0,0.0,0.0
843c8d9ffffffff,3.0,0.0,0.0,0.0
843ca41ffffffff,1.0,0.0,0.0,0.0
843ca47ffffffff,5.0,0.0,0.0,0.0
843cabbffffffff,2.0,0.0,0.0,0.0
843cc6bffffffff,2.0,0.0,0.0,0.0
843cdcdffffffff,3.0,0.0,0.0,0.0
843ce4dffffffff,9.0,0.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0,0.0
843ce85ffffffff,1.0,1.0,0.0,0.0
843cf11ffffffff,9.0,0.0,0.0,0.0
843cf29ffffffff,3.0,0.0,0.0,0.0
843cf2dffffffff,2.0,2.0,0.0,0.0
843d147ffffffff,2.0,0.0,0.0,0.0
843d33dffffffff,6.0,0.0,0.0,0.0
843d35dffffffff,4.0,0.0,0.0,0.0
843d363ffffffff,4.0,1.0,0.0,0.0
843d899ffffffff,2.0,0.0,0.0,0.0
843d8b7ffffffff,1.0,0.0,0.0,0.0
843d8d5ffffffff,3.0,0.0,0.0,0.0
843d8ddffffffff,12.0,0.0,0.0,0.0
843d993ffffffff,5.0,1.0,0.0,0.0
843d9bbffffffff,2.0,0.0,0.0,0.0
843da11ffffffff,4.0,2.0,0.0,0.0
843da21ffffffff,3.0,0.0,0.0,0.0
843da37ffffffff,7.0,0.0,0.0,0.0
843dad1ffffffff,5.0,2.0,0.0,0.0
844ba03ffffffff,5.0,0.0,0.0,0.0
844ba05ffffffff,6.0,0.0,0.0,0.0
844ba07ffffffff,3.0,2.0,0.0,0.0
844ba21ffffffff,64.0,18.0,0.0,0.0
844ba27ffffffff,7.0,3.0,0.0,0.0
844ba2bffffffff,1.0,0.0,0.0,0.0
844bb1bffffffff,2.0,0.0,0.0,0.0
84648c9ffffffff,1.0,0.0,0.0,0.0
8464903ffffffff,3.0,3.0,0.0,0.0
8464911ffffffff,3.0,3.0,0.0,0.0
8465847ffffffff,5.0,3.0,0.0,0.0
8465993ffffffff,2.0,0.0,0.0,0.0
