cell_id,Microcerculus marginatus,Microcerculus marginatus luscinia,Microcerculus marginatus taeniatus/occidentalis,Microcerculus marginatus [marginatus Group]
836601fffffffff,22.0,0.0,0.0,1.0
836602fffffffff,1.0,0.0,0.0,0.0
836605fffffffff,2.0,0.0,0.0,0.0
836606fffffffff,5.0,0.0,0.0,0.0
836608fffffffff,312.0,0.0,0.0,6.0
836609fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,580.0,0.0,0.0,10.0
83660bfffffffff,3.0,0.0,0.0,0.0
83660cfffffffff,65.0,0.0,0.0,0.0
83660dfffffffff,40.0,0.0,0.0,0.0
83660efffffffff,8.0,0.0,0.0,0.0
836610fffffffff,108.0,17.0,0.0,0.0
836611fffffffff,47.0,0.0,0.0,0.0
836612fffffffff,18.0,0.0,0.0,0.0
836613fffffffff,287.0,61.0,0.0,0.0
836616fffffffff,399.0,75.0,0.0,0.0
836619fffffffff,2070.0,0.0,0.0,61.0
83661afffffffff,226.0,0.0,4.0,0.0
83661bfffffffff,1125.0,0.0,0.0,0.0
83661cfffffffff,189.0,0.0,0.0,0.0
83661dfffffffff,309.0,0.0,0.0,13.0
83661efffffffff,139.0,0.0,0.0,0.0
836620fffffffff,192.0,11.0,0.0,9.0
836621fffffffff,48.0,0.0,0.0,0.0
836622fffffffff,36.0,0.0,0.0,2.0
836623fffffffff,2.0,0.0,0.0,0.0
836629fffffffff,32.0,0.0,0.0,0.0
83662bfffffffff,18.0,0.0,0.0,0.0
83662dfffffffff,52.0,0.0,0.0,0.0
83662efffffffff,51.0,0.0,0.0,0.0
836631fffffffff,2.0,0.0,0.0,0.0
836641fffffffff,6.0,0.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0,0.0
83664efffffffff,4.0,0.0,0.0,0.0
836656fffffffff,43.0,0.0,0.0,0.0
83665afffffffff,200.0,0.0,0.0,0.0
83665bfffffffff,168.0,0.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0,0.0
836676fffffffff,3.0,0.0,0.0,0.0
8366a0fffffffff,814.0,64.0,0.0,0.0
8366a5fffffffff,1445.0,149.0,0.0,0.0
8366a9fffffffff,12.0,0.0,0.0,0.0
8366b0fffffffff,540.0,0.0,0.0,0.0
8366b1fffffffff,6.0,0.0,0.0,0.0
8366b4fffffffff,2282.0,0.0,0.0,0.0
8366b5fffffffff,1370.0,42.0,0.0,0.0
8366b6fffffffff,33.0,0.0,0.0,0.0
