cell_id,Regulus regulus,Regulus regulus [regulus Group],Regulus regulus ellenthalerae,Regulus regulus teneriffae,Regulus regulus azoricus,Regulus regulus sanctaemariae,Regulus regulus inermis,Regulus regulus [himalayensis Group]
830741fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830746fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83075dfffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830762fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830882fffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830895fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83089afffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a0fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a5fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b6fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8309a0fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8309a4fffffffff,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8309a6fffffffff,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
831828fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83182afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83182cfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83182efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831849fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83184bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83186cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831909fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831922fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83192cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831940fffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831941fffffffff,29.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
831942fffffffff,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831946fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83194cfffffffff,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
83194efffffffff,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
831951fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831953fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831955fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
831959fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83195efffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83196dfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831973fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831e0afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e0bfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831e22fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e34fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e35fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e6bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e80fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831eb0fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec2fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec3fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ecbfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ecdfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831edafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f00fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f05fffffffff,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831f1afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f1dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f28fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f2afffffffff,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
831f33fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831f72fffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f83fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
831f8efffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f91fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
831f9cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f9dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831fa9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832099fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8320e6fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832460fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8325acfffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832c90fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832cf3fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832d84fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832da4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832db1fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832eadfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
832f5dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833030fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
83309bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83309dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833426fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
833862fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833901fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833903fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833904fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833905fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833906fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833908fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83390afffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83390efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
