cell_id,Aphelocoma wollweberi,Aphelocoma wollweberi [wollweberi Group],Aphelocoma wollweberi couchii,Aphelocoma wollweberi potosina
82480ffffffffff,31.0,0.0,0.0,0.0
824817fffffffff,119.0,0.0,0.0,0.0
82481ffffffffff,131.0,0.0,0.0,0.0
824837fffffffff,21.0,0.0,0.0,0.0
824887fffffffff,6.0,0.0,0.0,0.0
82488ffffffffff,6.0,0.0,0.0,0.0
8248a7fffffffff,1874.0,0.0,0.0,0.0
8248affffffffff,3622.0,0.0,0.0,0.0
8248c7fffffffff,19936.0,4769.0,0.0,0.0
8248cffffffffff,276.0,132.0,0.0,0.0
8248e7fffffffff,516.0,17.0,0.0,0.0
8248effffffffff,54955.0,14657.0,0.0,0.0
8248f7fffffffff,14.0,0.0,0.0,0.0
824987fffffffff,191.0,0.0,0.0,0.0
82498ffffffffff,197.0,4.0,0.0,0.0
824997fffffffff,7.0,0.0,1.0,0.0
82499ffffffffff,262.0,0.0,0.0,7.0
