cell_id,Phapitreron leucotis,Phapitreron leucotis leucotis,Phapitreron leucotis nigrorum,Phapitreron leucotis brevirostris/occipitalis
824a97fffffffff,1.0,0.0,0.0,0.0
826847fffffffff,399.0,0.0,31.0,67.0
82684ffffffffff,294.0,0.0,0.0,79.0
826857fffffffff,61.0,0.0,0.0,32.0
82685ffffffffff,731.0,0.0,0.0,319.0
826867fffffffff,87.0,24.0,19.0,0.0
82686ffffffffff,35.0,0.0,0.0,13.0
826877fffffffff,150.0,0.0,50.0,0.0
826947fffffffff,521.0,30.0,0.0,0.0
82694ffffffffff,1091.0,134.0,0.0,0.0
82695ffffffffff,111.0,1.0,18.0,0.0
82696ffffffffff,131.0,43.0,0.0,0.0
