cell_id,Sporophila morelleti,Sporophila morelleti sharpei,Sporophila morelleti morelleti
834505fffffffff,4.0,0.0,0.0
83450bfffffffff,1.0,0.0,0.0
834520fffffffff,5.0,0.0,0.0
834521fffffffff,5.0,0.0,0.0
834523fffffffff,3.0,0.0,0.0
834528fffffffff,4.0,0.0,0.0
83452afffffffff,14.0,0.0,0.0
83452bfffffffff,2.0,0.0,0.0
83452cfffffffff,7.0,0.0,0.0
83452efffffffff,15.0,0.0,0.0
834572fffffffff,1.0,0.0,0.0
834805fffffffff,2.0,0.0,0.0
834880fffffffff,4.0,0.0,0.0
834881fffffffff,5.0,0.0,0.0
834883fffffffff,1.0,0.0,0.0
834886fffffffff,21.0,0.0,0.0
83488efffffffff,134.0,0.0,0.0
8348b1fffffffff,1158.0,0.0,0.0
8348b3fffffffff,36.0,0.0,0.0
834990fffffffff,3.0,0.0,0.0
834991fffffffff,1.0,0.0,0.0
834992fffffffff,1.0,0.0,0.0
834993fffffffff,2.0,0.0,0.0
834995fffffffff,6.0,0.0,0.0
834996fffffffff,39.0,0.0,0.0
834998fffffffff,3.0,0.0,0.0
83499bfffffffff,1.0,0.0,0.0
83499cfffffffff,4.0,0.0,0.0
83499efffffffff,1.0,0.0,0.0
8366b0fffffffff,1.0,0.0,0.0
8366b4fffffffff,11.0,0.0,0.0
8366b5fffffffff,21.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0
836d05fffffffff,9.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d23fffffffff,6.0,0.0,0.0
836d28fffffffff,1.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d2dfffffffff,7.0,0.0,0.0
836d30fffffffff,16.0,0.0,0.0
836d31fffffffff,1.0,0.0,0.0
836d34fffffffff,1.0,0.0,0.0
836d35fffffffff,5.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d60fffffffff,9.0,0.0,0.0
836d63fffffffff,1.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,34.0,0.0,0.0
836d6bfffffffff,5.0,0.0,0.0
836d75fffffffff,1.0,0.0,0.0
