cell_id,Icterus spurius,Icterus spurius spurius,Icterus spurius fuertesi
830e49fffffffff,2.0,2.0,0.0
830e4dfffffffff,5.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0
8312dcfffffffff,2.0,0.0,0.0
831aa0fffffffff,4.0,2.0,0.0
831aa3fffffffff,1.0,0.0,0.0
832600fffffffff,2.0,2.0,0.0
832601fffffffff,15.0,10.0,0.0
832602fffffffff,2.0,0.0,0.0
832603fffffffff,10.0,7.0,0.0
832604fffffffff,2.0,2.0,0.0
832605fffffffff,1.0,0.0,0.0
832608fffffffff,6.0,2.0,0.0
832609fffffffff,1.0,0.0,0.0
83260afffffffff,25.0,9.0,0.0
83260bfffffffff,27.0,9.0,0.0
83260dfffffffff,2.0,0.0,0.0
83260efffffffff,8.0,2.0,0.0
832610fffffffff,4.0,0.0,0.0
832611fffffffff,13.0,2.0,0.0
832612fffffffff,2.0,2.0,0.0
832613fffffffff,1.0,0.0,0.0
832618fffffffff,4.0,0.0,0.0
832619fffffffff,83.0,83.0,0.0
83261afffffffff,1.0,0.0,0.0
83261bfffffffff,12.0,10.0,0.0
83261dfffffffff,12.0,11.0,0.0
832620fffffffff,6.0,4.0,0.0
832621fffffffff,3.0,0.0,0.0
832622fffffffff,10.0,10.0,0.0
832623fffffffff,2.0,2.0,0.0
832624fffffffff,6.0,0.0,0.0
832625fffffffff,10.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0
83262bfffffffff,5.0,0.0,0.0
83262cfffffffff,11.0,0.0,0.0
832640fffffffff,24.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0
832642fffffffff,4.0,0.0,0.0
832643fffffffff,11.0,0.0,0.0
832646fffffffff,14.0,0.0,0.0
832648fffffffff,38.0,0.0,0.0
832649fffffffff,2.0,0.0,0.0
83264afffffffff,37.0,0.0,0.0
83264bfffffffff,11.0,0.0,0.0
83264cfffffffff,20.0,1.0,0.0
83264dfffffffff,14.0,1.0,0.0
83264efffffffff,41.0,0.0,0.0
832651fffffffff,8.0,0.0,0.0
832652fffffffff,19.0,18.0,0.0
832653fffffffff,6.0,2.0,0.0
832655fffffffff,3.0,0.0,0.0
832656fffffffff,17.0,6.0,0.0
832659fffffffff,14.0,3.0,0.0
83265afffffffff,5.0,0.0,0.0
83265bfffffffff,7.0,0.0,0.0
83265dfffffffff,16.0,0.0,0.0
83265efffffffff,7.0,2.0,0.0
832660fffffffff,4.0,0.0,0.0
832661fffffffff,6.0,2.0,0.0
832662fffffffff,2.0,0.0,0.0
832664fffffffff,49.0,1.0,0.0
832665fffffffff,3.0,0.0,0.0
832666fffffffff,5.0,0.0,0.0
832668fffffffff,1.0,0.0,0.0
83266afffffffff,2.0,2.0,0.0
83266bfffffffff,2.0,0.0,0.0
83266efffffffff,4.0,0.0,0.0
832670fffffffff,1.0,0.0,0.0
832671fffffffff,4.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0
832674fffffffff,6.0,0.0,0.0
832680fffffffff,2.0,0.0,0.0
832681fffffffff,18.0,0.0,0.0
832685fffffffff,7.0,0.0,0.0
832688fffffffff,29.0,0.0,0.0
832689fffffffff,8.0,0.0,0.0
83268bfffffffff,4.0,0.0,0.0
83268cfffffffff,45.0,3.0,0.0
83268dfffffffff,26.0,0.0,0.0
832696fffffffff,6.0,0.0,0.0
832698fffffffff,2.0,0.0,0.0
8326a0fffffffff,2.0,0.0,0.0
8326a1fffffffff,15.0,0.0,0.0
8326a2fffffffff,4.0,0.0,0.0
8326a4fffffffff,3.0,0.0,0.0
8326a8fffffffff,17.0,0.0,0.0
8326a9fffffffff,23.0,0.0,0.0
8326aafffffffff,22.0,2.0,0.0
8326abfffffffff,13.0,0.0,0.0
8326acfffffffff,6.0,0.0,0.0
8326adfffffffff,22.0,0.0,0.0
8326aefffffffff,1.0,0.0,0.0
8326c1fffffffff,26.0,0.0,0.0
8326c4fffffffff,1.0,0.0,0.0
8326c8fffffffff,11.0,0.0,0.0
8326c9fffffffff,3.0,0.0,0.0
8326cbfffffffff,11.0,0.0,0.0
8326d1fffffffff,11.0,0.0,0.0
8326d2fffffffff,11.0,0.0,0.0
8326d3fffffffff,6.0,0.0,0.0
8326d4fffffffff,11.0,0.0,0.0
8326d5fffffffff,3.0,0.0,0.0
8326d6fffffffff,9.0,0.0,0.0
8326d9fffffffff,2.0,0.0,0.0
8326defffffffff,9.0,0.0,0.0
8326e1fffffffff,2.0,0.0,0.0
8326e2fffffffff,13.0,0.0,0.0
8326e5fffffffff,22.0,8.0,0.0
8326e6fffffffff,2.0,2.0,0.0
8326e9fffffffff,2.0,0.0,0.0
8326edfffffffff,2.0,0.0,0.0
8326f0fffffffff,2.0,0.0,0.0
8326f1fffffffff,1.0,0.0,0.0
8326f2fffffffff,31.0,0.0,0.0
8326f3fffffffff,3.0,0.0,0.0
8326f4fffffffff,2.0,0.0,0.0
8326f6fffffffff,7.0,0.0,0.0
832709fffffffff,2.0,0.0,0.0
83270afffffffff,3.0,0.0,0.0
832711fffffffff,2.0,0.0,0.0
832713fffffffff,2.0,0.0,0.0
83271cfffffffff,2.0,0.0,0.0
832740fffffffff,27.0,0.0,0.0
832741fffffffff,15.0,0.0,0.0
832742fffffffff,2.0,0.0,0.0
832743fffffffff,5.0,0.0,0.0
832745fffffffff,4.0,0.0,0.0
832748fffffffff,18.0,0.0,0.0
832749fffffffff,39.0,0.0,0.0
83274bfffffffff,22.0,0.0,0.0
83274cfffffffff,2.0,0.0,0.0
83274dfffffffff,31.0,0.0,0.0
83274efffffffff,16.0,1.0,0.0
832750fffffffff,6.0,0.0,0.0
832751fffffffff,9.0,0.0,0.0
832752fffffffff,40.0,1.0,0.0
832753fffffffff,3.0,0.0,0.0
832754fffffffff,6.0,0.0,0.0
832756fffffffff,35.0,0.0,0.0
832758fffffffff,24.0,0.0,0.0
832759fffffffff,50.0,0.0,0.0
83275afffffffff,3.0,0.0,0.0
83275bfffffffff,8.0,0.0,0.0
83275cfffffffff,19.0,0.0,0.0
83275dfffffffff,36.0,0.0,0.0
83275efffffffff,2.0,0.0,0.0
832763fffffffff,1.0,0.0,0.0
832768fffffffff,4.0,0.0,0.0
832769fffffffff,82.0,5.0,0.0
83276afffffffff,7.0,0.0,0.0
83276bfffffffff,44.0,0.0,0.0
83276dfffffffff,6.0,2.0,0.0
83276efffffffff,4.0,0.0,0.0
832770fffffffff,4.0,0.0,0.0
832771fffffffff,3.0,0.0,0.0
832780fffffffff,4.0,2.0,0.0
832785fffffffff,2.0,0.0,0.0
832786fffffffff,2.0,0.0,0.0
832788fffffffff,2.0,0.0,0.0
83278cfffffffff,2.0,0.0,0.0
