cell_id,Asthenes wyatti,Asthenes wyatti [wyatti Group],Asthenes wyatti [sclateri Group]
836608fffffffff,17.0,17.0,0.0
83660bfffffffff,4.0,4.0,0.0
83660cfffffffff,3.0,3.0,0.0
83660dfffffffff,6.0,6.0,0.0
836620fffffffff,6.0,6.0,0.0
836621fffffffff,212.0,211.0,0.0
836623fffffffff,120.0,116.0,0.0
836629fffffffff,57.0,57.0,0.0
8366d3fffffffff,72.0,71.0,0.0
8366defffffffff,265.0,264.0,0.0
8366e0fffffffff,5.0,5.0,0.0
83675afffffffff,2.0,2.0,0.0
838b21fffffffff,3.0,0.0,3.0
838b25fffffffff,5.0,0.0,5.0
838b2cfffffffff,25.0,0.0,25.0
838b60fffffffff,3.0,2.0,0.0
838b61fffffffff,213.0,212.0,0.0
838b64fffffffff,8.0,3.0,5.0
838b65fffffffff,8.0,8.0,0.0
838b6cfffffffff,12.0,12.0,0.0
838e60fffffffff,13.0,13.0,0.0
838e61fffffffff,5.0,5.0,0.0
838e64fffffffff,41.0,40.0,0.0
838e65fffffffff,4.0,4.0,0.0
838e66fffffffff,50.0,49.0,0.0
838e69fffffffff,3.0,3.0,0.0
838e6cfffffffff,14.0,13.0,0.0
838e6dfffffffff,32.0,31.0,0.0
838e6efffffffff,1.0,1.0,0.0
838f29fffffffff,1.0,1.0,0.0
838f2bfffffffff,2.0,2.0,0.0
838f2dfffffffff,15.0,15.0,0.0
838f51fffffffff,20.0,18.0,0.0
838f54fffffffff,2.0,2.0,0.0
838f58fffffffff,6.0,6.0,0.0
838f59fffffffff,5.0,5.0,0.0
838f5bfffffffff,2.0,2.0,0.0
838f76fffffffff,39.0,35.0,0.0
83b243fffffffff,2.0,0.0,2.0
83b258fffffffff,62.0,0.0,61.0
83b25cfffffffff,270.0,0.0,266.0
83b270fffffffff,3.0,0.0,3.0
83b274fffffffff,18.0,0.0,18.0
83b2e1fffffffff,4.0,0.0,4.0
83b2edfffffffff,1.0,0.0,1.0
83b2eefffffffff,16.0,0.0,15.0
83b30dfffffffff,1.0,0.0,1.0
83b320fffffffff,10.0,2.0,8.0
83b321fffffffff,10.0,0.0,10.0
83b322fffffffff,2.0,0.0,2.0
83b324fffffffff,15.0,10.0,5.0
83b325fffffffff,4.0,2.0,2.0
83b326fffffffff,27.0,0.0,27.0
83b32bfffffffff,3.0,0.0,3.0
83b32cfffffffff,4.0,0.0,3.0
83b32dfffffffff,10.0,0.0,10.0
83b334fffffffff,4.0,0.0,4.0
83b335fffffffff,66.0,0.0,66.0
83b342fffffffff,25.0,0.0,24.0
83b346fffffffff,2.0,0.0,2.0
83b351fffffffff,9.0,0.0,9.0
83b352fffffffff,2.0,0.0,2.0
83b354fffffffff,4.0,0.0,4.0
83b355fffffffff,1.0,0.0,1.0
83b35afffffffff,169.0,0.0,168.0
83b35efffffffff,90.0,0.0,89.0
83b371fffffffff,2.0,0.0,2.0
83b373fffffffff,11.0,0.0,11.0
