cell_id,Geranoaetus polyosoma,Geranoaetus polyosoma polyosoma,Geranoaetus polyosoma exsul,Geranoaetus polyosoma (Puna),Geranoaetus polyosoma (Red-backed)
8466181ffffffff,4.0,0.0,0.0,0.0,0.0
8466183ffffffff,9.0,0.0,0.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0,0.0,0.0
846618bffffffff,5.0,0.0,0.0,0.0,0.0
846619dffffffff,10.0,0.0,0.0,0.0,0.0
84661b1ffffffff,6.0,0.0,0.0,0.0,0.0
84661b3ffffffff,3.0,0.0,0.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0,0.0,0.0
84661bbffffffff,20.0,0.0,0.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0,0.0,0.0
84661d5ffffffff,2.0,0.0,0.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0,0.0,0.0
8466c61ffffffff,1.0,0.0,0.0,0.0,0.0
8466c67ffffffff,16.0,0.0,0.0,0.0,0.0
8466c69ffffffff,14.0,0.0,0.0,0.0,0.0
8466d03ffffffff,5.0,0.0,0.0,0.0,0.0
8466d11ffffffff,2.0,0.0,0.0,0.0,0.0
8466d15ffffffff,42.0,2.0,0.0,2.0,0.0
8466d19ffffffff,13.0,0.0,0.0,0.0,0.0
8466d1dffffffff,22.0,0.0,0.0,1.0,0.0
8466d31ffffffff,616.0,16.0,0.0,38.0,18.0
8466d33ffffffff,2143.0,58.0,0.0,222.0,31.0
8466d37ffffffff,18.0,0.0,0.0,0.0,1.0
8466d39ffffffff,11.0,0.0,0.0,2.0,0.0
8466d3bffffffff,75.0,0.0,0.0,5.0,2.0
8466d53ffffffff,25.0,0.0,0.0,0.0,0.0
8466d57ffffffff,2.0,0.0,0.0,0.0,0.0
8466da5ffffffff,6.0,0.0,0.0,0.0,0.0
8466dadffffffff,1.0,0.0,0.0,0.0,0.0
8466de1ffffffff,20.0,0.0,0.0,0.0,0.0
8466de5ffffffff,1665.0,40.0,0.0,136.0,27.0
8466de9ffffffff,1.0,0.0,0.0,0.0,0.0
8466dedffffffff,236.0,15.0,0.0,24.0,5.0
8466e2dffffffff,5.0,0.0,0.0,0.0,0.0
8466e61ffffffff,11.0,0.0,0.0,0.0,0.0
8466e65ffffffff,57.0,0.0,0.0,0.0,2.0
8466e67ffffffff,18.0,0.0,0.0,0.0,0.0
8466e6dffffffff,45.0,0.0,0.0,0.0,0.0
8466f15ffffffff,3.0,0.0,0.0,0.0,0.0
8466f19ffffffff,16.0,0.0,0.0,0.0,0.0
8466f1dffffffff,4.0,0.0,0.0,0.0,0.0
8466f3bffffffff,4.0,0.0,0.0,0.0,4.0
8466f53ffffffff,10.0,0.0,0.0,0.0,0.0
8466f5bffffffff,1.0,0.0,0.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0,0.0,0.0
848b201ffffffff,8.0,0.0,0.0,0.0,0.0
848b203ffffffff,26.0,0.0,0.0,0.0,0.0
848b205ffffffff,11.0,0.0,0.0,0.0,0.0
848b207ffffffff,3.0,0.0,0.0,0.0,0.0
848b20dffffffff,6.0,0.0,0.0,0.0,0.0
