cell_id,Eurypyga helias,Eurypyga helias major/meridionalis,Eurypyga helias helias
834520fffffffff,2.0,0.0,0.0
834522fffffffff,29.0,0.0,0.0
834530fffffffff,8.0,0.0,0.0
834531fffffffff,12.0,0.0,0.0
834534fffffffff,6.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0
835f03fffffffff,8.0,0.0,0.0
835f08fffffffff,2.0,0.0,0.0
835f0dfffffffff,4.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f12fffffffff,3.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f29fffffffff,96.0,0.0,0.0
835f2bfffffffff,67.0,0.0,0.0
835f2dfffffffff,14.0,0.0,0.0
835f40fffffffff,10.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0
835f4afffffffff,4.0,0.0,0.0
835f4efffffffff,2.0,0.0,0.0
835f50fffffffff,10.0,0.0,0.0
835f54fffffffff,2.0,0.0,0.0
835f5dfffffffff,17.0,0.0,0.0
835f68fffffffff,7.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f76fffffffff,1.0,0.0,0.0
836609fffffffff,21.0,0.0,0.0
83660cfffffffff,7.0,0.0,0.0
83660dfffffffff,5.0,0.0,0.0
836610fffffffff,6.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0
836612fffffffff,1.0,0.0,0.0
836613fffffffff,4.0,0.0,0.0
836616fffffffff,12.0,0.0,0.0
83661afffffffff,38.0,0.0,0.0
83661efffffffff,8.0,0.0,0.0
836629fffffffff,23.0,0.0,0.0
83662efffffffff,4.0,0.0,0.0
836640fffffffff,1.0,0.0,0.0
836641fffffffff,182.0,0.0,0.0
836644fffffffff,4.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836646fffffffff,1.0,0.0,0.0
836650fffffffff,13.0,0.0,0.0
836652fffffffff,79.0,0.0,0.0
836654fffffffff,182.0,0.0,0.0
836656fffffffff,201.0,0.0,0.0
83665afffffffff,79.0,0.0,0.0
83665cfffffffff,3.0,0.0,0.0
83665efffffffff,4.0,0.0,0.0
836661fffffffff,3.0,0.0,0.0
836662fffffffff,5.0,0.0,0.0
836663fffffffff,16.0,0.0,0.0
836664fffffffff,16.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0
83666cfffffffff,16.0,0.0,0.0
83666efffffffff,18.0,0.0,0.0
836670fffffffff,22.0,0.0,0.0
836671fffffffff,3.0,0.0,0.0
836672fffffffff,336.0,0.0,0.0
836673fffffffff,19.0,0.0,0.0
836674fffffffff,7.0,0.0,0.0
836675fffffffff,101.0,0.0,0.0
836676fffffffff,10.0,0.0,0.0
8366a0fffffffff,232.0,0.0,0.0
8366a5fffffffff,137.0,0.0,0.0
8366b4fffffffff,1724.0,0.0,0.0
8366b5fffffffff,55.0,0.0,0.0
8366b6fffffffff,1.0,0.0,0.0
8366c0fffffffff,52.0,0.0,0.0
8366c1fffffffff,5.0,0.0,0.0
8366c2fffffffff,62.0,0.0,0.0
8366c3fffffffff,1.0,0.0,0.0
8366c4fffffffff,2.0,0.0,0.0
8366c5fffffffff,78.0,0.0,0.0
8366c6fffffffff,2.0,0.0,0.0
8366cdfffffffff,3.0,0.0,0.0
8366cefffffffff,31.0,0.0,0.0
8366d1fffffffff,22.0,0.0,1.0
8366d3fffffffff,570.0,0.0,0.0
8366d8fffffffff,30.0,0.0,0.0
8366dcfffffffff,233.0,0.0,1.0
8366ddfffffffff,47.0,0.0,0.0
8366defffffffff,73.0,0.0,0.0
8366e0fffffffff,75.0,0.0,0.0
8366e1fffffffff,228.0,0.0,0.0
8366e3fffffffff,57.0,0.0,0.0
8366e5fffffffff,719.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0
8366ecfffffffff,181.0,0.0,0.0
8366eefffffffff,115.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0
83674afffffffff,107.0,0.0,0.0
83674efffffffff,3.0,0.0,0.0
836758fffffffff,4.0,0.0,0.0
836759fffffffff,81.0,0.0,0.0
83675afffffffff,30.0,0.0,0.0
83675bfffffffff,20.0,0.0,0.0
83675dfffffffff,11.0,0.0,0.0
836796fffffffff,16.0,0.0,0.0
83679afffffffff,341.0,0.0,0.0
83679bfffffffff,47.0,0.0,0.0
836d68fffffffff,125.0,0.0,0.0
836d69fffffffff,1102.0,0.0,0.0
836d6dfffffffff,7.0,0.0,0.0
838046fffffffff,4.0,0.0,0.0
