cell_id,Niltava grandis,Niltava grandis [grandis Group],Niltava grandis decorata
833c02fffffffff,29.0,0.0,0.0
833c0afffffffff,413.0,0.0,0.0
833c0bfffffffff,39.0,0.0,0.0
833c19fffffffff,17.0,0.0,0.0
833c1dfffffffff,198.0,0.0,0.0
833c31fffffffff,8.0,0.0,0.0
833c33fffffffff,2.0,0.0,0.0
833c52fffffffff,411.0,0.0,0.0
833c53fffffffff,51.0,0.0,0.0
833c58fffffffff,232.0,0.0,0.0
833c59fffffffff,1.0,0.0,0.0
833c5afffffffff,80.0,0.0,0.0
833c5bfffffffff,95.0,0.0,0.0
833c5cfffffffff,62.0,0.0,0.0
833c5efffffffff,19.0,0.0,0.0
833cc0fffffffff,6.0,0.0,0.0
833cc1fffffffff,2.0,0.0,0.0
833cc3fffffffff,8.0,0.0,0.0
833cd8fffffffff,30.0,0.0,0.0
833cd9fffffffff,2.0,0.0,0.0
833ce3fffffffff,49.0,0.0,0.0
833ce4fffffffff,35.0,0.0,0.0
833ce5fffffffff,193.0,0.0,0.0
833ce8fffffffff,96.0,0.0,0.0
833ce9fffffffff,57.0,0.0,0.0
833ceafffffffff,10.0,0.0,0.0
833cecfffffffff,55.0,0.0,0.0
833cedfffffffff,4.0,0.0,0.0
83402dfffffffff,2.0,0.0,0.0
834045fffffffff,2.0,0.0,0.0
83404cfffffffff,369.0,3.0,0.0
83404dfffffffff,173.0,0.0,0.0
83404efffffffff,5.0,0.0,0.0
834059fffffffff,11.0,0.0,0.0
83405cfffffffff,1.0,0.0,0.0
834065fffffffff,4.0,0.0,0.0
834066fffffffff,12.0,0.0,0.0
834069fffffffff,1.0,0.0,0.0
83406bfffffffff,57.0,0.0,0.0
834071fffffffff,1.0,0.0,0.0
834143fffffffff,7.0,0.0,0.0
83414cfffffffff,26.0,0.0,0.0
834158fffffffff,5.0,0.0,0.0
834159fffffffff,11.0,0.0,0.0
83415afffffffff,11.0,0.0,0.0
83415cfffffffff,5.0,0.0,0.0
836482fffffffff,658.0,4.0,0.0
836484fffffffff,2.0,0.0,0.0
836490fffffffff,4.0,0.0,0.0
836491fffffffff,499.0,2.0,0.0
836492fffffffff,2.0,0.0,0.0
836494fffffffff,4.0,0.0,0.0
836495fffffffff,2.0,0.0,0.0
836498fffffffff,4.0,0.0,0.0
83649bfffffffff,4.0,0.0,0.0
8364a3fffffffff,4.0,0.0,0.0
8364b0fffffffff,17.0,0.0,0.0
8364b1fffffffff,2.0,0.0,0.0
8364b5fffffffff,4.0,0.0,0.0
836500fffffffff,423.0,0.0,0.0
836503fffffffff,54.0,0.0,0.0
836505fffffffff,29.0,0.0,0.0
83650dfffffffff,11.0,0.0,0.0
836554fffffffff,16.0,0.0,0.0
836556fffffffff,24.0,0.0,0.0
836580fffffffff,16.0,0.0,0.0
8365b6fffffffff,280.0,0.0,4.0
836934fffffffff,23.0,0.0,0.0
838cd0fffffffff,45.0,1.0,0.0
838cd5fffffffff,9.0,0.0,0.0
