cell_id,Turdus fumigatus,Turdus fumigatus personus,Turdus fumigatus [fumigatus Group]
835e66fffffffff,65.0,0.0,0.0
835e71fffffffff,358.0,0.0,0.0
835f01fffffffff,2.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,107.0,0.0,0.0
835f09fffffffff,10.0,0.0,0.0
835f10fffffffff,1.0,0.0,0.0
835f12fffffffff,7.0,0.0,0.0
835f14fffffffff,16.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f1cfffffffff,5.0,0.0,0.0
835f29fffffffff,4.0,0.0,0.0
835f2bfffffffff,57.0,0.0,0.0
835f2dfffffffff,4.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f4afffffffff,10.0,0.0,0.0
835f4bfffffffff,5.0,0.0,0.0
835f50fffffffff,14.0,0.0,0.0
835f54fffffffff,13.0,0.0,0.0
835f58fffffffff,2065.0,0.0,0.0
835f59fffffffff,46.0,0.0,0.0
835f5bfffffffff,64.0,0.0,0.0
835f5dfffffffff,12.0,0.0,0.0
835f68fffffffff,16.0,0.0,0.0
835f71fffffffff,10.0,0.0,0.0
836629fffffffff,6.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0
836641fffffffff,120.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0
836644fffffffff,2.0,0.0,0.0
836645fffffffff,3.0,0.0,0.0
836652fffffffff,22.0,0.0,0.0
836654fffffffff,5.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
836663fffffffff,2.0,0.0,0.0
83666afffffffff,4.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0
836672fffffffff,1.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0
8366e1fffffffff,15.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
8366ecfffffffff,249.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0
836741fffffffff,69.0,0.0,0.0
836743fffffffff,27.0,0.0,0.0
83674cfffffffff,76.0,0.0,0.0
83674efffffffff,36.0,0.0,0.0
836751fffffffff,1.0,0.0,0.0
836753fffffffff,7.0,0.0,0.0
836758fffffffff,5.0,0.0,0.0
836759fffffffff,1.0,0.0,0.0
83675afffffffff,62.0,0.0,0.0
83675cfffffffff,40.0,0.0,0.0
83675efffffffff,3.0,0.0,0.0
838044fffffffff,5.0,0.0,0.0
838046fffffffff,13.0,0.0,0.0
838061fffffffff,16.0,0.0,0.0
838063fffffffff,1.0,0.0,0.0
838065fffffffff,24.0,0.0,0.0
838066fffffffff,3.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806afffffffff,16.0,0.0,1.0
83806bfffffffff,18.0,0.0,0.0
838071fffffffff,10.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0
838132fffffffff,7.0,0.0,0.0
838133fffffffff,1.0,0.0,0.0
838134fffffffff,1.0,0.0,0.0
838136fffffffff,1.0,0.0,0.0
838143fffffffff,1.0,0.0,0.0
838148fffffffff,1.0,0.0,0.0
83814afffffffff,64.0,0.0,0.0
83814dfffffffff,41.0,0.0,0.0
83814efffffffff,52.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
838159fffffffff,4.0,0.0,0.0
83815dfffffffff,10.0,0.0,0.0
83815efffffffff,1.0,0.0,0.0
838163fffffffff,3.0,0.0,0.0
838a00fffffffff,1.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a80fffffffff,3.0,0.0,0.0
838a82fffffffff,16.0,0.0,0.0
838a85fffffffff,1.0,0.0,0.0
838a8cfffffffff,1.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0
838a92fffffffff,1.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0
838aabfffffffff,2.0,0.0,0.0
838aacfffffffff,2.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0
838ad8fffffffff,11.0,0.0,2.0
838adcfffffffff,4.0,0.0,0.0
838af0fffffffff,23.0,0.0,4.0
838af2fffffffff,23.0,0.0,0.0
838af4fffffffff,12.0,0.0,0.0
838af6fffffffff,9.0,0.0,5.0
838b84fffffffff,3.0,0.0,0.0
838b88fffffffff,12.0,0.0,0.0
838b99fffffffff,2.0,0.0,0.0
838b9dfffffffff,8.0,0.0,0.0
838bb5fffffffff,30.0,0.0,0.0
83a596fffffffff,16.0,0.0,5.0
83a859fffffffff,3.0,0.0,0.0
83a891fffffffff,69.0,0.0,6.0
83a895fffffffff,1.0,0.0,0.0
83a8c8fffffffff,1.0,0.0,0.0
