cell_id,Lanius excubitor,Lanius excubitor [excubitor Group],Lanius excubitor [elegans Group],Lanius excubitor aucheri/buryi,Lanius excubitor uncinatus,Lanius excubitor pallidirostris,Lanius excubitor lahtora
8401353ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840135bffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8408065ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408107ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408159ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84081e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408805ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408831ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408837ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408839ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408841ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408845ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8408847ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408859ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408863ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408867ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408869ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408885ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,19.0,1.0,0.0,0.0,0.0,0.0,0.0
840888bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
84088a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84088a9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84088adffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84088b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84088dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84088e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408937ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
