cell_id,Fulica ardesiaca,Fulica ardesiaca (White-billed),Fulica ardesiaca (Yellow-billed)
8466c25ffffffff,181.0,3.0,1.0
8466c67ffffffff,1.0,0.0,1.0
8466d11ffffffff,3.0,0.0,0.0
8466d15ffffffff,72.0,0.0,0.0
8466d33ffffffff,534.0,0.0,4.0
8466d39ffffffff,55.0,0.0,0.0
8466d3bffffffff,281.0,0.0,0.0
8466d53ffffffff,134.0,2.0,4.0
8466de5ffffffff,1373.0,0.0,7.0
8466dedffffffff,54.0,0.0,0.0
848b211ffffffff,2.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b21bffffffff,15.0,0.0,0.0
848b2c1ffffffff,3.0,0.0,0.0
848b2c9ffffffff,262.0,0.0,0.0
848b2cbffffffff,14.0,0.0,0.0
848b2cdffffffff,62.0,0.0,0.0
848b603ffffffff,1.0,0.0,0.0
848b60bffffffff,7.0,0.0,0.0
848b60dffffffff,2.0,0.0,0.0
848b611ffffffff,351.0,0.0,2.0
848b613ffffffff,1.0,0.0,1.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,2.0,2.0,0.0
848b619ffffffff,11.0,0.0,0.0
848b61bffffffff,939.0,8.0,25.0
848b61dffffffff,942.0,0.0,0.0
848b645ffffffff,5.0,0.0,0.0
848b647ffffffff,14.0,0.0,0.0
848b649ffffffff,18.0,0.0,0.0
848b651ffffffff,2.0,0.0,0.0
848b655ffffffff,3.0,0.0,0.0
848b657ffffffff,22.0,0.0,0.0
848b65dffffffff,7.0,0.0,0.0
848b661ffffffff,3.0,0.0,0.0
848b665ffffffff,7.0,0.0,0.0
848b66dffffffff,2.0,0.0,0.0
848b6cdffffffff,10.0,0.0,0.0
848e45bffffffff,2.0,0.0,0.0
848e45dffffffff,62.0,0.0,0.0
848e601ffffffff,4.0,0.0,0.0
848e603ffffffff,13.0,0.0,0.0
848e605ffffffff,2.0,0.0,0.0
848e607ffffffff,20.0,0.0,0.0
848e609ffffffff,9.0,0.0,0.0
848e60bffffffff,30.0,0.0,0.0
848e60dffffffff,12.0,0.0,0.0
848e621ffffffff,72.0,0.0,0.0
848e623ffffffff,12.0,0.0,0.0
848e62dffffffff,2323.0,100.0,57.0
848e635ffffffff,1.0,0.0,0.0
848e637ffffffff,8.0,0.0,0.0
848e639ffffffff,1.0,0.0,0.0
848e645ffffffff,46.0,0.0,0.0
848e647ffffffff,35.0,0.0,0.0
848e655ffffffff,5.0,0.0,0.0
848e657ffffffff,2.0,0.0,0.0
848e663ffffffff,47.0,0.0,0.0
848e669ffffffff,2.0,0.0,0.0
848e66bffffffff,254.0,0.0,0.0
848e681ffffffff,2.0,0.0,0.0
848e683ffffffff,1.0,0.0,0.0
848e687ffffffff,5.0,0.0,0.0
848e68bffffffff,4.0,0.0,0.0
848e691ffffffff,6.0,0.0,0.0
848e6abffffffff,4.0,0.0,0.0
848e6b5ffffffff,17.0,0.0,0.0
848e6b9ffffffff,1.0,0.0,0.0
848e6c1ffffffff,10.0,0.0,0.0
848e6c3ffffffff,9.0,0.0,0.0
848e6c5ffffffff,10.0,0.0,0.0
848e6c7ffffffff,4.0,0.0,0.0
848e6cdffffffff,4.0,0.0,0.0
848e6d1ffffffff,8.0,0.0,0.0
848e6d9ffffffff,2.0,0.0,0.0
848e6ddffffffff,8.0,0.0,0.0
848e759ffffffff,110.0,0.0,0.0
848e75bffffffff,68.0,0.0,0.0
848f081ffffffff,1.0,0.0,0.0
848f087ffffffff,10.0,0.0,0.0
848f095ffffffff,147.0,0.0,0.0
848f0b9ffffffff,6.0,0.0,0.0
848f0bbffffffff,66.0,0.0,0.0
848f291ffffffff,2.0,0.0,0.0
848f297ffffffff,22.0,0.0,0.0
848f299ffffffff,108.0,7.0,1.0
848f29bffffffff,8.0,0.0,0.0
848f2a9ffffffff,2.0,0.0,0.0
848f2d1ffffffff,14.0,0.0,0.0
848f2d7ffffffff,4.0,2.0,0.0
848f2d9ffffffff,138.0,3.0,1.0
848f2dbffffffff,6.0,0.0,0.0
848f2e3ffffffff,3.0,0.0,0.0
848f425ffffffff,2.0,0.0,0.0
848f501ffffffff,119.0,0.0,0.0
848f503ffffffff,5.0,0.0,0.0
848f505ffffffff,274.0,0.0,0.0
848f507ffffffff,15.0,0.0,0.0
848f50dffffffff,7.0,0.0,0.0
848f513ffffffff,18.0,0.0,0.0
848f519ffffffff,95.0,0.0,0.0
