cell_id,Melanochlora sultanea,Melanochlora sultanea [sultanea Group],Melanochlora sultanea gayeti
843c027ffffffff,1.0,0.0,0.0
843c02dffffffff,1.0,0.0,0.0
843c0a5ffffffff,1.0,0.0,0.0
843c0adffffffff,7.0,3.0,0.0
843c199ffffffff,18.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0
843c1d3ffffffff,1.0,0.0,0.0
843c437ffffffff,2.0,0.0,0.0
843c581ffffffff,4.0,4.0,0.0
843c5a1ffffffff,14.0,0.0,0.0
843c5cbffffffff,13.0,0.0,0.0
843cc43ffffffff,1.0,0.0,0.0
843cdcdffffffff,4.0,0.0,0.0
843ce4dffffffff,3.0,2.0,0.0
843cee3ffffffff,2.0,0.0,0.0
8441433ffffffff,2.0,0.0,0.0
844184bffffffff,2.0,0.0,0.0
8441855ffffffff,2.0,0.0,0.0
8441859ffffffff,1.0,1.0,0.0
8441a37ffffffff,3.0,1.0,0.0
8441b3dffffffff,1.0,0.0,0.0
846416dffffffff,4.0,4.0,0.0
8465005ffffffff,2.0,0.0,0.0
846500bffffffff,115.0,3.0,0.0
8465033ffffffff,9.0,0.0,0.0
8465055ffffffff,29.0,0.0,0.0
846505dffffffff,2.0,0.0,0.0
8465063ffffffff,3.0,0.0,0.0
8465189ffffffff,4.0,0.0,0.0
84651c9ffffffff,14.0,0.0,0.0
