cell_id,Haemorhous purpureus,Haemorhous purpureus purpureus,Haemorhous purpureus californicus
840c415ffffffff,2.0,0.0,0.0
840c42dffffffff,11.0,1.0,0.0
840c455ffffffff,3.0,2.0,0.0
840c51dffffffff,4.0,0.0,0.0
840c5adffffffff,1.0,0.0,0.0
840c733ffffffff,27.0,4.0,0.0
840ca43ffffffff,1.0,0.0,1.0
840d5abffffffff,2.0,0.0,0.0
840e45bffffffff,2.0,0.0,0.0
840e497ffffffff,1.0,0.0,0.0
840ec95ffffffff,26.0,4.0,0.0
840ec9dffffffff,4.0,4.0,0.0
840ecb3ffffffff,2.0,2.0,0.0
840ecc1ffffffff,2.0,0.0,0.0
840ecc9ffffffff,16.0,0.0,0.0
8412265ffffffff,1.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0
8412549ffffffff,2.0,0.0,0.0
8412591ffffffff,3.0,0.0,0.0
8412597ffffffff,1.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0
8412891ffffffff,2.0,0.0,0.0
84128d3ffffffff,1.0,0.0,0.0
84128dbffffffff,3.0,1.0,0.0
84128e5ffffffff,2.0,0.0,0.0
8412909ffffffff,2.0,0.0,0.0
8412947ffffffff,2.0,0.0,2.0
84129d9ffffffff,2.0,0.0,0.0
8412ab3ffffffff,1.0,0.0,0.0
8412ab7ffffffff,1.0,1.0,0.0
8412b01ffffffff,2.0,0.0,0.0
8412b03ffffffff,4.0,0.0,0.0
8412c01ffffffff,24.0,0.0,0.0
8412c03ffffffff,2.0,0.0,0.0
8412c05ffffffff,9.0,0.0,0.0
8412c07ffffffff,3.0,0.0,0.0
8412c11ffffffff,9.0,0.0,0.0
8412c21ffffffff,6.0,0.0,0.0
8412c81ffffffff,1.0,1.0,0.0
8412c83ffffffff,2.0,0.0,0.0
8412c97ffffffff,2.0,0.0,1.0
8412cabffffffff,2.0,0.0,0.0
8412ccdffffffff,49.0,0.0,0.0
8412cd7ffffffff,2.0,0.0,0.0
8412cd9ffffffff,20.0,0.0,0.0
8412ce7ffffffff,4.0,0.0,0.0
8412d03ffffffff,2.0,0.0,0.0
8412d11ffffffff,2.0,0.0,0.0
8412d17ffffffff,9.0,0.0,0.0
8412d19ffffffff,4.0,0.0,0.0
8412d29ffffffff,2.0,0.0,0.0
8412d2bffffffff,2.0,0.0,0.0
8412d33ffffffff,1.0,0.0,0.0
8412d3bffffffff,2.0,0.0,0.0
8412d47ffffffff,2.0,0.0,0.0
8412d57ffffffff,1.0,0.0,0.0
8412d5dffffffff,2.0,0.0,0.0
8412d63ffffffff,1.0,0.0,0.0
8412d89ffffffff,2.0,0.0,0.0
8412da9ffffffff,2.0,0.0,0.0
8412db1ffffffff,30.0,29.0,0.0
8412dc3ffffffff,6.0,0.0,0.0
8412dc9ffffffff,6.0,0.0,0.0
8412dcbffffffff,2.0,0.0,0.0
8412ddbffffffff,10.0,0.0,0.0
8412de5ffffffff,2.0,0.0,0.0
8412dedffffffff,6.0,0.0,0.0
8412e13ffffffff,4.0,0.0,0.0
8412e89ffffffff,6.0,0.0,0.0
8412ea5ffffffff,1.0,0.0,0.0
8412ea7ffffffff,2.0,0.0,0.0
8412ecdffffffff,31.0,4.0,0.0
8412ed1ffffffff,1.0,0.0,0.0
8412ee3ffffffff,1.0,0.0,0.0
8412f13ffffffff,3.0,0.0,0.0
8412f37ffffffff,3.0,0.0,0.0
8412f6dffffffff,2.0,0.0,0.0
8413829ffffffff,4.0,0.0,0.0
841383dffffffff,4.0,0.0,0.0
8413861ffffffff,2.0,0.0,0.0
8413867ffffffff,68.0,0.0,0.0
84138c7ffffffff,3.0,0.0,0.0
8413919ffffffff,2.0,0.0,0.0
8413b35ffffffff,1.0,0.0,0.0
841aa01ffffffff,1.0,0.0,0.0
841aa05ffffffff,4.0,0.0,0.0
841aa07ffffffff,18.0,0.0,0.0
841aa23ffffffff,2.0,0.0,0.0
841aa2bffffffff,3.0,0.0,0.0
841aa35ffffffff,3.0,0.0,0.0
841aa3dffffffff,14.0,0.0,0.0
841aa47ffffffff,2.0,0.0,0.0
841aa4dffffffff,13.0,0.0,0.0
841ab09ffffffff,2.0,0.0,0.0
841ab0bffffffff,2.0,0.0,0.0
841b991ffffffff,2.0,0.0,0.0
841b993ffffffff,1.0,0.0,0.0
841b9e1ffffffff,1.0,0.0,0.0
841b9e7ffffffff,6.0,0.0,0.0
8422db7ffffffff,3.0,0.0,0.0
8426015ffffffff,4.0,0.0,0.0
8426039ffffffff,1.0,0.0,0.0
842604bffffffff,3.0,0.0,0.0
8426055ffffffff,2.0,0.0,0.0
8426085ffffffff,4.0,1.0,0.0
842608dffffffff,7.0,7.0,0.0
84260a1ffffffff,7.0,0.0,0.0
84260a9ffffffff,5.0,1.0,0.0
84260adffffffff,24.0,0.0,0.0
84260bbffffffff,2.0,0.0,0.0
84260ebffffffff,2.0,2.0,0.0
842611dffffffff,2.0,0.0,0.0
8426127ffffffff,2.0,0.0,0.0
8426165ffffffff,2.0,0.0,0.0
8426183ffffffff,2.0,0.0,0.0
84261abffffffff,2.0,0.0,0.0
84261c7ffffffff,4.0,0.0,0.0
842620dffffffff,2.0,0.0,0.0
8426257ffffffff,8.0,0.0,0.0
842626bffffffff,2.0,0.0,0.0
8426283ffffffff,2.0,0.0,0.0
8426293ffffffff,4.0,0.0,0.0
84262c9ffffffff,4.0,0.0,0.0
84262cdffffffff,2.0,0.0,0.0
84262d9ffffffff,2.0,0.0,0.0
84262dbffffffff,2.0,0.0,0.0
8426365ffffffff,6.0,0.0,0.0
8426369ffffffff,5.0,0.0,0.0
842640dffffffff,1.0,0.0,0.0
8426411ffffffff,2.0,0.0,0.0
8426415ffffffff,4.0,0.0,0.0
8426421ffffffff,1.0,0.0,0.0
8426425ffffffff,1.0,0.0,0.0
8426427ffffffff,1.0,0.0,0.0
8426431ffffffff,2.0,0.0,0.0
8426455ffffffff,2.0,0.0,0.0
8426461ffffffff,3.0,0.0,0.0
8426463ffffffff,7.0,0.0,0.0
842646bffffffff,1.0,0.0,0.0
8426489ffffffff,2.0,0.0,0.0
842648bffffffff,5.0,0.0,0.0
842649dffffffff,1.0,0.0,0.0
84264a3ffffffff,3.0,0.0,0.0
84264a7ffffffff,1.0,0.0,0.0
84264abffffffff,2.0,2.0,0.0
84264adffffffff,2.0,0.0,0.0
84264bdffffffff,4.0,0.0,0.0
84264c3ffffffff,4.0,0.0,0.0
84264c5ffffffff,2.0,0.0,0.0
84264c7ffffffff,17.0,13.0,0.0
84264d1ffffffff,35.0,0.0,0.0
84264d3ffffffff,2.0,0.0,0.0
84264d5ffffffff,2.0,0.0,0.0
84264d9ffffffff,5.0,0.0,0.0
84264dbffffffff,52.0,0.0,0.0
84264e5ffffffff,26.0,0.0,0.0
8426519ffffffff,2.0,0.0,0.0
842651bffffffff,2.0,0.0,0.0
8426527ffffffff,2.0,0.0,0.0
8426533ffffffff,7.0,0.0,0.0
842653bffffffff,6.0,0.0,0.0
842654bffffffff,1.0,0.0,0.0
8426553ffffffff,2.0,0.0,0.0
8426555ffffffff,6.0,0.0,0.0
8426557ffffffff,2.0,0.0,0.0
842655dffffffff,16.0,5.0,0.0
8426563ffffffff,2.0,0.0,0.0
8426565ffffffff,5.0,1.0,0.0
8426567ffffffff,12.0,1.0,0.0
8426569ffffffff,1.0,0.0,0.0
8426583ffffffff,1.0,0.0,0.0
8426585ffffffff,2.0,0.0,0.0
8426593ffffffff,2.0,0.0,0.0
842659bffffffff,74.0,0.0,0.0
84265a7ffffffff,2.0,0.0,0.0
84265b5ffffffff,14.0,0.0,0.0
84265d3ffffffff,3.0,0.0,0.0
8426607ffffffff,5.0,0.0,0.0
842660bffffffff,8.0,0.0,0.0
8426613ffffffff,2.0,2.0,0.0
8426615ffffffff,3.0,0.0,0.0
8426617ffffffff,4.0,0.0,0.0
842661bffffffff,2.0,0.0,0.0
8426625ffffffff,8.0,0.0,0.0
8426629ffffffff,2.0,2.0,0.0
842662bffffffff,1.0,1.0,0.0
