cell_id,Artamella viridis,Artamella viridis viridis,Artamella viridis annae
83a214fffffffff,143.0,0.0,0.0
83a215fffffffff,4.0,0.0,0.0
83a222fffffffff,55.0,0.0,0.0
83a231fffffffff,144.0,0.0,0.0
83a2a3fffffffff,11.0,0.0,0.0
83a2a4fffffffff,4.0,0.0,0.0
83a2aefffffffff,19.0,0.0,0.0
83a308fffffffff,5.0,0.0,0.0
83a309fffffffff,6.0,0.0,0.0
83a30cfffffffff,1.0,0.0,0.0
83a30dfffffffff,4.0,0.0,0.0
83a30efffffffff,4.0,0.0,0.0
83a318fffffffff,21.0,0.0,0.0
83a319fffffffff,179.0,0.0,0.0
83a31bfffffffff,2.0,0.0,0.0
83a31cfffffffff,9.0,0.0,0.0
83a356fffffffff,79.0,0.0,0.0
83a376fffffffff,2.0,0.0,0.0
83a38bfffffffff,24.0,0.0,0.0
83a38cfffffffff,6.0,0.0,0.0
83a38dfffffffff,18.0,0.0,0.0
83a399fffffffff,109.0,0.0,0.0
83a39dfffffffff,4.0,0.0,0.0
83a3adfffffffff,2.0,0.0,0.0
