cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
84450a5ffffffff,1.0,1.0,0.0,0.0
84450ebffffffff,3.0,3.0,0.0,0.0
84452a9ffffffff,7.0,0.0,0.0,0.0
84452adffffffff,3.0,0.0,0.0,0.0
84452e1ffffffff,10.0,0.0,0.0,0.0
84452e3ffffffff,6.0,0.0,0.0,0.0
84452ebffffffff,1.0,0.0,0.0,0.0
8448b13ffffffff,42.0,4.0,0.0,0.0
8448b15ffffffff,2.0,0.0,0.0,0.0
8449861ffffffff,2.0,2.0,0.0,0.0
8449865ffffffff,2.0,2.0,0.0,0.0
844990bffffffff,5.0,0.0,0.0,0.0
844992bffffffff,4.0,0.0,0.0,0.0
8449941ffffffff,5.0,0.0,0.0,0.0
8449959ffffffff,4.0,0.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0,0.0
8449987ffffffff,2.0,0.0,0.0,0.0
845f2b3ffffffff,3.0,0.0,0.0,0.0
845f2bbffffffff,10.0,0.0,0.0,0.0
845f581ffffffff,3.0,0.0,0.0,0.0
845f583ffffffff,41.0,0.0,0.0,0.0
845f5b9ffffffff,2.0,0.0,0.0,0.0
845f5d7ffffffff,4.0,0.0,0.0,0.0
84660a7ffffffff,3.0,0.0,0.0,0.0
84661a5ffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,3.0,1.0,0.0,0.0
8466e2dffffffff,2.0,0.0,0.0,0.0
8466e3bffffffff,1.0,0.0,0.0,0.0
8466e51ffffffff,8.0,0.0,0.0,0.0
8466e59ffffffff,7.0,0.0,0.0,0.0
8466ec7ffffffff,3.0,0.0,0.0,0.0
8467519ffffffff,11.0,0.0,0.0,0.0
8467599ffffffff,2.0,0.0,0.0,0.0
846d21dffffffff,3.0,0.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0,0.0
846d2c1ffffffff,2.0,2.0,0.0,0.0
846d2c9ffffffff,2.0,2.0,0.0,0.0
846d2d7ffffffff,1.0,0.0,0.0,0.0
846d32bffffffff,4.0,0.0,0.0,0.0
846d35dffffffff,2.0,0.0,0.0,0.0
846d603ffffffff,1.0,0.0,0.0,0.0
848b9d5ffffffff,2.0,0.0,2.0,0.0
848f0d1ffffffff,8.0,0.0,0.0,0.0
848f54dffffffff,2.0,2.0,0.0,0.0
84a8c25ffffffff,10.0,0.0,0.0,0.0
84a8d1bffffffff,13.0,0.0,0.0,0.0
84a9425ffffffff,3.0,0.0,0.0,2.0
84a943dffffffff,1.0,0.0,0.0,0.0
84a9465ffffffff,45.0,0.0,0.0,0.0
84a94c1ffffffff,6.0,0.0,0.0,0.0
84a94c7ffffffff,2.0,0.0,0.0,0.0
84a94ddffffffff,11.0,0.0,0.0,0.0
84a953bffffffff,23.0,0.0,0.0,2.0
84a95c9ffffffff,1.0,0.0,0.0,0.0
84a95edffffffff,2.0,0.0,0.0,0.0
