cell_id,Cinclodes pabsti,Cinclodes pabsti espinhacensis,Cinclodes pabsti pabsti
83a88efffffffff,112.0,96.0,0.0
83a90afffffffff,3.0,0.0,0.0
83a90efffffffff,35.0,0.0,16.0
83a919fffffffff,36.0,0.0,18.0
83a91dfffffffff,140.0,0.0,73.0
