cell_id,Terpsiphone rufiventer,Terpsiphone rufiventer [rufiventer Group],Terpsiphone rufiventer tricolor/neumanni,Terpsiphone rufiventer smithii
84541a3ffffffff,1.0,0.0,0.0,0.0
84541b3ffffffff,2.0,0.0,0.0,0.0
8454a93ffffffff,154.0,89.0,0.0,0.0
8454a9bffffffff,128.0,75.0,0.0,0.0
8454e05ffffffff,2.0,0.0,0.0,0.0
8454e21ffffffff,14.0,0.0,0.0,0.0
8454e25ffffffff,2.0,0.0,0.0,0.0
8454e8bffffffff,6.0,0.0,0.0,0.0
8454f0bffffffff,2.0,0.0,0.0,0.0
8454f0dffffffff,1.0,0.0,0.0,0.0
8454f1bffffffff,11.0,0.0,0.0,0.0
8454f43ffffffff,2.0,0.0,0.0,0.0
8454f45ffffffff,7.0,0.0,0.0,0.0
8454f47ffffffff,25.0,24.0,0.0,0.0
8454f4dffffffff,115.0,74.0,0.0,0.0
8454f51ffffffff,4.0,0.0,0.0,0.0
8454f57ffffffff,3.0,0.0,0.0,0.0
8454f6bffffffff,4.0,4.0,0.0,0.0
8458839ffffffff,4.0,0.0,0.0,0.0
845890bffffffff,6.0,0.0,0.0,0.0
845890dffffffff,2.0,1.0,0.0,0.0
8458943ffffffff,2.0,0.0,0.0,0.0
845894bffffffff,10.0,0.0,0.0,0.0
845894dffffffff,1.0,0.0,0.0,0.0
8458951ffffffff,4.0,0.0,0.0,0.0
845895bffffffff,1.0,1.0,0.0,0.0
8458969ffffffff,23.0,10.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0,0.0
8458d1dffffffff,1.0,0.0,0.0,0.0
8458d23ffffffff,9.0,0.0,0.0,0.0
8458d31ffffffff,1.0,0.0,1.0,0.0
8458d33ffffffff,21.0,0.0,21.0,0.0
8458d35ffffffff,19.0,0.0,17.0,0.0
8458d37ffffffff,2.0,0.0,0.0,0.0
8458d3dffffffff,1.0,0.0,1.0,0.0
8458de5ffffffff,11.0,0.0,11.0,0.0
846a109ffffffff,2.0,0.0,0.0,0.0
846a91bffffffff,1.0,1.0,0.0,0.0
846a9e7ffffffff,14.0,14.0,0.0,0.0
846a9edffffffff,8.0,8.0,0.0,0.0
846ac03ffffffff,84.0,42.0,0.0,0.0
846ac0bffffffff,92.0,52.0,0.0,0.0
846ac15ffffffff,363.0,137.0,0.0,0.0
846ac1dffffffff,2.0,0.0,0.0,0.0
846ac35ffffffff,9.0,0.0,0.0,0.0
846ac39ffffffff,2.0,0.0,0.0,0.0
846ac3dffffffff,8.0,2.0,0.0,0.0
846ac89ffffffff,197.0,85.0,0.0,0.0
846acadffffffff,5.0,3.0,0.0,0.0
846acc3ffffffff,6.0,1.0,0.0,0.0
846acc7ffffffff,30.0,11.0,0.0,0.0
846acd1ffffffff,4.0,2.0,0.0,0.0
846acd5ffffffff,76.0,24.0,0.0,0.0
846adc1ffffffff,56.0,20.0,0.0,0.0
846adc9ffffffff,4.0,0.0,0.0,0.0
846ae85ffffffff,6.0,4.0,0.0,0.0
846aea1ffffffff,133.0,56.0,0.0,0.0
846aea3ffffffff,2.0,0.0,0.0,0.0
846aea9ffffffff,3.0,2.0,0.0,0.0
846aeabffffffff,14.0,10.0,0.0,0.0
846aeb5ffffffff,2.0,0.0,0.0,0.0
8475085ffffffff,174.0,99.0,0.0,0.0
8475087ffffffff,101.0,60.0,0.0,0.0
8475095ffffffff,2.0,0.0,0.0,0.0
84750c1ffffffff,1.0,0.0,0.0,0.0
84750c5ffffffff,2.0,2.0,0.0,0.0
84750c9ffffffff,2.0,1.0,0.0,0.0
84750d1ffffffff,438.0,273.0,0.0,0.0
84750d3ffffffff,2.0,1.0,0.0,0.0
84750d7ffffffff,1.0,1.0,0.0,0.0
84750d9ffffffff,6.0,3.0,0.0,0.0
84750dbffffffff,9.0,9.0,0.0,0.0
84750ddffffffff,9.0,8.0,0.0,0.0
847518dffffffff,3.0,0.0,0.0,0.0
8475191ffffffff,3.0,0.0,0.0,0.0
84751d7ffffffff,5.0,0.0,0.0,0.0
8475201ffffffff,1.0,0.0,0.0,0.0
847520bffffffff,1.0,0.0,0.0,0.0
8475295ffffffff,150.0,88.0,0.0,0.0
8475299ffffffff,3.0,3.0,0.0,0.0
847529bffffffff,7.0,2.0,0.0,0.0
84752a3ffffffff,2.0,0.0,0.0,0.0
84752abffffffff,71.0,50.0,0.0,0.0
84752adffffffff,30.0,15.0,0.0,0.0
84752b5ffffffff,44.0,29.0,0.0,0.0
84752dbffffffff,9.0,7.0,0.0,0.0
84752e9ffffffff,3.0,2.0,0.0,0.0
847584dffffffff,1.0,0.0,0.0,0.0
8475861ffffffff,2.0,0.0,0.0,0.0
8475a07ffffffff,14.0,0.0,0.0,0.0
8475a19ffffffff,2.0,0.0,0.0,0.0
8475a81ffffffff,3.0,0.0,0.0,0.0
8475a83ffffffff,2.0,0.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0,0.0
8475b07ffffffff,1.0,1.0,0.0,0.0
8475b0dffffffff,9.0,0.0,0.0,0.0
847a48bffffffff,2.0,0.0,0.0,0.0
847a4cbffffffff,6.0,0.0,0.0,0.0
847a4ddffffffff,18.0,0.0,0.0,0.0
8482125ffffffff,20.0,0.0,0.0,0.0
8482181ffffffff,3.0,0.0,0.0,0.0
8482187ffffffff,3.0,0.0,0.0,0.0
848218dffffffff,1.0,0.0,0.0,0.0
84821b1ffffffff,2.0,0.0,0.0,0.0
8482337ffffffff,1.0,0.0,1.0,0.0
848283dffffffff,1.0,0.0,0.0,0.0
84828a3ffffffff,2.0,0.0,0.0,0.0
84828bdffffffff,2.0,0.0,0.0,0.0
84828d1ffffffff,220.0,0.0,83.0,0.0
848294bffffffff,1.0,1.0,0.0,0.0
8482a09ffffffff,4.0,0.0,0.0,0.0
8482a81ffffffff,16.0,0.0,2.0,0.0
8482aadffffffff,2.0,0.0,2.0,0.0
8482ab3ffffffff,3.0,0.0,3.0,0.0
8482ab7ffffffff,15.0,0.0,4.0,0.0
8482b21ffffffff,1.0,0.0,0.0,0.0
8482d03ffffffff,6.0,0.0,4.0,0.0
8482d07ffffffff,9.0,0.0,0.0,0.0
8482d1dffffffff,77.0,0.0,60.0,0.0
8482d27ffffffff,6.0,0.0,1.0,0.0
8482d37ffffffff,4.0,0.0,2.0,0.0
8482d3dffffffff,31.0,0.0,27.0,0.0
8482d57ffffffff,2.0,0.0,0.0,0.0
8482f23ffffffff,3.0,0.0,3.0,0.0
8482f41ffffffff,2.0,0.0,0.0,0.0
84838ebffffffff,1.0,0.0,0.0,0.0
8483981ffffffff,12.0,0.0,0.0,0.0
8483983ffffffff,16.0,16.0,0.0,0.0
848398bffffffff,17.0,4.0,0.0,0.0
849608dffffffff,1.0,1.0,0.0,0.0
8496097ffffffff,11.0,6.0,0.0,0.0
8496569ffffffff,3.0,3.0,0.0,0.0
8496e49ffffffff,2.0,2.0,0.0,0.0
