cell_id,Chrysococcyx cupreus,Chrysococcyx cupreus cupreus,Chrysococcyx cupreus intermedius,Chrysococcyx cupreus insularum
84529b9ffffffff,3.0,0.0,0.0,0.0
8454e21ffffffff,3.0,0.0,0.0,0.0
8454f1bffffffff,10.0,0.0,0.0,0.0
8454f51ffffffff,2.0,0.0,0.0,0.0
8458833ffffffff,1.0,1.0,0.0,0.0
8458c3dffffffff,3.0,3.0,0.0,0.0
8458d23ffffffff,5.0,0.0,0.0,0.0
8458d33ffffffff,33.0,31.0,0.0,0.0
8458d35ffffffff,12.0,12.0,0.0,0.0
8458d37ffffffff,2.0,2.0,0.0,0.0
8458db1ffffffff,1.0,0.0,0.0,0.0
8458db5ffffffff,2.0,0.0,0.0,0.0
8458dedffffffff,2.0,0.0,0.0,0.0
846a5a9ffffffff,2.0,0.0,0.0,0.0
846a9e5ffffffff,7.0,0.0,0.0,0.0
846a9e7ffffffff,2.0,0.0,0.0,0.0
846a9edffffffff,2.0,0.0,0.0,0.0
846ac03ffffffff,41.0,4.0,0.0,0.0
846ac0bffffffff,32.0,3.0,0.0,0.0
846ac11ffffffff,3.0,0.0,0.0,0.0
846ac15ffffffff,403.0,65.0,0.0,0.0
846ac19ffffffff,6.0,0.0,0.0,0.0
846ac1dffffffff,1.0,0.0,0.0,0.0
846ac31ffffffff,7.0,2.0,0.0,0.0
846ac35ffffffff,9.0,0.0,0.0,0.0
846ac3dffffffff,1.0,0.0,0.0,0.0
846ac81ffffffff,4.0,0.0,0.0,0.0
846ac89ffffffff,82.0,7.0,0.0,0.0
846acadffffffff,4.0,0.0,0.0,0.0
846acc3ffffffff,2.0,0.0,0.0,0.0
846acc7ffffffff,36.0,4.0,0.0,0.0
846acd1ffffffff,2.0,0.0,0.0,0.0
846acd5ffffffff,34.0,8.0,0.0,0.0
846ace3ffffffff,2.0,2.0,0.0,0.0
846ace5ffffffff,18.0,0.0,0.0,0.0
846ad8bffffffff,3.0,0.0,0.0,0.0
846ad93ffffffff,5.0,0.0,0.0,0.0
846adc1ffffffff,281.0,33.0,0.0,0.0
846adc5ffffffff,39.0,0.0,0.0,0.0
846adc7ffffffff,2.0,0.0,0.0,0.0
846adc9ffffffff,10.0,1.0,0.0,0.0
846ade7ffffffff,24.0,0.0,0.0,0.0
846adebffffffff,1.0,0.0,0.0,0.0
846ae85ffffffff,9.0,3.0,0.0,0.0
846aea1ffffffff,89.0,13.0,0.0,0.0
846aea3ffffffff,2.0,0.0,0.0,0.0
846aea5ffffffff,1.0,0.0,0.0,0.0
846aeabffffffff,9.0,0.0,0.0,0.0
846aeb5ffffffff,4.0,0.0,0.0,0.0
8475039ffffffff,1.0,0.0,0.0,0.0
8475085ffffffff,55.0,6.0,0.0,0.0
8475087ffffffff,62.0,3.0,0.0,0.0
8475095ffffffff,1.0,0.0,0.0,0.0
