cell_id,Myiarchus tuberculifer,Myiarchus tuberculifer olivascens,Myiarchus tuberculifer [lawrenceii Group],Myiarchus tuberculifer tuberculifer/pallidus,Myiarchus tuberculifer nigriceps/atriceps
8444249ffffffff,109.0,0.0,0.0,0.0,0.0
844424dffffffff,4.0,0.0,1.0,0.0,0.0
8445011ffffffff,10.0,0.0,0.0,0.0,0.0
8445013ffffffff,10.0,0.0,0.0,0.0,0.0
8445019ffffffff,286.0,0.0,0.0,0.0,0.0
844501bffffffff,45.0,0.0,7.0,0.0,0.0
8445053ffffffff,95.0,0.0,1.0,0.0,0.0
8445057ffffffff,29.0,0.0,0.0,0.0,0.0
8445059ffffffff,26.0,0.0,0.0,0.0,0.0
844505bffffffff,311.0,0.0,0.0,0.0,0.0
8445081ffffffff,10.0,0.0,0.0,0.0,0.0
8445083ffffffff,170.0,0.0,67.0,0.0,0.0
8445085ffffffff,155.0,0.0,16.0,0.0,0.0
8445087ffffffff,555.0,0.0,89.0,0.0,0.0
8445089ffffffff,25.0,0.0,0.0,0.0,0.0
844508bffffffff,6.0,0.0,2.0,0.0,0.0
844508dffffffff,197.0,0.0,6.0,0.0,0.0
8445091ffffffff,44.0,0.0,10.0,0.0,0.0
8445093ffffffff,65.0,0.0,36.0,0.0,0.0
8445095ffffffff,1.0,0.0,0.0,0.0,0.0
8445097ffffffff,14.0,0.0,7.0,0.0,0.0
8445099ffffffff,183.0,0.0,4.0,0.0,0.0
844509bffffffff,677.0,0.0,338.0,0.0,0.0
844509dffffffff,4.0,0.0,2.0,0.0,0.0
84450a1ffffffff,494.0,0.0,0.0,0.0,0.0
84450a3ffffffff,204.0,0.0,36.0,0.0,0.0
84450a5ffffffff,97.0,0.0,10.0,0.0,0.0
84450a7ffffffff,98.0,0.0,9.0,0.0,0.0
84450a9ffffffff,48.0,0.0,2.0,0.0,0.0
84450abffffffff,74.0,0.0,16.0,0.0,0.0
84450adffffffff,212.0,0.0,31.0,0.0,0.0
84450b1ffffffff,213.0,0.0,47.0,0.0,0.0
