cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
840e491ffffffff,5.0,2.0,0.0
840e4dbffffffff,5.0,0.0,0.0
840e805ffffffff,1.0,0.0,0.0
840ecc1ffffffff,1.0,0.0,1.0
8412591ffffffff,2.0,0.0,0.0
8412eedffffffff,14.0,0.0,0.0
841aa07ffffffff,59.0,0.0,0.0
841aa35ffffffff,2.0,0.0,0.0
841aa3dffffffff,11.0,0.0,0.0
8426015ffffffff,2.0,0.0,0.0
8426085ffffffff,86.0,0.0,0.0
842609bffffffff,4.0,0.0,0.0
84260b3ffffffff,14.0,0.0,0.0
84260b9ffffffff,10.0,8.0,0.0
84260d9ffffffff,2.0,0.0,0.0
84260e3ffffffff,4.0,0.0,0.0
84262b7ffffffff,2.0,0.0,0.0
84262c3ffffffff,3.0,0.0,0.0
84262c9ffffffff,6.0,0.0,0.0
84262cdffffffff,2.0,0.0,0.0
84262dbffffffff,50.0,0.0,0.0
84262ddffffffff,24.0,0.0,0.0
842640dffffffff,6.0,0.0,0.0
8426415ffffffff,5.0,0.0,0.0
8426417ffffffff,1.0,0.0,0.0
8426421ffffffff,1.0,0.0,0.0
8426425ffffffff,5.0,0.0,0.0
8426427ffffffff,3.0,0.0,0.0
8426429ffffffff,1.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0
8426433ffffffff,8.0,0.0,0.0
8426435ffffffff,1.0,0.0,0.0
8426437ffffffff,3.0,0.0,0.0
842644dffffffff,3.0,0.0,0.0
8426461ffffffff,4.0,0.0,0.0
8426463ffffffff,13.0,0.0,0.0
842646bffffffff,1.0,1.0,0.0
8426481ffffffff,8.0,0.0,0.0
8426483ffffffff,2.0,0.0,0.0
8426487ffffffff,1.0,0.0,0.0
8426489ffffffff,7.0,2.0,0.0
842648bffffffff,6.0,0.0,0.0
8426493ffffffff,5.0,0.0,0.0
8426497ffffffff,3.0,0.0,0.0
84264a7ffffffff,16.0,0.0,0.0
84264adffffffff,1.0,1.0,0.0
84264b9ffffffff,14.0,0.0,0.0
84264bbffffffff,2.0,0.0,0.0
84264c3ffffffff,6.0,1.0,0.0
84264c5ffffffff,2.0,0.0,0.0
84264c7ffffffff,6.0,0.0,0.0
84264d1ffffffff,20.0,2.0,0.0
84264d3ffffffff,2.0,0.0,0.0
84264d5ffffffff,3.0,0.0,0.0
84264d9ffffffff,6.0,0.0,0.0
84264dbffffffff,2.0,0.0,0.0
84264ddffffffff,7.0,0.0,0.0
84264e1ffffffff,1.0,0.0,0.0
84264e5ffffffff,21.0,0.0,0.0
84264edffffffff,2.0,0.0,0.0
842650bffffffff,4.0,0.0,0.0
8426511ffffffff,1.0,0.0,0.0
842651bffffffff,4.0,0.0,0.0
842652bffffffff,1.0,0.0,0.0
8426531ffffffff,2.0,0.0,0.0
8426533ffffffff,10.0,0.0,0.0
8426547ffffffff,1.0,0.0,0.0
842655dffffffff,2.0,0.0,0.0
8426565ffffffff,6.0,4.0,0.0
8426567ffffffff,25.0,20.0,0.0
