cell_id,Peucaea ruficauda,Peucaea ruficauda acuminata,Peucaea ruficauda [ruficauda Group]
8445251ffffffff,2.0,0.0,0.0
8445255ffffffff,1.0,0.0,0.0
8445259ffffffff,2.0,0.0,0.0
8448365ffffffff,1.0,0.0,0.0
8449809ffffffff,2.0,0.0,0.0
8449941ffffffff,2.0,0.0,0.0
844994bffffffff,2.0,0.0,0.0
8449951ffffffff,2.0,0.0,0.0
8449b37ffffffff,2.0,0.0,0.0
8467921ffffffff,2.0,0.0,0.0
846d143ffffffff,4.0,0.0,0.0
846d291ffffffff,2.0,0.0,0.0
846d297ffffffff,7.0,0.0,0.0
846d2a3ffffffff,2.0,0.0,0.0
846d313ffffffff,3.0,0.0,0.0
846d643ffffffff,3.0,0.0,0.0
846d681ffffffff,3.0,0.0,0.0
846d685ffffffff,2.0,0.0,0.0
846d695ffffffff,13.0,0.0,0.0
846d69dffffffff,8.0,0.0,0.0
846d6e9ffffffff,3.0,0.0,0.0
846d769ffffffff,8.0,0.0,0.0
846d76dffffffff,2.0,0.0,0.0
