cell_id,Amazona oratrix,Amazona oratrix tresmariae,Amazona oratrix [oratrix Group]
841faa7ffffffff,2.0,0.0,0.0
8429a19ffffffff,8.0,0.0,0.0
8429a1dffffffff,1962.0,0.0,0.0
8429a41ffffffff,28.0,0.0,0.0
8429a4dffffffff,60.0,0.0,0.0
8429a57ffffffff,7.0,0.0,0.0
8448a07ffffffff,9.0,0.0,0.0
8448b15ffffffff,8.0,0.0,0.0
8448b23ffffffff,1.0,0.0,0.0
8448b2bffffffff,18.0,0.0,0.0
8448b39ffffffff,236.0,0.0,0.0
8448b3dffffffff,593.0,0.0,0.0
