cell_id,Buteogallus urubitinga,Buteogallus urubitinga ridgwayi,Buteogallus urubitinga urubitinga
822a37fffffffff,350.0,0.0,0.0
8244a7fffffffff,9.0,0.0,0.0
824507fffffffff,6.0,0.0,0.0
82450ffffffffff,1.0,0.0,0.0
824527fffffffff,11.0,0.0,0.0
82452ffffffffff,13.0,2.0,0.0
824837fffffffff,14.0,0.0,0.0
8248a7fffffffff,2.0,0.0,0.0
8248b7fffffffff,2.0,0.0,0.0
824997fffffffff,14.0,1.0,0.0
8249affffffffff,114.0,0.0,0.0
8249b7fffffffff,36.0,2.0,0.0
825f5ffffffffff,27.0,0.0,0.0
826607fffffffff,5.0,0.0,0.0
82660ffffffffff,10.0,0.0,0.0
826617fffffffff,3.0,0.0,0.0
82661ffffffffff,16.0,0.0,0.0
82662ffffffffff,10.0,0.0,0.0
826647fffffffff,2.0,0.0,2.0
8266a7fffffffff,14.0,0.0,0.0
8266b7fffffffff,6.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0
8266d7fffffffff,6.0,0.0,0.0
8266dffffffffff,4.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0
82674ffffffffff,11.0,0.0,0.0
82679ffffffffff,32.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0
826d2ffffffffff,23.0,0.0,0.0
826d37fffffffff,8.0,0.0,0.0
826d67fffffffff,3.0,0.0,0.0
826d6ffffffffff,16.0,2.0,0.0
828a47fffffffff,2.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0
828f2ffffffffff,4.0,0.0,0.0
828f47fffffffff,4.0,0.0,0.0
828f57fffffffff,3.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
82a847fffffffff,7.0,0.0,0.0
82a897fffffffff,2.0,0.0,0.0
82a92ffffffffff,6.0,0.0,0.0
82a947fffffffff,5.0,0.0,0.0
82a957fffffffff,1.0,0.0,0.0
82a967fffffffff,80.0,0.0,0.0
82a96ffffffffff,24.0,0.0,0.0
82a977fffffffff,6.0,0.0,0.0
82b247fffffffff,1.0,0.0,0.0
82b24ffffffffff,55.0,0.0,0.0
82b25ffffffffff,2.0,0.0,0.0
82b267fffffffff,6.0,0.0,0.0
82b26ffffffffff,169.0,0.0,0.0
82b277fffffffff,1.0,0.0,0.0
82b347fffffffff,2.0,0.0,0.0
82c2c7fffffffff,17.0,0.0,0.0
82c2cffffffffff,65.0,0.0,0.0
82c2d7fffffffff,3.0,0.0,0.0
82c2dffffffffff,6.0,0.0,0.0
82c2e7fffffffff,11.0,0.0,0.0
82c2effffffffff,8.0,0.0,0.0
