cell_id,Vanellus chilensis,Vanellus chilensis cayennensis,Vanellus chilensis lampronotus,Vanellus chilensis chilensis/fretensis
82276ffffffffff,165.0,21.0,0.0,0.0
824527fffffffff,108.0,2.0,0.0,0.0
82452ffffffffff,8.0,0.0,0.0,0.0
824537fffffffff,67.0,0.0,0.0,0.0
8248b7fffffffff,9.0,1.0,0.0,0.0
825e67fffffffff,70.0,0.0,0.0,0.0
825e77fffffffff,25.0,0.0,0.0,0.0
825f4ffffffffff,9.0,0.0,0.0,0.0
825f5ffffffffff,19.0,14.0,0.0,0.0
82660ffffffffff,7.0,0.0,0.0,0.0
826617fffffffff,5.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0
826627fffffffff,1.0,1.0,0.0,0.0
826647fffffffff,14.0,0.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0,0.0
826677fffffffff,4.0,0.0,0.0,0.0
8266a7fffffffff,203.0,4.0,0.0,0.0
8266b7fffffffff,133.0,9.0,0.0,0.0
8266cffffffffff,5.0,0.0,0.0,0.0
8266d7fffffffff,43.0,1.0,0.0,0.0
8266dffffffffff,4.0,3.0,0.0,0.0
8266e7fffffffff,1.0,0.0,0.0,0.0
8266effffffffff,2.0,0.0,0.0,0.0
8266f7fffffffff,9.0,2.0,0.0,0.0
826747fffffffff,56.0,1.0,0.0,0.0
82674ffffffffff,21.0,0.0,0.0,0.0
826757fffffffff,6.0,2.0,0.0,0.0
82675ffffffffff,35.0,33.0,0.0,0.0
826777fffffffff,24.0,0.0,0.0,0.0
82679ffffffffff,18.0,0.0,0.0,0.0
826d07fffffffff,96.0,0.0,0.0,0.0
826d2ffffffffff,98.0,0.0,0.0,0.0
826d67fffffffff,207.0,0.0,0.0,0.0
826d6ffffffffff,148.0,4.0,0.0,0.0
826d77fffffffff,29.0,0.0,0.0,0.0
828027fffffffff,2.0,0.0,0.0,0.0
828067fffffffff,2.0,0.0,2.0,0.0
828147fffffffff,4.0,0.0,4.0,0.0
82814ffffffffff,8.0,0.0,8.0,0.0
828a47fffffffff,2.0,0.0,2.0,0.0
828a6ffffffffff,6.0,0.0,0.0,0.0
828aaffffffffff,4.0,0.0,0.0,0.0
828af7fffffffff,6.0,0.0,6.0,0.0
828b27fffffffff,5.0,0.0,5.0,0.0
828b47fffffffff,5.0,0.0,0.0,0.0
828b4ffffffffff,5.0,0.0,0.0,0.0
828b67fffffffff,4.0,0.0,0.0,0.0
828e67fffffffff,29.0,0.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0,0.0
828f2ffffffffff,32.0,0.0,0.0,0.0
828f47fffffffff,2.0,0.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,31.0,0.0,0.0,0.0
82a807fffffffff,1.0,0.0,1.0,0.0
82a817fffffffff,1.0,0.0,0.0,0.0
82a847fffffffff,2.0,0.0,2.0,0.0
82a85ffffffffff,2.0,2.0,0.0,0.0
82a8a7fffffffff,3.0,0.0,0.0,0.0
82a92ffffffffff,1.0,0.0,0.0,0.0
82a947fffffffff,4.0,0.0,0.0,0.0
82a94ffffffffff,3.0,0.0,0.0,0.0
82a957fffffffff,13.0,0.0,12.0,0.0
82a967fffffffff,109.0,0.0,21.0,0.0
82a96ffffffffff,86.0,0.0,0.0,0.0
82b21ffffffffff,21.0,0.0,0.0,21.0
82b227fffffffff,16.0,0.0,0.0,0.0
82b247fffffffff,38.0,0.0,38.0,0.0
82b24ffffffffff,1978.0,0.0,3.0,0.0
82b257fffffffff,2.0,0.0,2.0,0.0
82b25ffffffffff,4.0,0.0,4.0,0.0
82b267fffffffff,6.0,0.0,0.0,0.0
82b26ffffffffff,626.0,0.0,18.0,0.0
82b277fffffffff,7.0,0.0,3.0,0.0
82b2c7fffffffff,316.0,0.0,0.0,298.0
82b2cffffffffff,42.0,0.0,0.0,42.0
82b2dffffffffff,12.0,0.0,0.0,9.0
