cell_id,Emberizoides herbicola,Emberizoides herbicola [sphenurus Group],Emberizoides herbicola herbicola
83660afffffffff,5.0,0.0,0.0
83661cfffffffff,1.0,0.0,0.0
8366a0fffffffff,5.0,0.0,0.0
8366a1fffffffff,3.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0
8366a5fffffffff,2.0,0.0,0.0
8366b4fffffffff,93.0,0.0,0.0
8366b5fffffffff,1.0,0.0,0.0
8366e1fffffffff,1.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0
8366ecfffffffff,1.0,0.0,0.0
8366f0fffffffff,1.0,0.0,0.0
8366f1fffffffff,7.0,0.0,0.0
8366f5fffffffff,6.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0
83675cfffffffff,4.0,0.0,0.0
838a00fffffffff,5.0,0.0,0.0
838a05fffffffff,22.0,0.0,0.0
838b1efffffffff,2.0,0.0,0.0
838b22fffffffff,4.0,0.0,0.0
838b69fffffffff,7.0,0.0,0.0
838b71fffffffff,15.0,0.0,0.0
838b75fffffffff,6.0,0.0,0.0
838f4bfffffffff,20.0,0.0,0.0
838f72fffffffff,5.0,0.0,0.0
83a824fffffffff,2.0,0.0,0.0
83a92cfffffffff,1.0,0.0,0.0
83a943fffffffff,1.0,0.0,0.0
83a946fffffffff,3.0,0.0,0.0
83a961fffffffff,8.0,0.0,0.0
83a96cfffffffff,5.0,0.0,0.0
83b362fffffffff,1.0,0.0,0.0
83c2d8fffffffff,35.0,0.0,0.0
