cell_id,Prinia rufifrons,Prinia rufifrons rufifrons/smithi,Prinia rufifrons rufidorsalis
82529ffffffffff,2.0,0.0,0.0
8252cffffffffff,2.0,0.0,0.0
8252d7fffffffff,47.0,0.0,0.0
8252dffffffffff,6.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0
826a5ffffffffff,111.0,0.0,0.0
827a47fffffffff,121.0,0.0,0.0
827a4ffffffffff,184.0,0.0,0.0
827a57fffffffff,2.0,0.0,0.0
827a5ffffffffff,29.0,0.0,0.0
827a67fffffffff,217.0,3.0,0.0
827a6ffffffffff,61.0,0.0,0.0
827a77fffffffff,6.0,0.0,0.0
827ac7fffffffff,2.0,1.0,0.0
827acffffffffff,8.0,0.0,0.0
827adffffffffff,105.0,7.0,0.0
827aeffffffffff,31.0,0.0,0.0
827b4ffffffffff,10.0,0.0,0.0
829697fffffffff,221.0,34.0,0.0
